DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
11/6/2010,,PIT-H,CHI-H,STL-H,TOR-A,FLA-H,MIN-H,,ATL-A,DAL-H,COL-A,VAN-A,,CAR-A,NSH-H,CBJ-A,OTT-H,,LAK-A,PHI-H,,MON-A,NYI-A,ARI-A,TBL-H,BOS-A,SJS-A,BUF-H,DET-H,
11/7/2010,NSH-H,,,,,,,,EDM-H,,,,CHI-A,,,,,,ANH-A,,STL-H,,WSH-A,,,NYR-A,,,,PHI-H
11/8/2010,,DET-A,,,,,,,,,,ARI-H,,,,,,,,,,,,,,,,,,
11/9/2010,SJS-A,,OTT-A,,,EDM-H,,COL-A,,CGY-H,,,CAR-A,,,,VAN-H,,,,WSH-H,ATL-H,,,ANH-H,,TOR-H,TBL-A,MON-A,NYR-A
11/10/2010,NYI-H,CHI-A,,PIT-A,NJD-A,,STL-H,,ARI-H,,,,,TOR-H,,,,BUF-H,,ANH-A,,,,BOS-H,,CBJ-A,,FLA-A,,
11/11/2010,,,MIN-H,MON-H,NYR-A,PHI-H,,,,,LAK-A,EDM-H,DET-A,,DAL-H,ATL-A,BOS-A,,STL-A,SJS-A,BUF-H,VAN-H,CAR-A,,NYI-H,NSH-H,WSH-A,,OTT-A,TBL-H
11/12/2010,DAL-H,CGY-H,,,,,COL-H,ARI-A,,CBJ-A,ANH-A,,NJD-A,MIN-H,,FLA-A,,EDM-H,,,,,,TBL-H,,,PIT-A,,,
11/13/2010,,STL-H,PIT-H,OTT-H,WSH-H,MON-A,,SJS-A,NSH-A,DET-A,,COL-H,,PHI-A,NYI-H,,CAR-H,,CHI-H,LAK-A,,BOS-A,FLA-H,ATL-A,CGY-H,ARI-A,,VAN-H,TOR-A,BUF-A
11/14/2010,CHI-A,,WSH-A,,,,,,ANH-H,,,,NYR-A,,,TBL-A,,,,,EDM-H,,,,,,MIN-H,,,ATL-H
11/15/2010,,,,NJD-H,VAN-H,,,,,STL-H,,,,,SJS-A,,,BOS-A,,,PIT-A,PHI-A,OTT-H,NYR-H,LAK-H,COL-A,,,BUF-A,
11/16/2010,DAL-A,,,,,,,,,,ANH-H,,,,,,PHI-H,,TOR-A,,,,MON-A,,,,,NSH-H,,
11/17/2010,MIN-A,CGY-A,FLA-H,NYR-A,WSH-A,OTT-H,LAK-A,ARI-H,EDM-A,SJS-H,,STL-H,CHI-H,ATL-A,CBJ-H,ANH-H,,,,TBL-H,BOS-H,CAR-A,,VAN-H,COL-A,DET-A,NYI-A,,PIT-A,BUF-H
11/18/2010,,,,FLA-H,,,,,,,SJS-H,,,BOS-A,,,NSH-H,TOR-A,MON-A,,,,TBL-H,,DAL-A,,PHI-A,NJD-H,,
11/19/2010,CBJ-H,EDM-A,WSH-H,,LAK-H,PIT-A,ANH-A,CHI-H,CGY-A,NYR-H,,MIN-H,ARI-H,,BUF-A,DET-A,,,,,COL-A,STL-A,,CAR-H,,OTT-H,,,,ATL-A
11/20/2010,,,,LAK-H,TBL-H,NSH-H,SJS-A,,VAN-A,DAL-A,COL-H,,,NYI-A,BOS-A,NYR-H,TOR-H,STL-A,CAR-A,FLA-H,MIN-A,,WSH-A,,CBJ-H,NJD-H,BUF-A,MON-A,CHI-H,PHI-H
11/21/2010,EDM-H,VAN-A,NYI-H,,,,,DET-A,,,,CGY-H,ANH-A,,,,,,,ATL-A,,,,,,,,,ARI-H,
11/22/2010,,,,TBL-A,,,NSH-H,NYR-A,,,TOR-A,,,PIT-H,OTT-A,,PHI-A,WSH-H,CBJ-A,,CGY-H,LAK-H,MON-H,FLA-A,,,BOS-H,DAL-H,,NJD-A
11/23/2010,,EDM-H,,,,,,,,,,,ARI-A,,,,,,,,,,,,,,,,,
11/24/2010,,,DET-H,FLA-A,PIT-H,WSH-H,NYI-A,NJD-A,SJS-A,VAN-A,OTT-A,ATL-A,,BOS-H,MON-A,PHI-H,LAK-H,CGY-H,STL-H,CBJ-H,TBL-A,DAL-H,MIN-A,BUF-A,CHI-H,NSH-A,NYR-H,,COL-H,CAR-A
11/25/2010,,,,,,,,,,EDM-A,,,COL-H,,,,,,,,,,,,,,,,,
11/26/2010,CHI-H,,MON-H,CAR-H,TOR-H,BOS-A,DET-H,PHI-A,ANH-A,,STL-H,CBJ-A,,NYR-H,,NSH-H,ATL-A,NYI-A,MIN-A,NJD-H,FLA-A,PIT-A,CGY-H,OTT-H,VAN-A,DAL-A,WSH-A,BUF-A,SJS-H,TBL-H
11/27/2010,ARI-A,ANH-H,,,MON-A,,,PIT-A,LAK-A,MIN-H,STL-A,,SJS-H,TBL-A,CHI-H,COL-A,BUF-H,PHI-H,NYR-H,,NSH-A,TOR-H,NJD-A,CGY-H,EDM-A,DAL-H,FLA-H,OTT-A,,
11/28/2010,,,BOS-H,ATL-A,,WSH-A,DET-A,,,,,CBJ-H,,,,,,,,,,,,,,,,,,CAR-H
11/29/2010,LAK-H,,,,,DAL-H,,MIN-H,,,CAR-A,,OTT-A,,ANH-A,CGY-A,,,,,PIT-H,EDM-H,,NYR-A,,,,,,
11/30/2010,,NSH-A,COL-A,,,,,,STL-H,ATL-H,,SJS-A,,,,,,,ARI-H,,,,,,DET-H,CHI-A,TOR-A,TBL-H,,
12/1/2010,FLA-H,MIN-A,,PHI-A,,,NSH-H,VAN-H,,,,,MON-A,ANH-A,,ARI-H,EDM-H,,CBJ-A,,,,BOS-H,,,WSH-H,,,CGY-A,STL-A
12/2/2010,,,PIT-A,TBL-H,,,,,,,WSH-H,,TOR-A,LAK-A,FLA-H,,NJD-A,MON-H,,NYR-H,NYI-A,SJS-H,,ATL-H,OTT-A,,BOS-A,EDM-H,,DAL-A
12/3/2010,DET-H,,,,CBJ-H,COL-H,BUF-A,MIN-A,VAN-H,CAR-A,,ANH-A,,,,CGY-H,,,,NYR-A,NYI-H,,,,,,,,CHI-A,
12/4/2010,,FLA-H,WSH-A,TOR-A,OTT-A,NSH-A,PIT-H,,,TBL-A,MIN-H,LAK-A,STL-H,ARI-A,DET-H,DAL-A,SJS-H,PHI-A,CAR-H,,,BUF-H,NJD-H,CBJ-A,MON-A,EDM-A,COL-H,BOS-H,,ATL-H
12/5/2010,ARI-H,ANH-A,,,,,,CHI-A,CGY-H,,,,,,,,,,,PHI-H,OTT-H,NYR-A,NYI-A,,,VAN-A,,,STL-H,
