DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CJB,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
2/13/2007,COL-A,TBL-A,CGY-A,EDM-H,,LAK-H,,ATL-H,,ANH-H,,,BOS-A,MON-A,CAR-A,,FLA-H,,,TOR-A,,,,,STL-A,SJS-H,ARI-H,NYI-H,,
2/14/2007,,,,,,,STL-H,,PIT-A,,DET-H,DAL-A,,OTT-A,,VAN-H,NJD-A,MON-H,SJS-H,,,FLA-H,,CHI-H,NSH-A,CBJ-A,,,MIN-A,
2/15/2007,ARI-A,ANH-H,,NYI-A,EDM-H,NYR-H,,COL-H,,CGY-A,,,BUF-A,,,,,,,BOS-H,CAR-A,,TOR-H,,,,WSH-H,PHI-A,,TBL-A
2/16/2007,,,,,,,SJS-H,,VAN-H,,,,,,,,,PIT-H,STL-A,,,,,NJD-A,CBJ-A,NSH-H,,,CHI-A,
2/17/2007,LAK-A,DET-H,OTT-A,BUF-A,BOS-H,MON-A,,COL-H,,CGY-A,,ARI-A,TOR-A,TBL-H,ANH-H,NSH-A,CAR-H,NYI-A,MIN-H,NJD-H,PHI-H,ATL-H,NYR-A,,,,FLA-A,EDM-H,,
2/18/2007,LAK-H,,,,,,MON-H,,NYR-A,VAN-A,SJS-H,,,,ANH-A,STL-A,CBJ-A,,,,CHI-H,,,WSH-H,DAL-A,MIN-H,,,COL-H,PIT-A
2/19/2007,,NSH-A,,PHI-A,,,,,,,,,,,,,,,ARI-H,PIT-H,,,BOS-H,NYI-A,,,,,,
2/20/2007,VAN-H,,CAR-A,TOR-A,PHI-H,ATL-H,STL-A,COL-A,,CGY-H,MIN-A,,OTT-A,TBL-A,,DAL-H,WSH-H,NYR-H,,,NJD-A,EDM-H,BUF-A,,,CBJ-H,FLA-H,BOS-H,ANH-A,MON-A
2/21/2007,,,,,,,,,DET-A,,,CHI-H,,,,,,,,,,,,,WSH-A,,,,,SJS-H
2/22/2007,,CGY-H,TBL-H,,OTT-H,PHI-H,EDM-H,ARI-A,SJS-H,MIN-H,,,CBJ-A,PIT-H,VAN-H,COL-A,NSH-A,NYR-A,MON-H,TOR-H,NJD-H,BUF-A,CAR-A,FLA-A,CHI-A,,ATL-A,NYI-A,LAK-A,
2/23/2007,DAL-A,,,TBL-A,,,,,,,ANH-H,EDM-H,DET-A,,,,,,,,,,,,,,BOS-H,,,
2/24/2007,,,CAR-H,FLA-A,OTT-A,ATL-A,NYR-A,SJS-H,,LAK-A,,NSH-A,,BOS-H,COL-H,,NYI-A,WSH-H,DET-H,MON-H,CBJ-H,BUF-H,TOR-H,,CGY-A,,,PHI-A,,NJD-A
2/25/2007,COL-H,,,,,,NSH-H,,STL-H,ANH-A,VAN-H,,MIN-A,,,EDM-H,,WSH-A,CBJ-A,,,,,TBL-A,,CHI-A,PIT-H,,DAL-A,NJD-H
2/26/2007,SJS-A,CGY-A,BOS-A,ATL-H,,,,ARI-H,,,,,,,,,TOR-H,,,,,,,,ANH-H,,,MON-A,,
2/27/2007,,EDM-A,,,TOR-A,OTT-H,COL-A,,DET-H,CBJ-H,TBL-A,CHI-A,ARI-H,WSH-A,,,NYR-A,PIT-A,,PHI-H,MON-H,CAR-A,NYI-A,NJD-H,,VAN-H,DAL-H,BUF-H,STL-A,FLA-H
2/28/2007,,,,,,OTT-A,,MIN-H,,,,,,,,CGY-A,,,SJS-A,,,CAR-H,,,NSH-H,,,,,
3/1/2007,LAK-A,VAN-A,,PHI-H,,,,,COL-H,CHI-A,FLA-A,,MIN-H,DAL-H,ANH-H,EDM-A,,,,STL-H,PIT-H,,BOS-A,NYR-A,,NYI-A,WSH-A,,ARI-H,TBL-H
3/2/2007,SJS-H,,OTT-H,,MON-H,PIT-H,DAL-A,,DET-A,,CBJ-H,CHI-H,,,,,BUF-A,TOR-H,,,,ATL-A,,CAR-A,ANH-A,,,NJD-A,,
3/3/2007,,CBJ-H,,MON-H,TOR-A,,ARI-A,EDM-A,,,,,CGY-H,TBL-H,NSH-H,,BOS-A,,LAK-A,WSH-A,STL-H,,,,,NYR-A,FLA-A,BUF-H,,NYI-H
3/4/2007,NSH-H,,CAR-H,NJD-A,,ATL-A,,,OTT-H,DET-A,SJS-H,COL-H,,,,VAN-A,,BOS-H,ANH-A,,,CHI-A,PIT-A,PHI-H,DAL-A,,,,MIN-H,
3/5/2007,,,,,,,,,,,,,,,,,,,,NYR-A,NYI-H,,,,,,,,,
3/6/2007,,,FLA-H,COL-H,,,,STL-A,LAK-H,BOS-A,,NSH-H,,ATL-A,CHI-A,SJS-H,,PHI-A,DET-A,,,PIT-H,NJD-H,OTT-A,MIN-A,CGY-H,VAN-A,WSH-H,TBL-H,TOR-A
3/7/2007,ARI-H,ANH-A,,,COL-H,,LAK-H,,,BUF-A,,,TBL-H,,CBJ-A,,,,,,,,,,,,EDM-A,,,
3/8/2007,,VAN-H,MON-H,MIN-H,,,,NSH-A,,,STL-A,,,PHI-A,,BOS-A,ATL-A,PIT-A,CGY-H,NYR-H,NYI-A,TOR-H,FLA-H,NJD-H,,DAL-H,,OTT-A,ARI-A,
3/9/2007,EDM-H,,,,MIN-H,WSH-A,DAL-H,,,,CBJ-A,LAK-H,ANH-A,,DET-A,BUF-A,,,,,,,,,VAN-H,,,,SJS-A,CAR-H
3/10/2007,,CHI-H,FLA-A,PHI-A,NJD-H,,NSH-A,TBL-H,ARI-A,,,,,ATL-H,,,STL-A,BUF-A,CBJ-H,WSH-H,PIT-A,TOR-A,BOS-H,NYR-H,,MON-H,CGY-A,OTT-H,,NYI-A
3/11/2007,VAN-H,,,DET-A,,NYR-A,,,,MIN-A,LAK-H,BOS-H,SJS-A,,DAL-A,COL-H,,,,,CAR-H,,,,EDM-H,,,,ANH-A,
3/12/2007,,PHI-H,WSH-H,,,,,STL-H,,,,,LAK-A,,EDM-H,,,,,,,,ARI-A,,,CGY-A,,,,ATL-A
3/13/2007,,,,,PIT-A,FLA-H,,,SJS-A,,PHI-H,NSH-A,,CAR-A,,VAN-A,NYI-H,,DET-H,MON-A,OTT-H,NYR-A,DAL-A,BUF-H,CHI-H,,TOR-A,TBL-H,MIN-H,
3/14/2007,CBJ-H,,,,,,ANH-A,COL-A,,CGY-H,,NSH-H,,,,,,PIT-H,DET-A,,,,,NJD-A,,,,,,
3/15/2007,,SJS-H,PHI-A,WSH-H,FLA-A,NJD-H,,DAL-A,LAK-A,,CGY-H,,MIN-H,BUF-H,CHI-H,EDM-A,,CAR-A,,OTT-A,,NYI-H,ATL-H,,ARI-A,VAN-A,,,STL-H,BOS-A
3/16/2007,CHI-H,,NYR-H,,TBL-A,,SJS-A,,ANH-A,,,,,,,,PIT-A,,,,ATL-A,,,MON-H,CBJ-H,,BUF-H,WSH-A,,TOR-H
3/17/2007,,COL-H,,NYR-A,,NJD-A,LAK-A,MIN-H,,ARI-A,NSH-A,VAN-A,STL-H,NYI-H,CBJ-H,CGY-A,TOR-H,CAR-H,DAL-H,FLA-A,BOS-H,PHI-H,OTT-A,,,EDM-A,,MON-A,DET-H,
3/18/2007,LAK-H,DAL-A,BUF-H,,ATL-A,,,,,SJS-H,ARI-H,,,,ANH-A,,,,,,,PIT-A,,OTT-H,COL-A,,WSH-A,,,TBL-H
3/19/2007,,,,,,,,,,,,,VAN-H,,,,,,,,PIT-H,,,NYR-A,,,,,EDM-A,
3/20/2007,,MIN-A,,MON-A,,,CHI-H,DET-H,CBJ-A,,,CGY-A,,PHI-A,,ARI-H,BOS-H,TOR-A,,TBL-A,,STL-A,FLA-H,,,OTT-H,NYI-H,NJD-H,,
3/21/2007,,,,,WSH-H,,,,SJS-H,EDM-A,LAK-A,,COL-H,,DAL-H,,,,VAN-A,,PHI-H,,NYR-A,,CHI-A,,,,NSH-H,BUF-A
3/22/2007,ARI-A,ANH-H,SJS-H,MON-H,,WSH-H,DET-A,NSH-H,,,,CBJ-H,,OTT-H,,STL-H,BOS-A,TBL-A,CGY-A,PIT-H,,FLA-A,,NYI-A,ATL-A,MIN-A,NJD-H,,,CAR-A
3/23/2007,DAL-H,,,,TOR-H,,,,LAK-H,EDM-A,ANH-A,,COL-H,,CHI-A,,,,,,,,,,,,,BUF-A,,
3/24/2007,,DAL-H,PIT-A,NYR-H,TOR-A,SJS-H,,,,,ARI-A,STL-H,NSH-H,NJD-H,MIN-A,LAK-H,WSH-H,FLA-A,EDM-A,PHI-A,BOS-A,TBL-A,NYI-H,ATL-H,CAR-A,DET-A,OTT-H,BUF-H,,MON-A
3/25/2007,,,,PIT-A,,,STL-H,CHI-A,CGY-H,VAN-A,,,,,,,,,,NYR-H,NYI-A,,,BOS-H,,CBJ-A,,,COL-H,
3/26/2007,DET-A,,,,,,,,,,,ANH-H,,,,,,,,,,,,,,,,,,
3/27/2007,,DAL-A,,OTT-A,,TOR-A,STL-A,MIN-A,,VAN-H,ARI-H,,NSH-A,TBL-A,SJS-A,CGY-H,NYR-H,NYI-A,EDM-H,NJD-H,MON-A,BOS-H,,WSH-A,LAK-H,CBJ-H,FLA-H,CAR-H,COL-A,PIT-H
3/28/2007,CHI-A,,FLA-A,,NJD-H,PHI-A,,,ANH-H,,,,,ATL-H,,,,BUF-A,,,,,CAR-H,,,,,,,
3/29/2007,CBJ-A,COL-H,TOR-H,PIT-H,,,ANH-H,MIN-A,,ARI-A,,NSH-A,STL-A,,VAN-H,CGY-H,,,DET-H,,,,,BOS-A,,EDM-H,,ATL-A,LAK-A,
3/30/2007,,SJS-A,,,NYI-H,TBL-H,CHI-A,,CBJ-H,,DET-A,DAL-H,,WSH-H,,,OTT-A,PHI-H,,BUF-A,,MON-H,NJD-A,,ARI-H,,CAR-A,,,FLA-A
3/31/2007,STL-A,,BOS-A,ATL-H,MON-A,,,VAN-A,,MIN-H,NSH-A,,,,,COL-A,BUF-H,,DAL-H,OTT-H,PHI-A,NYI-A,NYR-H,TOR-A,,ANH-H,WSH-H,PIT-H,CGY-H,TBL-A
4/1/2007,,,,NJD-A,,FLA-A,DET-H,,EDM-H,,,CBJ-A,CHI-A,CAR-H,SJS-A,,,BOS-H,,,TOR-H,,,,LAK-H,,,NYR-A,,
4/2/2007,,,,,,,,,,,STL-H,,,,,,,,,,,,,,,DAL-A,,,,
4/3/2007,,STL-H,,MON-A,PIT-A,TBL-A,DET-A,COL-H,NSH-A,CGY-A,,CBJ-H,MIN-A,WSH-A,VAN-A,EDM-H,BOS-H,OTT-H,CHI-H,NYR-H,NYI-A,NJD-A,TOR-A,BUF-H,,ARI-A,CAR-H,PHI-H,LAK-H,FLA-H
4/4/2007,SJS-H,,WSH-H,,,,,,,,,,,,,,,,,,,,,,ANH-A,,,,,ATL-A
4/5/2007,,LAK-H,,BUF-A,BOS-H,,DAL-H,SJS-A,DET-H,VAN-A,CBJ-A,CHI-A,MIN-A,,ARI-A,EDM-H,NYR-A,PHI-A,STL-H,TOR-H,MON-H,PIT-H,NJD-H,OTT-A,CGY-H,NSH-A,,NYI-A,COL-H,
4/6/2007,DAL-A,,CAR-A,,,ATL-H,,,,,ANH-H,,,TBL-A,,,,,,,,,,,,,FLA-H,,,
4/7/2007,CBJ-A,LAK-A,TBL-H,OTT-H,WSH-A,FLA-H,ANH-H,EDM-H,DET-A,NSH-H,,CHI-H,CGY-A,CAR-A,ARI-H,STL-H,TOR-A,,COL-A,PHI-A,PIT-A,BOS-A,NYI-H,NYR-H,VAN-H,MIN-A,ATL-A,MON-H,SJS-A,BUF-H
4/8/2007,,VAN-H,,,PHI-A,,,COL-A,DAL-A,CGY-H,CHI-H,,,,,,,NYI-H,,NJD-A,,,BUF-H,,,,,,ARI-A,
