DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CJB,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
11/4/2006,,LAK-H,NYI-A,TBL-H,TOR-H,OTT-A,DET-A,STL-A,,VAN-H,,CBJ-H,,,ARI-A,NSH-H,NJD-H,MON-A,MIN-A,ATL-H,,CAR-H,WSH-H,SJS-A,PIT-H,CGY-H,BOS-A,BUF-A,COL-A,PHI-A
11/5/2006,,,,,NYR-A,,,,,,,,,,,,,,,,BUF-H,,,,,,,,,
11/6/2006,PIT-H,,BOS-H,ATL-A,,,,,,,VAN-A,,,,,,,,,TBL-H,,WSH-A,TOR-A,ANH-A,,,NYI-A,PHI-H,DAL-H,OTT-H
11/7/2006,,,,,,NJD-A,,DAL-H,,LAK-H,CGY-A,,MON-A,,COL-A,SJS-A,EDM-H,CAR-H,,,,,,,MIN-H,,,,,
11/8/2006,,,OTT-H,,,,,,,,,EDM-H,DET-A,NYR-H,,,,,,,FLA-A,ATL-A,,TBL-H,,,PIT-A,,,
11/9/2006,VAN-A,DAL-H,,TOR-H,,WSH-H,STL-A,,NJD-A,,ARI-A,,,,SJS-H,,,CHI-H,,PHI-A,,,NYI-H,,LAK-A,CBJ-H,,BOS-A,ANH-H,CAR-A
11/10/2006,CGY-A,,NYR-H,,FLA-H,,EDM-H,ANH-H,STL-H,,,NSH-H,CBJ-A,BUF-A,,,,,DET-A,,ATL-A,PIT-A,,OTT-H,,CHI-A,,,,
11/11/2006,,SJS-H,TBL-A,OTT-H,PHI-A,PIT-H,,VAN-A,,NSH-A,,,,NJD-A,MIN-H,LAK-A,TOR-A,FLA-H,COL-H,,WSH-A,BOS-A,BUF-H,CAR-A,ARI-A,,ATL-H,MON-H,CGY-H,NYR-H
11/12/2006,MIN-H,,,,,,CHI-A,,CBJ-H,,,,STL-A,,,ANH-A,,,,,,,,,,EDM-H,,,,
11/13/2006,,,,,CAR-A,BUF-H,,,,EDM-H,,,COL-A,WSH-H,SJS-H,,OTT-A,,,,,MON-H,PIT-A,PHI-H,LAK-A,,,,,FLA-A
11/14/2006,,MIN-H,,,,,,STL-H,,,,VAN-A,,,,ARI-A,,NYR-A,,,NJD-H,,,,,CGY-A,,,DET-H,
11/15/2006,PHI-H,,,WSH-A,OTT-H,NYR-H,NSH-H,,,SJS-H,NYI-H,,,,,,TBL-A,,CBJ-A,DAL-A,CAR-A,BUF-A,ANH-A,,COL-A,,MON-H,,,BOS-H
11/16/2006,,CHI-H,,TOR-H,,,,,ARI-A,,,,STL-H,MON-H,PHI-H,NSH-A,FLA-A,,MIN-H,,,,LAK-A,,,EDM-A,,BOS-A,,
11/17/2006,CHI-H,,DAL-H,,PIT-H,WSH-A,COL-H,DET-H,ANH-A,CBJ-A,ATL-A,CGY-A,,,,,,OTT-H,,TBL-A,,NJD-A,,BUF-A,,VAN-A,NYI-H,,STL-H,CAR-H
11/18/2006,,LAK-A,MON-A,WSH-H,OTT-A,DAL-H,NSH-A,,,MIN-A,CAR-A,EDM-A,DET-H,NYI-H,ARI-H,COL-H,ATL-H,TOR-A,CBJ-H,FLA-A,PIT-A,BUF-H,SJS-A,NYR-H,PHI-H,,,NJD-H,,BOS-A
11/19/2006,ARI-H,ANH-A,,,,,,,VAN-A,,,,,,,,,,,,TBL-H,,,,,,NYR-A,,CHI-H,
