DATE,VISITING TEAM,HOME TEAM,TIME
,,,
"THU OCT 1, 2009",WASHINGTON,BOSTON,7:00 PM ET
,,,
"THU OCT 1, 2009",MONTREAL,TORONTO,7:00 PM ET
,,,
"THU OCT 1, 2009",SAN JOSE,COLORADO,10:00 PM ET
,,,
"THU OCT 1, 2009",VANCOUVER,CALGARY,10:00 PM ET
,,,
"FRI OCT 2, 2009",FLORIDA,CHICAGO,12:00 PM ET
,,,
"FRI OCT 2, 2009",ST. LOUIS,DETROIT,3:00 PM ET
,,,
,,,
,,,
"FRI OCT 2, 2009",PHILADELPHIA,CAROLINA,7:00 PM ET
,,,
"FRI OCT 2, 2009",NY RANGERS,PITTSBURGH,7:30 PM ET
,,,
"SAT OCT 3, 2009",CHICAGO,FLORIDA,12:00 PM ET
,,,
,,,
,,,
"SAT OCT 3, 2009",VANCOUVER,COLORADO,3:00 PM ET
,,,
"SAT OCT 3, 2009",DETROIT,ST. LOUIS,3:00 PM ET
,,,
,,,
,,,
"SAT OCT 3, 2009",CAROLINA,BOSTON,7:00 PM ET
,,,
"SAT OCT 3, 2009",MONTREAL,BUFFALO,7:00 PM ET
,,,
"SAT OCT 3, 2009",PHILADELPHIA,NEW JERSEY,7:00 PM ET
,,,
"SAT OCT 3, 2009",PITTSBURGH,NY ISLANDERS,7:00 PM ET
,,,
"SAT OCT 3, 2009",OTTAWA,NY RANGERS,7:00 PM ET
,,,
"SAT OCT 3, 2009",TORONTO,WASHINGTON,7:00 PM ET
,,,
"SAT OCT 3, 2009",TAMPA BAY,ATLANTA,7:00 PM ET
,,,
"SAT OCT 3, 2009",MINNESOTA,COLUMBUS,7:00 PM ET
,,,
"SAT OCT 3, 2009",NASHVILLE,DALLAS,8:00 PM ET
,,,
"SAT OCT 3, 2009",CALGARY,EDMONTON,10:00 PM ET
,,,
"SAT OCT 3, 2009",SAN JOSE,ANAHEIM,10:00 PM ET
,,,
"SAT OCT 3, 2009",PHOENIX,LOS ANGELES,10:30 PM ET
,,,
"MON OCT 5, 2009",NY RANGERS,NEW JERSEY,7:00 PM ET
,,,
"MON OCT 5, 2009",COLUMBUS,VANCOUVER,10:00 PM ET
,,,
"TUE OCT 6, 2009",OTTAWA,TORONTO,7:00 PM ET
,,,
"TUE OCT 6, 2009",WASHINGTON,PHILADELPHIA,7:00 PM ET
,,,
"TUE OCT 6, 2009",TAMPA BAY,CAROLINA,7:00 PM ET
,,,
"TUE OCT 6, 2009",ANAHEIM,MINNESOTA,9:00 PM ET
,,,
"TUE OCT 6, 2009",MONTREAL,CALGARY,9:00 PM ET
,,,
"TUE OCT 6, 2009",DALLAS,EDMONTON,9:30 PM ET
,,,
"TUE OCT 6, 2009",SAN JOSE,LOS ANGELES,10:30 PM ET
,,,
"WED OCT 7, 2009",PHOENIX,PITTSBURGH,7:30 PM ET
,,,
"WED OCT 7, 2009",MONTREAL,VANCOUVER,10:00 PM ET
,,,
"THU OCT 8, 2009",ANAHEIM,BOSTON,7:00 PM ET
,,,
"THU OCT 8, 2009",PHOENIX,BUFFALO,7:00 PM ET
,,,
"THU OCT 8, 2009",NY ISLANDERS,OTTAWA,7:00 PM ET
,,,
"THU OCT 8, 2009",PITTSBURGH,PHILADELPHIA,7:00 PM ET
,,,
"THU OCT 8, 2009",NY RANGERS,WASHINGTON,7:00 PM ET
,,,
"THU OCT 8, 2009",NEW JERSEY,TAMPA BAY,7:30 PM ET
,,,
"THU OCT 8, 2009",CHICAGO,DETROIT,7:30 PM ET
,,,
"THU OCT 8, 2009",ATLANTA,ST. LOUIS,8:00 PM ET
,,,
"THU OCT 8, 2009",COLORADO,NASHVILLE,8:00 PM ET
,,,
"THU OCT 8, 2009",CALGARY,EDMONTON,9:30 PM ET
,,,
"THU OCT 8, 2009",MINNESOTA,LOS ANGELES,10:30 PM ET
,,,
"THU OCT 8, 2009",COLUMBUS,SAN JOSE,10:30 PM ET
,,,
"FRI OCT 9, 2009",FLORIDA,CAROLINA,7:00 PM ET
,,,
"FRI OCT 9, 2009",DALLAS,CALGARY,9:00 PM ET
,,,
"SAT OCT 10, 2009",NY ISLANDERS,BOSTON,7:00 PM ET
,,,
"SAT OCT 10, 2009",PITTSBURGH,TORONTO,7:00 PM ET
,,,
"SAT OCT 10, 2009",ATLANTA,OTTAWA,7:00 PM ET
,,,
"SAT OCT 10, 2009",ANAHEIM,PHILADELPHIA,7:00 PM ET
,,,
"SAT OCT 10, 2009",NEW JERSEY,FLORIDA,7:00 PM ET
,,,
"SAT OCT 10, 2009",WASHINGTON,DETROIT,7:00 PM ET
,,,
"SAT OCT 10, 2009",CAROLINA,TAMPA BAY,7:30 PM ET
,,,
"SAT OCT 10, 2009",LOS ANGELES,ST. LOUIS,8:00 PM ET
,,,
"SAT OCT 10, 2009",BUFFALO,NASHVILLE,8:00 PM ET
,,,
"SAT OCT 10, 2009",COLORADO,CHICAGO,8:30 PM ET
,,,
"SAT OCT 10, 2009",COLUMBUS,PHOENIX,9:00 PM ET
,,,
"SAT OCT 10, 2009",MONTREAL,EDMONTON,10:00 PM ET
