HOME,AWAY,DATE,TIME (PT)
ANH,SJS,10/3/2009,7:00 PM
MIN,ANH,10/6/2009,6:00 PM
BOS,ANH,10/8/2009,4:00 PM
PHI,ANH,10/10/2009,4:00 PM
NYR,ANH,10/11/2009,2:00 PM
ANH,MIN,10/14/2009,7:00 PM
ANH,STL,10/17/2009,7:00 PM
ANH,DAL,10/21/2009,7:00 PM
ANH,CBJ,10/24/2009,7:00 PM
ANH,TOR,10/26/2009,7:00 PM
ANH,VAN,10/30/2009,7:00 PM
ARI,ANH,10/31/2009,6:00 PM
ANH,PIT,11/3/2009,7:00 PM
ANH,NSH,11/5/2009,7:00 PM
ANH,ARI,11/7/2009,7:00 PM
NJD,ANH,11/11/2009,4:00 PM
CBJ,ANH,11/13/2009,4:00 PM
DET,ANH,11/14/2009,4:00 PM
PIT,ANH,11/16/2009,4:30 PM
ANH,TBL,11/19/2009,7:00 PM
ANH,SJS,11/21/2009,7:00 PM
ANH,CGY,11/23/2009,7:00 PM
ANH,CAR,11/25/2009,7:00 PM
ANH,CHI,11/27/2009,1:00 PM
ANH,ARI,11/29/2009,5:00 PM
ANH,LAK,12/1/2009,7:30 PM
DAL,ANH,12/3/2009,5:30 PM
MIN,ANH,12/4/2009,5:00 PM
ANH,OTT,12/6/2009,5:00 PM
ANH,DAL,12/8/2009,7:00 PM
DET,ANH,12/11/2009,4:30 PM
CBJ,ANH,12/12/2009,4:00 PM
VAN,ANH,12/16/2009,7:00 PM
SJS,ANH,12/17/2009,7:30 PM
ANH,ARI,12/19/2009,1:00 PM
COL,ANH,12/22/2009,7:00 PM
ARI,ANH,12/23/2009,6:00 PM
SJS,ANH,12/26/2009,7:30 PM
ANH,MIN,12/29/2009,7:00 PM
DAL,ANH,12/31/2009,5:00 PM
NSH,ANH,1/2/2010,5:00 PM
CHI,ANH,1/3/2010,4:00 PM
ANH,DET,1/5/2010,7:00 PM
ANH,STL,1/7/2010,7:00 PM
NSH,ANH,1/9/2010,5:00 PM
CHI,ANH,1/10/2010,4:00 PM
ANH,BOS,1/13/2010,7:00 PM
LAK,ANH,1/14/2010,7:30 PM
ANH,CGY,1/17/2010,5:00 PM
ANH,BUF,1/19/2010,7:00 PM
SJS,ANH,1/21/2010,7:30 PM
STL,ANH,1/23/2010,5:00 PM
ATL,ANH,1/26/2010,4:00 PM
WSH,ANH,1/27/2010,4:00 PM
TBL,ANH,1/29/2010,4:30 PM
FLA,ANH,2/1/2010,4:30 PM
ANH,DET,2/3/2010,7:00 PM
LAK,ANH,2/4/2010,7:30 PM
ANH,LAK,2/8/2010,7:00 PM
ANH,EDM,2/10/2010,7:00 PM
CGY,ANH,2/13/2010,7:00 PM
EDM,ANH,2/14/2010,4:00 PM
ANH,COL,3/3/2010,7:00 PM
ARI,ANH,3/6/2010,5:00 PM
ANH,MON,3/7/2010,5:00 PM
ANH,CBJ,3/9/2010,7:00 PM
ANH,NSH,3/12/2010,7:00 PM
ANH,SJS,3/14/2010,5:00 PM
ANH,CHI,3/17/2010,7:00 PM
ANH,NYI,3/19/2010,7:00 PM
ANH,COL,3/21/2010,5:00 PM
CGY,ANH,3/23/2010,6:00 PM
VAN,ANH,3/24/2010,7:00 PM
EDM,ANH,3/26/2010,6:00 PM
ANH,DAL,3/29/2010,7:00 PM
COL,ANH,3/31/2010,6:00 PM
ANH,VAN,4/2/2010,7:00 PM
LAK,ANH,4/3/2010,7:30 PM
ANH,LAK,4/6/2010,7:00 PM
DAL,ANH,4/8/2010,5:30 PM
STL,ANH,4/9/2010,5:00 PM
ANH,EDM,4/11/2010,5:00 PM
