DATE,VISITING TEAM,HOME TEAM,TIME
"SUN OCT 13, 2013",LOS ANGELES,FLORIDA,3:00 PM ET
,,,
"SUN OCT 13, 2013",NEW JERSEY,WINNIPEG,8:00 PM ET
,,,
"SUN OCT 13, 2013",OTTAWA,ANAHEIM,8:00 PM ET
,,,
"MON OCT 14, 2013",DETROIT,BOSTON,1:00 PM ET
,,,
"MON OCT 14, 2013",EDMONTON,WASHINGTON,7:00 PM ET
,,,
"MON OCT 14, 2013",MINNESOTA,BUFFALO,7:30 PM ET
,,,
"TUE OCT 15, 2013",MINNESOTA,TORONTO,7:00 PM ET
,,,
"TUE OCT 15, 2013",BUFFALO,NY ISLANDERS,7:00 PM ET
,,,
"TUE OCT 15, 2013",VANCOUVER,PHILADELPHIA,7:00 PM ET
,,,
"TUE OCT 15, 2013",EDMONTON,PITTSBURGH,7:00 PM ET
,,,
"TUE OCT 15, 2013",CHICAGO,CAROLINA,7:00 PM ET
,,,
"TUE OCT 15, 2013",LOS ANGELES,TAMPA BAY,7:30 PM ET
,,,
"TUE OCT 15, 2013",COLUMBUS,DETROIT,8:00 PM ET
,,,
"TUE OCT 15, 2013",SAN JOSE,ST. LOUIS,8:00 PM ET
,,,
"TUE OCT 15, 2013",FLORIDA,NASHVILLE,8:00 PM ET
,,,
"TUE OCT 15, 2013",MONTREAL,WINNIPEG,8:00 PM ET
,,,
"TUE OCT 15, 2013",DALLAS,COLORADO,9:00 PM ET
,,,
"TUE OCT 15, 2013",OTTAWA,PHOENIX,10:00 PM ET
,,,
"WED OCT 16, 2013",NY RANGERS,WASHINGTON,8:00 PM ET
,,,
"WED OCT 16, 2013",CALGARY,ANAHEIM,10:00 PM ET
,,,
"THU OCT 17, 2013",VANCOUVER,BUFFALO,7:00 PM ET
,,,
"THU OCT 17, 2013",CAROLINA,TORONTO,7:00 PM ET
,,,
"THU OCT 17, 2013",EDMONTON,NY ISLANDERS,7:00 PM ET
,,,
"THU OCT 17, 2013",PITTSBURGH,PHILADELPHIA,7:00 PM ET
,,,
"THU OCT 17, 2013",COLUMBUS,MONTREAL,7:30 PM ET
,,,
"THU OCT 17, 2013",NEW JERSEY,OTTAWA,7:30 PM ET
,,,
"THU OCT 17, 2013",MINNESOTA,TAMPA BAY,7:30 PM ET
,,,
"THU OCT 17, 2013",BOSTON,FLORIDA,7:30 PM ET
,,,
"THU OCT 17, 2013",ST. LOUIS,CHICAGO,8:00 PM ET
,,,
"THU OCT 17, 2013",LOS ANGELES,NASHVILLE,8:00 PM ET
,,,
"THU OCT 17, 2013",SAN JOSE,DALLAS,8:30 PM ET
,,,
"THU OCT 17, 2013",DETROIT,COLORADO,9:00 PM ET
,,,
"FRI OCT 18, 2013",ST. LOUIS,WINNIPEG,8:00 PM ET
,,,
"FRI OCT 18, 2013",PHOENIX,ANAHEIM,10:00 PM ET
,,,
"SAT OCT 19, 2013",VANCOUVER,PITTSBURGH,1:00 PM ET
,,,
"SAT OCT 19, 2013",EDMONTON,OTTAWA,2:00 PM ET
,,,
"SAT OCT 19, 2013",COLORADO,BUFFALO,7:00 PM ET
,,,
"SAT OCT 19, 2013",NASHVILLE,MONTREAL,7:00 PM ET
,,,
"SAT OCT 19, 2013",BOSTON,TAMPA BAY,7:00 PM ET
,,,
"SAT OCT 19, 2013",MINNESOTA,FLORIDA,7:00 PM ET
,,,
"SAT OCT 19, 2013",NY RANGERS,NEW JERSEY,7:00 PM ET
,,,
