HOME,AWAY,DATE,TIME (MT)
WSH,CGY,10/3/2013,5:00 PM
CBJ,CGY,10/4/2013,5:00 PM
CGY,VAN,10/6/2013,6:00 PM
CGY,MON,10/9/2013,6:00 PM
CGY,NJD,10/11/2013,7:00 PM
ANH,CGY,10/16/2013,8:00 PM
SJS,CGY,10/19/2013,8:00 PM
LAK,CGY,10/21/2013,8:30 PM
ARI,CGY,10/22/2013,8:00 PM
DAL,CGY,10/24/2013,6:30 PM
CGY,WSH,10/26/2013,8:00 PM
CGY,TOR,10/30/2013,6:00 PM
CGY,DET,11/1/2013,7:00 PM
CHI,CGY,11/3/2013,5:30 PM
MIN,CGY,11/5/2013,6:00 PM
STL,CGY,11/7/2013,6:00 PM
COL,CGY,11/8/2013,7:00 PM
CGY,SJS,11/12/2013,7:00 PM
CGY,DAL,11/14/2013,7:00 PM
CGY,EDM,11/16/2013,8:00 PM
WPG,CGY,11/18/2013,6:00 PM
CGY,CBJ,11/20/2013,8:00 PM
CGY,FLA,11/22/2013,7:00 PM
CGY,CHI,11/27/2013,8:00 PM
ANH,CGY,11/29/2013,2:00 PM
LAK,CGY,11/30/2013,8:00 PM
CGY,ARI,12/4/2013,8:00 PM
CGY,COL,12/6/2013,7:00 PM
EDM,CGY,12/7/2013,8:00 PM
CGY,BOS,12/10/2013,7:30 PM
CGY,CAR,12/12/2013,7:00 PM
BUF,CGY,12/14/2013,0:00 PM
NYR,CGY,12/15/2013,5:00 PM
BOS,CGY,12/17/2013,5:00 PM
DET,CGY,12/19/2013,5:30 PM
PIT,CGY,12/21/2013,11:00 PM
CGY,STL,12/23/2013,6:00 PM
CGY,EDM,12/27/2013,7:00 PM
CGY,VAN,12/29/2013,5:30 PM
CGY,PHI,12/31/2013,7:00 PM
CGY,TBL,1/3/2014,7:00 PM
COL,CGY,1/6/2014,7:00 PM
ARI,CGY,1/7/2014,7:00 PM
CGY,STL,1/9/2014,7:00 PM
CGY,PIT,1/11/2014,8:00 PM
CAR,CGY,1/13/2014,5:00 PM
NSH,CGY,1/14/2014,6:00 PM
CGY,WPG,1/16/2014,7:00 PM
VAN,CGY,1/18/2014,8:00 PM
SJS,CGY,1/20/2014,8:30 PM
CGY,ARI,1/22/2014,7:30 PM
CGY,NSH,1/24/2014,7:00 PM
CGY,CHI,1/28/2014,7:30 PM
CGY,SJS,1/30/2014,7:00 PM
CGY,MIN,2/1/2014,8:00 PM
MON,CGY,2/4/2014,5:30 PM
NYI,CGY,2/6/2014,5:00 PM
PHI,CGY,2/8/2014,11:00 PM
CGY,LAK,2/27/2014,7:30 PM
EDM,CGY,3/1/2014,8:00 PM
MIN,CGY,3/3/2014,6:00 PM
CGY,OTT,3/5/2014,7:30 PM
CGY,NYI,3/7/2014,7:00 PM
VAN,CGY,3/8/2014,8:00 PM
CGY,LAK,3/10/2014,7:00 PM
CGY,ANH,3/12/2014,8:00 PM
DAL,CGY,3/14/2014,6:30 PM
ARI,CGY,3/15/2014,8:00 PM
CGY,BUF,3/18/2014,7:00 PM
CGY,NSH,3/21/2014,7:00 PM
EDM,CGY,3/22/2014,8:00 PM
CGY,SJS,3/24/2014,7:00 PM
CGY,ANH,3/26/2014,8:00 PM
CGY,NYR,3/28/2014,7:00 PM
OTT,CGY,3/30/2014,3:00 PM
TOR,CGY,4/1/2014,5:00 PM
TBL,CGY,4/3/2014,5:30 PM
FLA,CGY,4/4/2014,5:30 PM
NJD,CGY,4/7/2014,5:00 PM
CGY,LAK,4/9/2014,8:00 PM
CGY,WPG,4/11/2014,7:00 PM
VAN,CGY,4/13/2014,7:00 PM
