HOME,AWAY,DATE,TIME (CT)
MIN,CGY,10/5/2005,7:00 PM
ARI,MIN,10/8/2005,9:00 PM
LAK,MIN,10/9/2005,7:00 PM
MIN,VAN,10/12/2005,7:30 PM
MIN,VAN,10/14/2005,7:00 PM
MIN,ANH,10/16/2005,5:00 PM
MIN,SJS,10/19/2005,7:00 PM
STL,MIN,10/22/2005,7:00 PM
CHI,MIN,10/23/2005,6:00 PM
MIN,VAN,10/25/2005,7:00 PM
CBJ,MIN,10/28/2005,6:00 PM
MIN,CBJ,10/29/2005,7:00 PM
CGY,MIN,11/1/2005,8:00 PM
VAN,MIN,11/2/2005,9:00 PM
SJS,MIN,11/5/2005,9:30 PM
ANH,MIN,11/6/2005,7:00 PM
MIN,ARI,11/8/2005,7:00 PM
DET,MIN,11/11/2005,6:30 PM
CGY,MIN,11/14/2005,8:00 PM
MIN,NSH,11/19/2005,7:00 PM
MIN,EDM,11/23/2005,7:00 PM
MIN,STL,11/25/2005,1:00 PM
MIN,CBJ,11/30/2005,7:00 PM
NSH,MIN,12/1/2005,7:00 PM
NJD,MIN,12/3/2005,0:00 PM
NYR,MIN,12/5/2005,6:00 PM
PIT,MIN,12/8/2005,6:30 PM
PHI,MIN,12/10/2005,1:00 PM
MIN,BUF,12/11/2005,6:00 PM
NYI,MIN,12/13/2005,6:00 PM
MIN,BOS,12/15/2005,7:00 PM
MIN,MON,12/17/2005,7:00 PM
MIN,DAL,12/19/2005,7:00 PM
COL,MIN,12/22/2005,8:00 PM
MIN,COL,12/23/2005,7:00 PM
EDM,MIN,12/26/2005,8:00 PM
EDM,MIN,12/28/2005,7:00 PM
CGY,MIN,12/29/2005,9:00 PM
MIN,VAN,12/31/2005,5:00 PM
DET,MIN,1/3/2006,6:00 PM
MIN,COL,1/5/2006,7:00 PM
MIN,ANH,1/7/2006,7:00 PM
MIN,DAL,1/9/2006,7:00 PM
MIN,CGY,1/14/2006,7:00 PM
MIN,OTT,1/16/2006,7:00 PM
MIN,TOR,1/18/2006,7:00 PM
MIN,CHI,1/20/2006,7:00 PM
CHI,MIN,1/22/2006,6:00 PM
MIN,ARI,1/24/2006,7:00 PM
MIN,NSH,1/26/2006,7:00 PM
CBJ,MIN,1/27/2006,6:00 PM
MIN,DET,1/30/2006,7:00 PM
COL,MIN,1/31/2006,8:00 PM
SJS,MIN,2/2/2006,9:30 PM
ARI,MIN,2/4/2006,8:00 PM
MIN,LAK,2/7/2006,7:00 PM
MIN,COL,2/9/2006,7:00 PM
EDM,MIN,2/10/2006,8:00 PM
VAN,MIN,2/12/2006,9:00 PM
COL,MIN,2/28/2006,8:00 PM
LAK,MIN,3/2/2006,9:30 PM
ANH,MIN,3/3/2006,9:30 PM
MIN,COL,3/5/2006,6:00 PM
MIN,LAK,3/7/2006,7:00 PM
STL,MIN,3/10/2006,7:00 PM
MIN,EDM,3/12/2006,6:00 PM
MIN,EDM,3/14/2006,7:00 PM
MIN,CGY,3/19/2006,6:00 PM
MIN,CGY,3/21/2006,7:00 PM
DAL,MIN,3/22/2006,7:30 PM
MIN,SJS,3/25/2006,7:00 PM
EDM,MIN,3/28/2006,8:00 PM
VAN,MIN,3/29/2006,10:00 PM
VAN,MIN,3/31/2006,9:00 PM
MIN,DET,4/2/2006,2:30 PM
MIN,STL,4/4/2006,7:00 PM
MIN,EDM,4/6/2006,7:00 PM
CGY,MIN,4/7/2006,8:00 PM
COL,MIN,4/9/2006,7:00 PM
MIN,CHI,4/11/2006,7:00 PM
NSH,MIN,4/13/2006,7:00 PM
DAL,MIN,4/15/2006,1:00 PM
