HOME,AWAY,DATE,TIME (PT)
CHI,ANH,10/5/2005,5:30 PM
NSH,ANH,10/8/2005,5:00 PM
ANH,EDM,10/10/2005,7:30 PM
ANH,CBJ,10/14/2005,7:30 PM
MIN,ANH,10/16/2005,3:00 PM
STL,ANH,10/19/2005,5:00 PM
DET,ANH,10/21/2005,4:30 PM
ANH,ARI,10/23/2005,1:00 PM
LAK,ANH,10/25/2005,7:30 PM
ANH,CGY,10/26/2005,7:30 PM
ANH,STL,10/28/2005,7:30 PM
ANH,ARI,10/30/2005,5:00 PM
ANH,NSH,11/1/2005,7:30 PM
COL,ANH,11/3/2005,6:00 PM
ANH,SJS,11/4/2005,7:30 PM
ANH,MIN,11/6/2005,5:00 PM
ARI,ANH,11/12/2005,6:00 PM
ANH,DAL,11/13/2005,5:00 PM
ANH,DAL,11/16/2005,7:30 PM
ANH,COL,11/18/2005,7:30 PM
ANH,VAN,11/20/2005,1:00 PM
ARI,ANH,11/22/2005,6:00 PM
DAL,ANH,11/23/2005,5:30 PM
ANH,DET,11/25/2005,1:00 PM
ANH,CHI,11/27/2005,5:00 PM
ANH,ARI,11/30/2005,7:30 PM
ANH,ATL,12/3/2005,7:30 PM
ANH,CAR,12/6/2005,7:30 PM
BUF,ANH,12/8/2005,4:00 PM
MON,ANH,12/10/2005,4:00 PM
TOR,ANH,12/12/2005,4:30 PM
ANH,TBL,12/14/2005,7:30 PM
ANH,LAK,12/16/2005,7:30 PM
ANH,SJS,12/18/2005,5:00 PM
SJS,ANH,12/20/2005,7:30 PM
ANH,STL,12/21/2005,7:30 PM
CBJ,ANH,12/28/2005,4:00 PM
STL,ANH,12/31/2005,3:00 PM
NSH,ANH,1/1/2006,5:00 PM
DAL,ANH,1/6/2006,5:30 PM
MIN,ANH,1/7/2006,5:00 PM
ANH,LAK,1/9/2006,7:30 PM
ANH,WSH,1/13/2006,7:30 PM
BOS,ANH,1/16/2006,10:00 PM
OTT,ANH,1/19/2006,4:30 PM
ANH,FLA,1/21/2006,7:30 PM
LAK,ANH,1/23/2006,7:30 PM
ANH,EDM,1/25/2006,7:00 PM
SJS,ANH,1/26/2006,7:30 PM
LAK,ANH,1/28/2006,1:00 PM
ANH,LAK,1/30/2006,7:30 PM
ANH,SJS,2/1/2006,7:30 PM
SJS,ANH,2/4/2006,7:30 PM
EDM,ANH,2/6/2006,6:00 PM
CGY,ANH,2/8/2006,6:00 PM
VAN,ANH,2/10/2006,7:00 PM
ANH,CHI,2/12/2006,5:00 PM
ANH,DET,3/1/2006,7:30 PM
ANH,MIN,3/3/2006,7:30 PM
ANH,CBJ,3/5/2006,1:00 PM
ANH,SJS,3/7/2006,7:30 PM
ARI,ANH,3/11/2006,6:00 PM
ANH,ARI,3/12/2006,5:00 PM
DET,ANH,3/15/2006,4:30 PM
CHI,ANH,3/17/2006,5:30 PM
CBJ,ANH,3/19/2006,2:00 PM
DAL,ANH,3/20/2006,5:30 PM
ANH,COL,3/22/2006,7:30 PM
ANH,NSH,3/24/2006,7:30 PM
ARI,ANH,3/25/2006,6:00 PM
COL,ANH,3/28/2006,6:00 PM
DAL,ANH,3/29/2006,5:30 PM
ANH,DAL,3/31/2006,7:30 PM
ANH,VAN,4/2/2006,1:00 PM
ANH,LAK,4/4/2006,7:30 PM
ANH,DAL,4/6/2006,7:30 PM
LAK,ANH,4/8/2006,3:00 PM
VAN,ANH,4/10/2006,7:00 PM
CGY,ANH,4/11/2006,6:00 PM
EDM,ANH,4/13/2006,6:00 PM
SJS,ANH,4/15/2006,1:30 PM
ANH,CGY,4/17/2006,7:30 PM
