DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
1/19/2013,VAN-A,DAL-A,NYR-H,,FLA-A,NSH-A,,LAK-A,MIN-A,ARI-H,STL-A,,CAR-H,CHI-H,COL-H,TOR-H,NYI-A,CBJ-H,NJD-H,BOS-A,WPG-A,PIT-H,PHI-A,,DET-H,WSH-H,MON-A,ANH-H,OTT-H,TBL-A
1/20/2013,,CHI-H,,PHI-H,,,SJS-H,ARI-A,,MIN-A,,VAN-A,,,DAL-H,,,,,PIT-H,,BUF-A,NYR-A,CGY-A,,,,EDM-H,,
1/21/2013,CGY-A,,WPG-H,TOR-A,,DET-H,ANH-H,,,,CBJ-A,,OTT-A,,,,,STL-H,TBL-H,,FLA-H,,,,NSH-A,NYI-A,BUF-H,,BOS-A,
1/22/2013,,,,,TBL-H,,,STL-H,LAK-H,DET-A,DAL-H,SJS-H,MON-A,COL-A,NSH-H,FLA-H,PHI-H,MIN-A,,,,NJD-A,,EDM-A,CHI-A,CAR-A,,,WSH-A,WPG-H
1/23/2013,,CBJ-H,NYR-A,,,ARI-A,VAN-A,,,,,,,,,,,,,BOS-H,,,TOR-H,,,,PIT-A,CGY-H,,
1/24/2013,,SJS-A,,CAR-A,BUF-H,COL-A,,DAL-A,CBJ-H,CHI-H,,LAK-H,OTT-H,EDM-A,,WSH-A,,STL-A,TOR-A,PHI-A,FLA-A,NYR-H,,ARI-H,NSH-H,,NYI-H,,,MON-H
1/25/2013,VAN-H,,NYI-H,CAR-H,BUF-A,,,,,,MIN-H,,,,DET-A,,WSH-H,,BOS-A,,TBL-A,,WPG-A,,,OTT-H,,ANH-A,PIT-H,NJD-A
1/26/2013,NSH-H,LAK-H,,,,CHI-H,EDM-H,CBJ-A,SJS-A,STL-H,,CGY-A,PHI-H,ARI-A,,,,ANH-A,,TOR-H,,FLA-A,,COL-H,DAL-A,,NYR-A,,,
1/27/2013,,,,WSH-A,,,,DET-H,,,CHI-A,,,,STL-A,NJD-H,MON-A,,WPG-A,,PIT-H,TBL-A,OTT-A,VAN-H,MIN-H,PHI-H,,SJS-A,NYI-H,BUF-H
1/28/2013,,NSH-H,CAR-A,,BOS-H,DAL-H,,,EDM-A,CBJ-A,,COL-H,,VAN-H,,,,ARI-A,,,,,,,,,,LAK-A,,
1/29/2013,SJS-A,,NJD-H,TOR-H,,MIN-A,,,,DET-A,DAL-H,,TBL-A,,CBJ-H,WPG-H,BOS-A,,PIT-A,PHI-H,WSH-H,NYR-A,NYI-H,ANH-H,,FLA-H,BUF-A,,MON-A,OTT-A
1/30/2013,,EDM-H,,,,,,MIN-A,VAN-A,,,ARI-A,,,CHI-H,OTT-A,,,,,MON-H,,,,,,,COL-H,,
1/31/2013,,,BUF-H,BOS-A,,STL-H,COL-H,,CGY-A,,,SJS-A,WPG-H,NSH-H,,,NYI-H,LAK-A,NJD-A,PIT-H,,,NYR-A,EDM-H,CBJ-A,,WSH-H,,FLA-A,TOR-A
2/1/2013,MIN-H,DAL-A,,,OTT-H,,,VAN-A,,ARI-H,STL-H,,,,ANH-A,,,,,,CAR-A,WSH-A,,,DET-A,WPG-H,,CHI-H,TBL-A,PHI-H
2/2/2013,LAK-H,DAL-H,TOR-A,MON-A,PHI-A,DET-H,CHI-H,CGY-A,EDM-H,ARI-A,CBJ-A,COL-A,,ANH-A,,BUF-H,PIT-A,SJS-A,,TBL-A,,CAR-H,NJD-H,NSH-H,,NYR-H,BOS-H,,,
2/3/2013,,,,FLA-H,,,,,,,,,BUF-A,,,OTT-H,NYI-A,,NJD-H,,MON-A,,WSH-A,,,,,,,PIT-H
2/4/2013,SJS-H,MIN-H,,,TOR-A,,,,DAL-H,COL-A,,VAN-H,,,ARI-A,,,,,,,,,ANH-A,,,CAR-H,EDM-A,,
