DATE\TEAM,ANH,ARI,CHI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
2/17/2009,,,,CAR-A,TOR-A,BOS-H,,VAN-H,TBL-A,OTT-H,,,SJS-A,NJD-H,,,,FLA-A,,,,COL-A,,,EDM-H,,CHI-H,BUF-H,CGY-A,
2/18/2009,LAK-H,,,,,,STL-H,,,,,NSH-H,,,ANH-A,,WSH-A,,DET-A,NYR-A,NYI-H,,,,,CBJ-A,,,,MON-H
2/19/2009,,ATL-H,ARI-A,,PHI-A,NYI-A,TOR-A,MIN-A,FLA-A,,EDM-H,,DAL-A,CHI-H,SJS-A,CGY-H,PIT-A,TBL-A,STL-H,CAR-H,,VAN-H,BUF-H,MON-H,LAK-H,NSH-A,NJD-H,CBJ-H,OTT-A,
2/20/2009,DET-A,,,,,TBL-H,,,,WSH-A,,ANH-H,,,,,,,,,,,,,,,CAR-A,,,COL-H
2/21/2009,CBJ-A,LAK-A,SJS-A,FLA-A,NYR-H,,ANH-H,EDM-A,DAL-A,,CHI-H,MIN-A,CGY-H,BOS-H,ARI-H,DET-H,OTT-H,NYI-A,STL-A,NJD-H,BUF-A,MON-A,PIT-H,PHI-A,ATL-H,NSH-H,,VAN-H,TOR-A,
2/22/2009,,,,TBL-A,,COL-H,,,MIN-H,CAR-A,,,,,,CHI-A,,,,,TOR-H,,,WSH-A,,,BOS-H,NYR-A,,PIT-H
2/23/2009,,,,,,,,,,,SJS-H,,,,,,,,,,,,,,DAL-A,,,,,
2/24/2009,BUF-A,STL-A,COL-H,FLA-H,ANH-H,OTT-A,CGY-A,CBJ-H,NSH-A,ATL-A,,,TBL-H,BOS-A,MIN-A,LAK-H,VAN-H,,CHI-H,,,CAR-H,WSH-A,,,ARI-H,EDM-A,,MON-A,PHI-H
2/25/2009,,,,,,,,,,,,SJS-H,,,PHI-A,,,,,PIT-A,TOR-A,,LAK-H,NYI-H,DET-A,,,NYR-H,,
2/26/2009,BOS-A,NSH-A,WSH-A,ANH-H,CAR-A,BUF-H,EDM-A,,,NJD-A,STL-H,,CBJ-H,NYR-A,,,,COL-H,ARI-H,TOR-H,FLA-H,SJS-H,,,OTT-A,DAL-A,,NYI-A,,ATL-H
2/27/2009,,,,,,,,MIN-H,PIT-H,,,LAK-H,,,DET-A,CGY-A,PHI-A,,,,,,MON-H,CHI-A,,,VAN-A,,TBL-H,
2/28/2009,DAL-A,STL-H,CAR-H,WSH-H,NYI-A,ATL-A,,,,NYR-A,ANH-H,NSH-A,MIN-H,NJD-A,,EDM-A,SJS-H,FLA-H,DET-H,BUF-H,COL-H,TOR-H,,,MON-A,ARI-A,,OTT-A,,BOS-A
3/1/2009,,,,,,,VAN-A,TBL-H,LAK-H,,PIT-H,,,WSH-A,CHI-A,,,PHI-H,,,,,NJD-A,DAL-A,,,CGY-A,,CBJ-H,FLA-H
3/2/2009,,,,,,,,,,NYI-A,,,,,,,,,,COL-H,,,,,,,,,,
3/3/2009,CHI-A,,FLA-H,PHI-H,,WSH-A,LAK-H,OTT-A,ANH-H,,SJS-A,STL-A,NSH-A,ATL-A,CBJ-A,VAN-A,,TOR-A,EDM-H,,,CGY-H,BOS-A,TBL-A,DAL-H,DET-H,PIT-H,NJD-H,MIN-H,CAR-H
3/4/2009,,,,,MON-H,,,,,DET-H,,COL-A,,,,,BUF-A,,,,,,,,,,,,,
3/5/2009,,BOS-A,,ARI-H,,,NSH-A,PHI-A,,,LAK-A,,OTT-A,PIT-H,DAL-H,SJS-A,,,CBJ-H,NYR-H,NYI-A,EDM-H,CGY-H,FLA-A,MIN-H,,,WSH-A,,TOR-H
3/6/2009,DAL-H,BUF-A,MON-H,,ARI-H,CGY-H,,CAR-A,,,ANH-A,,,,,,ATL-A,,,,,,,,,TBL-A,STL-H,,,
3/7/2009,,,,CHI-H,OTT-A,TBL-A,DET-A,,BOS-A,,,CBJ-H,TOR-A,STL-H,MIN-H,LAK-A,,NYI-A,PHI-A,NJD-H,,BUF-H,NSH-H,,VAN-A,FLA-A,CAR-H,EDM-H,SJS-H,
3/8/2009,MIN-H,NYI-A,CGY-H,NYR-A,,,,ATL-A,COL-H,CHI-A,MON-H,,,,,ANH-A,DAL-A,,,ARI-H,BOS-H,,,WSH-A,,,,,,PIT-H
3/9/2009,,,,,,NYR-H,,,,,,,,,VAN-H,,,,,,CAR-A,TOR-H,,,,,,OTT-A,LAK-A,
3/10/2009,,DET-A,COL-A,CBJ-A,PHI-A,,BOS-H,NJD-A,,ATL-H,STL-A,ARI-H,MON-A,PIT-A,,SJS-H,EDM-H,CGY-H,WSH-H,TOR-A,,,BUF-H,FLA-H,MIN-A,DAL-H,,NYI-H,,NSH-A
3/11/2009,VAN-H,,,,,CHI-A,,,CAR-H,,,,,,,,,,,,,TBL-H,,,,,OTT-A,,ANH-A,
3/12/2009,,NJD-A,EDM-A,OTT-H,FLA-H,DAL-A,PIT-H,DET-A,,MIN-H,CAR-H,CGY-H,ATL-H,BUF-A,,COL-A,NYI-H,ARI-H,NYR-H,MON-A,NSH-A,BOS-A,WSH-H,CBJ-A,STL-A,SJS-H,TOR-A,TBL-H,,PHI-A
3/13/2009,,,,,,,CHI-A,,CBJ-H,,,,,,VAN-A,,,,,,,,,,,,,,LAK-H,
3/14/2009,,NSH-H,BUF-A,NYI-H,ATL-H,WSH-A,,TOR-A,,EDM-A,MIN-H,STL-A,COL-H,TBL-H,SJS-A,DAL-A,NJD-H,MON-A,ARI-A,BOS-A,PHI-A,PIT-A,NYR-H,OTT-H,LAK-H,DET-H,FLA-A,CGY-H,,CAR-H
3/15/2009,SJS-H,,,PIT-A,,,DET-H,,NYI-H,VAN-A,,CBJ-A,,,,STL-A,,,,CHI-A,PHI-H,,NYR-A,BOS-H,ANH-A,MIN-H,,,COL-H,
3/16/2009,,,WSH-H,,,,,,,,,,,,NSH-H,,,,LAK-A,,,,,,,,,,,ATL-A
3/17/2009,,SJS-H,PIT-A,,OTT-A,,,,NJD-A,MIN-A,VAN-A,PHI-H,STL-H,WSH-H,,COL-H,NYR-H,CHI-H,,,MON-A,BUF-H,DET-A,ATL-H,ARI-A,EDM-A,TOR-H,TBL-A,DAL-H,FLA-A
3/18/2009,NSH-H,,,,,NJD-H,CHI-H,DAL-H,CBJ-A,,CGY-A,,,,,,,CAR-A,ANH-A,,,,,,,,,,,
3/19/2009,ARI-A,ANH-H,,LAK-H,,,,,,EDM-H,,,COL-A,TOR-H,BOS-A,,OTT-A,,SJS-A,,,MON-H,,,NSH-H,VAN-A,WSH-H,FLA-A,STL-H,TBL-A
3/20/2009,,,DET-H,,PHI-H,NYI-H,,STL-H,EDM-H,,,ATL-A,CHI-A,,PIT-A,NJD-A,,MIN-H,,CAR-A,,,BUF-A,LAK-H,,CGY-A,,,,
3/21/2009,,VAN-H,TBL-A,,NYR-A,WSH-H,FLA-A,,,,SJS-A,,,CBJ-H,,,TOR-H,,,OTT-A,BUF-H,NYI-H,,,DAL-H,,ATL-H,MON-A,ARI-A,CAR-A
3/22/2009,ARI-H,ANH-A,,NJD-H,,,,,LAK-H,SJS-A,,,MIN-A,,CHI-A,EDM-H,,BOS-A,,,OTT-H,NYR-A,PIT-A,PHI-H,COL-H,,,,,
3/23/2009,,,,,,FLA-A,,DET-H,,,,CGY-A,,CAR-H,,,,PHI-A,,,,,NJD-H,,,,,,,
3/24/2009,NSH-A,,MON-A,,,,TBL-A,,,,VAN-H,EDM-A,DET-H,,STL-A,NYR-A,ATL-H,,ANH-H,,MIN-H,,,,,LAK-H,CBJ-H,WSH-H,DAL-A,TOR-A
3/25/2009,COL-A,,,,FLA-H,OTT-H,,PIT-A,SJS-H,ANH-H,,,,BUF-A,,NYI-A,,,,MIN-H,,CAR-A,,CGY-H,CHI-A,,,,,
3/26/2009,,EDM-H,NYR-H,,,,CGY-H,CBJ-A,,,LAK-H,,ARI-A,PHI-A,DAL-A,,TBL-H,,SJS-H,,ATL-A,,FLA-H,,NSH-A,VAN-H,MON-A,,STL-A,
3/27/2009,EDM-H,,,,TOR-H,,,,NJD-H,VAN-H,,NYI-H,ANH-A,,,,,CHI-A,,DET-A,,,,,,,WSH-A,BUF-A,COL-A,TBL-H
3/28/2009,,SJS-A,OTT-H,TOR-A,MON-A,NJD-A,STL-A,MIN-H,,,FLA-H,,,DAL-A,NSH-A,CGY-A,BUF-H,CAR-H,LAK-H,PHI-H,PIT-A,ATL-A,NYI-A,NYR-H,ARI-H,CBJ-H,,BOS-H,,
3/29/2009,COL-H,,,PHI-A,,,STL-H,,VAN-H,ANH-A,,NSH-H,MIN-H,,,EDM-A,,,DET-A,,,TBL-A,BOS-H,,,CBJ-A,OTT-H,,CHI-A,
3/30/2009,,DAL-H,,,,,,SJS-H,,,ARI-A,,,,,,,NYR-A,,,NJD-H,,,,CGY-A,,,,,
3/31/2009,EDM-A,,,TBL-H,,,NSH-H,,MON-A,,LAK-A,,ANH-H,OTT-H,DAL-H,VAN-H,CHI-H,,CBJ-A,,,FLA-A,,,,,BOS-A,,MIN-A,
4/1/2009,,COL-A,BUF-H,,ATL-A,,,,STL-H,ARI-H,,,,,,,,PIT-A,,WSH-A,,,TOR-A,NJD-H,,CHI-A,,PHI-H,,NYI-H
4/2/2009,VAN-A,LAK-H,,OTT-H,,NYR-H,,DAL-A,,,CGY-H,STL-H,SJS-H,,ARI-A,,NYI-A,,,MON-H,CAR-A,BOS-A,,,EDM-A,DET-A,,,ANH-H,
4/3/2009,,,FLA-A,,WSH-A,,,MIN-A,NSH-H,,,,,ATL-H,,CGY-H,,TBL-H,CHI-A,,,,TOR-H,,,,NJD-A,PHI-A,,BUF-H
4/4/2009,SJS-A,LAK-A,,NYR-H,NJD-H,PIT-H,NSH-A,,,,STL-H,,VAN-H,,ARI-H,,TOR-A,BUF-A,CBJ-H,TBL-H,BOS-A,PHI-H,OTT-A,CAR-A,ANH-H,DAL-A,NYI-A,MON-H,EDM-A,
4/5/2009,SJS-H,,WSH-A,,,,CHI-H,,CBJ-A,VAN-A,,MIN-H,,PIT-H,,DET-A,,,,,,,,FLA-A,ANH-A,,,,COL-H,ATL-H
4/6/2009,,,,,DET-H,,,LAK-H,,,,BUF-A,,,CGY-A,,OTT-H,,,,,MON-A,,,,,,,,
4/7/2009,,STL-H,WSH-H,OTT-A,,NYI-H,,VAN-A,NSH-A,SJS-A,MIN-A,,LAK-H,PHI-A,EDM-A,DAL-H,NYR-A,TOR-H,CHI-H,CAR-A,MON-H,BOS-H,FLA-H,TBL-A,COL-H,ARI-A,PIT-H,NJD-A,CGY-H,ATL-A
4/8/2009,,,,,TOR-A,,CHI-A,,CBJ-H,,,,,,,,,,,,,,,,,,,BUF-H,,
4/9/2009,,SJS-A,FLA-H,MON-H,CAR-A,BUF-H,,,,DAL-H,COL-A,NSH-H,,ATL-A,VAN-A,,BOS-A,OTT-A,DET-A,PIT-A,PHI-H,NJD-H,NYR-A,NYI-H,ARI-H,,WSH-H,,LAK-H,TBL-A
4/10/2009,DAL-H,,,,,,STL-A,EDM-A,,,ANH-A,,CGY-H,,,NSH-H,,,MIN-A,,,,,,,CBJ-H,,,,
4/11/2009,ARI-A,ANH-H,TBL-H,BUF-A,BOS-H,NJD-A,MIN-H,EDM-H,DET-A,VAN-H,,CHI-H,CGY-A,WSH-H,SJS-H,CBJ-A,PIT-H,CAR-H,,PHI-H,,TOR-A,NYI-A,MON-A,LAK-A,,ATL-A,OTT-H,COL-A,FLA-A
4/12/2009,,,,NYI-A,,,,,DET-H,STL-H,,CHI-A,,,,,,,,BOS-H,PHI-A,,NYR-H,,,COL-A,,,,
