DATE\TEAM,ANH,ARI,CHI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
11/6/2008,,VAN-A,NYI-H,TOR-H,,WSH-A,,NSH-H,,MIN-H,,,PIT-A,LAK-A,FLA-H,COL-A,,,CGY-A,ATL-A,TBL-H,PHI-H,OTT-A,EDM-H,STL-H,SJS-A,NYR-A,BOS-A,ARI-H,CAR-H
11/7/2008,DAL-H,,BUF-A,,ATL-H,OTT-H,MON-H,,,,ANH-A,,,,,,CBJ-A,,,,,CAR-A,,,,,,,,
11/8/2008,,FLA-H,,BUF-H,BOS-A,,CGY-H,CBJ-A,,NSH-H,SJS-A,NJD-H,,ARI-A,STL-H,VAN-A,TOR-A,DET-A,COL-A,PIT-H,WSH-A,,TBL-H,NYI-A,DAL-H,LAK-A,PHI-A,MON-H,MIN-H,NYR-H
11/9/2008,FLA-H,SJS-H,CAR-A,,,ATL-H,,CHI-A,CGY-H,,,,NJD-A,ANH-A,,,,EDM-H,,,,,,,ARI-A,,,,,
11/10/2008,,,,,,,,,,,,,NYR-A,,,,,,,,EDM-H,,,,,,WSH-A,,,TBL-H
11/11/2008,,,,,,,,TOR-H,,,LAK-A,PIT-H,,,DAL-H,,OTT-H,,SJS-A,PHI-H,,MON-A,NYI-A,DET-A,NSH-H,,,CGY-A,,
11/12/2008,,CBJ-A,,CHI-A,STL-H,WSH-H,ARI-H,,BOS-H,VAN-A,,,,TBL-H,,,,NYR-H,,,NJD-A,,,,,BUF-A,FLA-A,,COL-H,CAR-A
11/13/2008,,MIN-A,,MON-H,,,,SJS-A,,,LAK-H,TBL-A,TOR-H,,DAL-A,ARI-H,BOS-A,,,OTT-A,,NYI-H,PIT-A,PHI-H,CGY-H,,DET-H,EDM-A,,
11/14/2008,NSH-H,,CAR-H,,CBJ-H,ATL-A,BUF-A,,STL-H,,,FLA-A,,DET-H,,,,WSH-A,ANH-A,,,,,,,CHI-A,,,,NJD-H
11/15/2008,,DAL-H,,NYR-A,PIT-A,,MIN-A,,,EDM-A,ARI-A,,COL-H,,NSH-H,CBJ-H,PHI-H,WSH-H,LAK-A,OTT-H,BOS-H,NYI-A,MON-A,BUF-H,,,,VAN-A,TOR-H,NJD-A
