DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
11/6/2011,,,,,DAL-H,,COL-A,VAN-H,CGY-H,CAR-A,,,TBL-H,,,,,,,WPG-H,,,,,,FLA-A,,CHI-A,NYR-A,
11/7/2011,,,NYI-H,,,,,,,,,,,SJS-A,,,,,BOS-A,,,,,LAK-H,,,,,,
11/8/2011,,,,WPG-H,NJD-A,,MIN-H,STL-A,DET-A,WSH-A,COL-H,MON-A,TOR-A,NSH-H,CGY-A,EDM-H,CAR-H,LAK-A,,,,,,,CHI-H,,FLA-H,,BUF-A,DAL-H
11/9/2011,NSH-H,,,,,,,,,,,,,,,,,ANH-A,,OTT-A,NYR-H,TBL-A,,,,PHI-H,,,,
11/10/2011,,MON-H,EDM-H,,,CHI-H,,CBJ-A,NYI-H,,,BOS-A,WPG-A,VAN-H,SJS-A,ARI-A,,,COL-A,,,,,MIN-H,TOR-H,,STL-A,LAK-A,FLA-H,
11/11/2011,VAN-H,,,OTT-H,NYR-A,,CHI-A,CGY-H,,PIT-A,EDM-H,DET-A,,,,,WSH-H,,,CAR-H,BUF-A,,DAL-H,,,,,ANH-A,,NJD-A
11/12/2011,,SJS-A,BUF-H,BOS-A,PIT-H,WPG-H,COL-A,,CGY-H,DET-A,DAL-H,,,MIN-H,LAK-A,NSH-A,WSH-A,MON-H,,,TOR-A,,CAR-A,ARI-H,TBL-H,STL-A,OTT-H,,CBJ-A,NJD-H
11/13/2011,MIN-H,,,,,,,EDM-H,,,,CHI-A,PHI-H,,ANH-A,,,,VAN-A,,,FLA-A,,,,,,NYI-H,,
11/14/2011,,,,MON-A,PHI-H,,,,,,,,,,,BUF-H,,,,,,CAR-A,,,,WPG-A,,,TBL-H,
11/15/2011,,TOR-A,NJD-H,,,MIN-H,OTT-H,,PIT-A,FLA-H,STL-A,,DAL-A,,CBJ-A,,BOS-A,WSH-H,NYR-H,NYI-A,CGY-A,,COL-H,,DET-H,,ARI-H,,,NSH-A
11/16/2011,LAK-A,,,NJD-H,MON-A,,,VAN-A,,,,,,ANH-H,,CAR-H,BUF-A,,,,,,,,,,,CHI-H,,
11/17/2011,LAK-H,PHI-A,CBJ-H,,,BOS-A,,,MIN-A,,SJS-A,OTT-H,STL-A,ANH-A,COL-H,NYI-A,,TOR-H,MON-H,,EDM-A,ARI-H,TBL-A,DET-H,FLA-H,PIT-H,NSH-A,,WSH-H,WPG-A
11/18/2011,,,,CAR-A,BUF-H,,CHI-H,CGY-A,DAL-H,COL-A,,,,,,,,,,,,,,,,,,,,
11/19/2011,,BUF-A,NYI-A,ARI-H,,NSH-A,,EDM-A,,SJS-H,LAK-A,CHI-H,PIT-H,DET-H,STL-H,NYR-H,TBL-A,CBJ-H,BOS-H,MON-A,,WPG-A,FLA-A,DAL-A,MIN-A,NJD-H,WSH-H,,PHI-H,TOR-A
