DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
2/11/2012,,CHI-H,NSH-H,TBL-H,,MIN-A,VAN-H,ARI-A,STL-A,,,OTT-A,NJD-A,NYI-A,CBJ-H,TOR-A,FLA-H,BOS-A,LAK-H,PHI-A,EDM-H,NYR-H,WPG-H,,COL-H,BUF-A,MON-H,CGY-A,PIT-A,
2/12/2012,CBJ-A,,,,,ANH-H,,,,LAK-H,PHI-H,,NYI-A,DAL-A,,,,,FLA-H,WSH-H,,DET-A,TBL-H,STL-A,SJS-H,PIT-A,,,,NYR-A
2/13/2012,,VAN-A,,,MON-A,,,,,,,,,,,CAR-H,,,,,,,,WSH-A,,,,ARI-H,,SJS-H
2/14/2012,MIN-A,,NYR-H,NJD-H,,STL-H,TOR-H,NSH-A,,DET-A,DAL-H,,,,ANH-H,,BUF-A,CHI-H,WPG-A,BOS-A,TBL-A,,,,CBJ-A,OTT-H,CGY-A,,NYI-H,
2/15/2012,PIT-A,,MON-A,,,,,,VAN-A,,,TOR-H,OTT-H,,,BOS-H,,,,,FLA-A,,ANH-H,,,,EDM-A,COL-H,,
2/16/2012,,LAK-A,,PHI-A,,,DAL-A,NYR-A,,CGY-H,,,,ARI-H,WPG-H,,,,STL-A,CHI-H,,BUF-H,,TBL-A,NYI-H,SJS-H,,,MIN-A,
2/17/2012,NJD-A,,WPG-A,MON-H,SJS-H,,,,EDM-A,,NSH-H,COL-H,WSH-H,,,BUF-A,ANH-H,DET-A,,,,,,CAR-A,,,,,BOS-H,FLA-A
2/18/2012,,DAL-H,,,NYI-A,CHI-H,LAK-A,CBJ-A,,ARI-A,,,,CGY-H,STL-A,,,,CAR-H,,,PIT-H,PHI-A,,MIN-H,WSH-H,VAN-A,TOR-H,,TBL-A
2/19/2012,FLA-A,,MIN-A,PIT-H,,NYR-A,,STL-H,WPG-A,NSH-H,SJS-H,VAN-H,ANH-H,,BOS-H,NJD-H,MON-A,DAL-A,,CBJ-H,,,BUF-A,DET-A,CHI-A,,,EDM-A,COL-H,
2/20/2012,,,,,WSH-H,,,,,,,,,,,,,,OTT-H,,NYI-A,,,,,,,,,CAR-A
2/21/2012,TBL-A,LAK-H,,NYI-H,,SJS-H,EDM-H,DET-H,,MON-A,CHI-A,CGY-A,,ARI-A,,DAL-H,TOR-A,VAN-H,BUF-A,PIT-A,,WPG-A,NYR-H,CBJ-A,,ANH-H,NJD-H,NSH-A,PHI-H,
2/22/2012,,,STL-A,,,,,,LAK-H,,,,,COL-A,,,,,,,WSH-H,,,,BOS-H,,,,,OTT-A
2/23/2012,CAR-A,CGY-A,,,ANH-H,,ARI-H,DAL-H,,CHI-A,VAN-H,PHI-H,MIN-H,,FLA-A,,,STL-H,,,,EDM-A,,TOR-A,NSH-A,WPG-A,SJS-H,DET-A,TBL-H,
2/24/2012,,,BUF-A,BOS-H,,COL-H,,,CBJ-A,MIN-H,,,,,DAL-A,WSH-A,VAN-H,,NYR-H,NYI-A,,,,,,,,NJD-A,,MON-H
2/25/2012,,EDM-A,OTT-A,NYR-A,FLA-H,,PHI-H,LAK-A,DET-A,,COL-H,ARI-H,CAR-A,CHI-H,,,,SJS-H,,BUF-H,BOS-H,CGY-A,TBL-H,NSH-A,WPG-A,PIT-A,WSH-H,,STL-H,TOR-A
2/26/2012,CHI-H,,,,,PIT-A,,ANH-A,,VAN-H,,,MON-H,,SJS-H,FLA-A,TBL-H,,OTT-A,,NYI-H,,CBJ-H,MIN-A,,NJD-A,,DAL-A,,
2/27/2012,COL-A,,,,,,STL-H,,ANH-H,,,WPG-A,,NSH-A,,,NYR-A,LAK-H,,NJD-H,,,,,CGY-A,,,,EDM-H,
2/28/2012,,VAN-H,OTT-H,,NSH-H,DET-H,,,,,CBJ-A,,TOR-A,MIN-A,LAK-H,TBL-A,,CAR-A,WSH-A,,BOS-A,SJS-A,,PHI-H,,MON-H,FLA-H,ARI-A,,NYI-H
2/29/2012,BUF-H,,,ANH-A,,,,TOR-H,,PIT-H,,STL-H,,,,,,,,,,,DAL-A,,EDM-A,,CHI-A,,,
3/1/2012,,CGY-H,NJD-H,SJS-A,NYR-H,COL-A,ARI-A,,CBJ-H,,,,WPG-A,,MON-A,MIN-H,BOS-A,,PHI-A,CAR-A,,NYI-H,,BUF-H,VAN-A,,,STL-H,FLA-H,
3/2/2012,CGY-H,,,,,,ANH-A,OTT-A,,EDM-A,MIN-H,DAL-H,,,DET-A,,WSH-A,,,TBL-A,CHI-H,,,,,NYR-H,,,,NJD-H
3/3/2012,LAK-A,CBJ-H,NYI-H,VAN-A,TBL-H,ARI-A,,,PIT-H,,,,NSH-H,ANH-H,,TOR-H,,FLA-A,BOS-A,,,,COL-A,STL-H,SJS-A,CAR-A,MON-A,BUF-H,,
3/4/2012,,,NYR-A,,,,DAL-H,DET-A,MIN-A,CGY-A,CHI-H,,OTT-H,,COL-H,,NYI-A,,NJD-H,BOS-H,FLA-A,WSH-A,,,,,,,,PHI-H
3/5/2012,EDM-H,PIT-A,,WPG-A,,,,,,,,ANH-A,,,,,,,,,,,ARI-H,,,,,,BUF-H,
3/6/2012,,CBJ-A,TOR-A,,WSH-A,ARI-H,MON-H,STL-A,MIN-H,VAN-A,PHI-A,SJS-A,,NSH-A,COL-A,CGY-A,NYR-H,LAK-H,,NJD-A,TBL-A,DET-H,,EDM-H,CHI-H,OTT-H,BOS-H,DAL-H,,CAR-H
3/7/2012,,,,CAR-H,BUF-A,,,,,,,,,,,,,,,,,,TOR-H,,,,PIT-A,,,
3/8/2012,STL-A,MIN-H,BUF-H,BOS-A,,LAK-H,,,NSH-A,SJS-H,,MON-H,PHI-A,CBJ-A,ARI-A,EDM-A,NYI-H,COL-H,NJD-A,OTT-A,NYR-H,FLA-H,,DAL-A,ANH-H,WSH-A,,WPG-H,VAN-A,TBL-H
3/9/2012,,,,,,,WPG-H,NYR-H,,,LAK-H,,PIT-A,DET-A,,,,,,CHI-A,,,FLA-H,,,,,,CGY-A,
3/10/2012,DAL-A,SJS-H,WSH-H,OTT-A,TBL-A,STL-A,,,EDM-H,ANH-H,NSH-A,COL-A,,,,VAN-A,NYI-A,DET-H,NJD-H,,BUF-H,TOR-A,,ARI-A,CBJ-H,CAR-H,PHI-H,MON-H,,BOS-A
3/11/2012,,,PIT-A,,FLA-A,STL-H,MIN-A,LAK-H,,,,,CAR-H,CHI-A,CGY-H,,PHI-H,,NYR-A,NYI-H,,NJD-A,BOS-H,,CBJ-A,,WSH-A,,,TOR-H
3/12/2012,COL-A,NSH-H,,MON-H,,,,,ANH-H,,,SJS-H,,,,BUF-A,,ARI-A,,,,,,EDM-A,,,,,,
3/13/2012,,,TBL-A,,NYR-A,,SJS-H,STL-H,,MIN-A,LAK-A,,TOR-H,DET-H,DAL-H,,PHI-A,,WSH-H,CAR-H,,NJD-H,,CGY-A,CHI-A,BOS-H,FLA-A,,,NYI-A
3/14/2012,DET-H,VAN-A,,COL-H,,EDM-A,,,BUF-A,WPG-A,ANH-A,CBJ-H,,,,OTT-H,,,,,MON-A,,,,,,,ARI-H,DAL-H,
3/15/2012,,CGY-A,FLA-A,,STL-H,,ARI-H,,NJD-A,,,,BOS-H,,,,COL-H,SJS-A,PHI-H,PIT-H,,NYI-A,NYR-A,NSH-H,CAR-A,TOR-H,TBL-A,,,
3/16/2012,LAK-H,,,,,,EDM-A,DAL-A,,CHI-H,,CGY-H,,ANH-A,,OTT-A,,,,,MON-H,,,,,,,,WSH-H,WPG-A
3/17/2012,,,PHI-H,FLA-A,MIN-A,VAN-A,,,NYR-A,,SJS-A,,BUF-H,NSH-H,CAR-H,NYI-H,PIT-H,LAK-A,MON-A,COL-H,TOR-H,BOS-A,NJD-A,DET-H,TBL-A,STL-H,OTT-A,CBJ-H,,
3/18/2012,NSH-H,EDM-A,,,WPG-A,CGY-A,CBJ-H,WSH-H,,,,ARI-H,,,,,,ANH-A,,,,PIT-H,PHI-A,,,,,,CAR-H,CHI-A
3/19/2012,SJS-A,,TOR-H,TBL-A,,,,,,,WSH-H,,,,VAN-H,,NYR-A,,,NJD-H,,,,ANH-H,,BUF-H,BOS-A,MIN-A,,DET-A
3/20/2012,,DAL-A,,,,CHI-H,COL-A,CBJ-A,CGY-H,ARI-H,,NSH-A,PHI-A,SJS-H,,,OTT-A,EDM-H,TOR-A,,NJD-H,FLA-H,WPG-H,LAK-A,,,NYI-H,,PIT-A,
3/21/2012,STL-H,,,MON-H,FLA-H,,,VAN-H,,,NYR-A,,CAR-A,,,BUF-A,,,,DET-H,,,,,ANH-A,,,CHI-A,,
3/22/2012,,COL-H,SJS-A,,,,MIN-A,,ARI-A,VAN-H,,TBL-A,,STL-H,CGY-H,,,PIT-A,,,,WSH-H,NSH-H,BOS-H,LAK-A,EDM-H,,DAL-A,,PHI-A
3/23/2012,,,,NYR-A,CBJ-A,CAR-H,,,,,,FLA-A,EDM-H,,,OTT-H,TOR-H,,,BUF-H,MON-A,,,,,,NJD-A,,WSH-A,WPG-H
3/24/2012,,SJS-A,LAK-A,MIN-H,DET-A,,DAL-A,,VAN-H,CGY-H,CAR-H,,,BOS-H,BUF-A,PHI-A,,WPG-H,TBL-A,TOR-A,PIT-H,MON-H,OTT-A,ARI-H,,NYI-H,NYR-H,COL-A,NSH-A,
3/25/2012,BOS-H,STL-H,ANH-A,,,EDM-H,,NSH-H,,,,CBJ-A,NYI-H,,WSH-A,,PIT-A,CHI-A,FLA-A,,,,NJD-H,,ARI-A,,,,,MIN-H
3/26/2012,,,,,,DET-A,DAL-H,,SJS-A,CGY-A,CBJ-H,,,VAN-A,,,,,,,WPG-A,TBL-H,,COL-H,,PHI-A,,LAK-H,OTT-H,
3/27/2012,,,TBL-H,WSH-A,TOR-A,,,NJD-A,,,,,MON-A,,NYR-H,FLA-H,CHI-H,STL-A,PIT-A,MIN-A,,,NYI-H,,NSH-H,BOS-A,CAR-H,,,BUF-H
3/28/2012,SJS-H,,,,,DET-H,LAK-H,,VAN-A,EDM-A,CBJ-A,DAL-H,,CGY-A,,,,,,WPG-A,,,,ANH-A,,,,COL-H,NYR-H,
3/29/2012,,SJS-H,WSH-H,,,,,STL-H,,,,,MIN-A,,FLA-H,,TBL-H,,PIT-H,,,TOR-A,NYI-A,ARI-A,CHI-A,NJD-A,PHI-H,,,BOS-A
3/30/2012,,,,PIT-H,WPG-H,FLA-H,COL-H,,CGY-A,VAN-A,NSH-H,LAK-H,CBJ-A,EDM-A,,NYR-A,,DET-A,,MON-H,,,BUF-A,,,,,DAL-H,CAR-A,
3/31/2012,ARI-A,ANH-H,NYI-A,TOR-A,NJD-H,STL-A,VAN-A,NSH-A,,SJS-A,,,,MIN-A,LAK-H,WSH-A,CAR-A,CHI-H,BOS-H,,PHI-A,OTT-H,,DAL-H,CBJ-H,WPG-H,BUF-H,CGY-H,TBL-A,MON-H
4/1/2012,EDM-H,,NYR-A,,,,,MIN-H,,,FLA-H,ANH-A,DET-A,,CHI-A,,,,OTT-H,BOS-H,NYI-A,PIT-A,PHI-H,,,,,,,
4/2/2012,,,,,,,,,,,,LAK-A,,EDM-H,,,,,,,,,,,,WSH-H,,,,TBL-A
4/3/2012,VAN-A,CBJ-H,PIT-H,TOR-H,OTT-A,ARI-A,,,,SJS-H,,,WPG-H,,NSH-A,,NYI-H,MIN-H,NJD-A,PHI-A,CAR-H,NYR-H,BOS-A,DAL-A,,,BUF-A,ANH-H,FLA-A,
4/4/2012,,,,,,,,,,,STL-A,,,,,TBL-H,,,,,,,,,DET-H,MON-A,,,,
4/5/2012,EDM-A,,OTT-A,PHI-A,MON-H,COL-A,VAN-H,MIN-A,CBJ-H,NSH-A,NJD-H,ANH-H,WSH-A,SJS-H,CHI-H,CAR-A,DET-A,DAL-H,WPG-H,PIT-A,BOS-H,BUF-H,NYR-H,LAK-A,,TOR-A,TBL-H,CGY-A,NYI-A,FLA-H
4/6/2012,,STL-A,,,,,,,,,,,,,,,,,,,,,,,ARI-H,,,,,
4/7/2012,CGY-A,MIN-A,BUF-H,BOS-A,FLA-A,NYI-H,ANH-H,DET-A,NSH-H,STL-H,CHI-H,VAN-A,CAR-H,SJS-A,ARI-H,TOR-H,OTT-H,COL-A,CBJ-A,WSH-H,NJD-A,PIT-A,PHI-H,LAK-H,DAL-A,WPG-A,MON-A,EDM-H,TBL-H,NYR-A
