HOME,AWAY,DATE,TIME (MT)
EDM,PIT,10/9/2011,7:00 PM
MIN,EDM,10/13/2011,6:00 PM
EDM,VAN,10/15/2011,8:00 PM
EDM,NSH,10/17/2011,7:30 PM
CGY,EDM,10/18/2011,7:30 PM
EDM,MIN,10/20/2011,7:30 PM
EDM,NYR,10/22/2011,8:00 PM
EDM,VAN,10/25/2011,7:30 PM
EDM,WSH,10/27/2011,7:30 PM
COL,EDM,10/28/2011,7:00 PM
EDM,STL,10/30/2011,6:00 PM
LAK,EDM,11/3/2011,8:30 PM
ARI,EDM,11/5/2011,8:00 PM
MON,EDM,11/8/2011,5:30 PM
BOS,EDM,11/10/2011,5:00 PM
DET,EDM,11/11/2011,5:30 PM
CHI,EDM,11/13/2011,5:00 PM
EDM,OTT,11/17/2011,7:30 PM
EDM,CHI,11/19/2011,8:00 PM
DAL,EDM,11/21/2011,6:30 PM
NSH,EDM,11/22/2011,6:00 PM
MIN,EDM,11/25/2011,2:00 PM
COL,EDM,11/26/2011,5:00 PM
EDM,NSH,11/28/2011,7:30 PM
EDM,MIN,11/30/2011,7:30 PM
EDM,CBJ,12/2/2011,7:30 PM
EDM,CGY,12/3/2011,8:00 PM
EDM,CAR,12/7/2011,7:30 PM
EDM,COL,12/9/2011,7:30 PM
CGY,EDM,12/10/2011,8:00 PM
ARI,EDM,12/15/2011,7:30 PM
SJS,EDM,12/17/2011,8:00 PM
EDM,DET,12/19/2011,7:30 PM
EDM,MIN,12/22/2011,7:30 PM
VAN,EDM,12/26/2011,8:00 PM
MIN,EDM,12/29/2011,6:00 PM
NYI,EDM,12/31/2011,11:00 PM
CHI,EDM,1/2/2012,6:30 PM
BUF,EDM,1/3/2012,5:00 PM
STL,EDM,1/5/2012,6:00 PM
DAL,EDM,1/7/2012,0:00 PM
EDM,NJD,1/11/2012,7:00 PM
EDM,ANH,1/13/2012,7:30 PM
EDM,LAK,1/15/2012,6:00 PM
CBJ,EDM,1/17/2012,5:00 PM
STL,EDM,1/19/2012,6:00 PM
EDM,CGY,1/21/2012,8:00 PM
EDM,SJS,1/23/2012,7:30 PM
VAN,EDM,1/24/2012,8:00 PM
EDM,COL,1/31/2012,7:30 PM
EDM,CHI,2/2/2012,7:30 PM
EDM,DET,2/4/2012,8:00 PM
TOR,EDM,2/6/2012,5:00 PM
DET,EDM,2/8/2012,5:30 PM
OTT,EDM,2/11/2012,0:00 PM
EDM,TOR,2/15/2012,8:00 PM
EDM,COL,2/17/2012,7:30 PM
EDM,VAN,2/19/2012,7:00 PM
CGY,EDM,2/21/2012,7:00 PM
EDM,PHI,2/23/2012,7:30 PM
EDM,ARI,2/25/2012,2:00 PM
WPG,EDM,2/27/2012,6:30 PM
EDM,STL,2/29/2012,8:00 PM
EDM,DAL,3/2/2012,7:30 PM
ANH,EDM,3/5/2012,8:00 PM
SJS,EDM,3/6/2012,8:30 PM
EDM,MON,3/8/2012,7:30 PM
COL,EDM,3/10/2012,1:00 PM
EDM,SJS,3/12/2012,7:30 PM
EDM,CBJ,3/14/2012,8:00 PM
EDM,CGY,3/16/2012,7:30 PM
EDM,ARI,3/18/2012,6:00 PM
NSH,EDM,3/20/2012,6:00 PM
TBL,EDM,3/22/2012,5:30 PM
FLA,EDM,3/23/2012,5:30 PM
CBJ,EDM,3/25/2012,1:00 PM
EDM,DAL,3/28/2012,7:30 PM
EDM,LAK,3/30/2012,7:30 PM
ANH,EDM,4/1/2012,6:00 PM
LAK,EDM,4/2/2012,8:30 PM
EDM,ANH,4/5/2012,7:30 PM
VAN,EDM,4/7/2012,8:00 PM
