HOME,AWAY,DATE,TIME (PT)
SJS,ARI,10/8/2011,7:30 PM
ANH,SJS,10/14/2011,7:00 PM
SJS,STL,10/15/2011,7:00 PM
SJS,ANH,10/17/2011,7:30 PM
NJD,SJS,10/21/2011,4:00 PM
BOS,SJS,10/22/2011,4:00 PM
NSH,SJS,10/25/2011,5:00 PM
DET,SJS,10/28/2011,4:30 PM
NYI,SJS,10/29/2011,4:00 PM
NYR,SJS,10/31/2011,4:00 PM
SJS,PIT,11/3/2011,7:30 PM
SJS,NSH,11/5/2011,7:30 PM
SJS,LAK,11/7/2011,7:30 PM
SJS,MIN,11/10/2011,7:30 PM
SJS,ARI,11/12/2011,7:30 PM
SJS,DET,11/17/2011,7:30 PM
DAL,SJS,11/19/2011,5:00 PM
COL,SJS,11/20/2011,5:00 PM
SJS,CHI,11/23/2011,7:30 PM
SJS,VAN,11/26/2011,7:00 PM
LAK,SJS,11/28/2011,7:30 PM
SJS,MON,12/1/2011,7:30 PM
SJS,FLA,12/3/2011,7:30 PM
SJS,MIN,12/6/2011,7:30 PM
SJS,DAL,12/8/2011,7:30 PM
STL,SJS,12/10/2011,5:00 PM
CHI,SJS,12/11/2011,4:00 PM
COL,SJS,12/13/2011,6:00 PM
SJS,COL,12/15/2011,7:30 PM
SJS,EDM,12/17/2011,7:00 PM
SJS,TBL,12/21/2011,7:30 PM
SJS,LAK,12/23/2011,7:30 PM
SJS,ANH,12/26/2011,7:30 PM
SJS,VAN,12/28/2011,7:30 PM
VAN,SJS,1/2/2012,5:00 PM
ANH,SJS,1/4/2012,7:00 PM
SJS,CBJ,1/5/2012,7:30 PM
SJS,WSH,1/7/2012,7:30 PM
MIN,SJS,1/10/2012,4:30 PM
WPG,SJS,1/12/2012,5:30 PM
CBJ,SJS,1/14/2012,4:00 PM
CHI,SJS,1/15/2012,4:00 PM
SJS,CGY,1/17/2012,7:30 PM
SJS,OTT,1/19/2012,7:30 PM
VAN,SJS,1/21/2012,1:00 PM
EDM,SJS,1/23/2012,6:30 PM
CGY,SJS,1/24/2012,6:00 PM
SJS,CBJ,1/31/2012,7:30 PM
SJS,DAL,2/2/2012,7:30 PM
ARI,SJS,2/4/2012,5:00 PM
SJS,CGY,2/8/2012,7:00 PM
SJS,CHI,2/10/2012,7:30 PM
STL,SJS,2/12/2012,4:00 PM
WSH,SJS,2/13/2012,4:30 PM
TBL,SJS,2/16/2012,4:30 PM
CAR,SJS,2/17/2012,4:00 PM
DET,SJS,2/19/2012,9:30 PM
CBJ,SJS,2/21/2012,4:00 PM
TOR,SJS,2/23/2012,4:00 PM
NSH,SJS,2/25/2012,5:00 PM
MIN,SJS,2/26/2012,3:00 PM
SJS,PHI,2/28/2012,7:30 PM
SJS,BUF,3/1/2012,7:30 PM
SJS,STL,3/3/2012,7:30 PM
SJS,EDM,3/6/2012,7:30 PM
DAL,SJS,3/8/2012,5:30 PM
ARI,SJS,3/10/2012,5:00 PM
EDM,SJS,3/12/2012,6:30 PM
CGY,SJS,3/13/2012,6:30 PM
SJS,NSH,3/15/2012,7:30 PM
SJS,DET,3/17/2012,7:30 PM
SJS,ANH,3/19/2012,7:00 PM
LAK,SJS,3/20/2012,7:30 PM
SJS,BOS,3/22/2012,7:30 PM
SJS,ARI,3/24/2012,7:00 PM
SJS,COL,3/26/2012,7:30 PM
ANH,SJS,3/28/2012,7:00 PM
ARI,SJS,3/29/2012,7:00 PM
SJS,DAL,3/31/2012,7:30 PM
DAL,SJS,4/3/2012,5:30 PM
LAK,SJS,4/5/2012,7:30 PM
SJS,LAK,4/7/2012,7:30 PM
