DATE\TEAM,ANH,ARI,ATL,COL,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
11/2/2007,,DAL-A,,,FLA-H,,,,,,ARI-H,,NSH-H,BUF-A,SJS-A,,,TOR-H,EDM-A,,,,WSH-A,,LAK-H,,,NJD-A,,PHI-H
11/3/2007,ARI-A,ANH-H,TBL-A,OTT-A,,FLA-H,,MIN-A,STL-A,VAN-H,,,,CAR-A,SJS-H,CGY-H,TOR-H,NYR-A,,PIT-H,NJD-H,BOS-H,,NYI-A,LAK-A,CHI-H,ATL-H,MON-A,COL-A,
11/4/2007,,,,OTT-H,,,STL-H,,NSH-H,,,,,,,,,,CHI-A,,,BOS-A,,,,CBJ-A,,,,
11/5/2007,DAL-H,,,,MON-A,WSH-H,,COL-A,,CGY-H,ANH-A,,MIN-A,TBL-H,,EDM-H,BUF-H,PIT-H,,,PHI-H,,NYR-A,NJD-A,,,FLA-A,,,CAR-A
11/6/2007,,,WSH-H,,,,,,,,,,,,,,,,,NYR-H,NYI-A,TOR-H,,,,,,OTT-A,,ATL-A
11/7/2007,ARI-H,ANH-A,,BUF-A,BOS-H,,CHI-A,,CBJ-H,EDM-H,SJS-A,NSH-H,COL-A,TBL-A,,,,,DET-A,,,,PIT-A,PHI-H,DAL-H,,FLA-H,,,
11/8/2007,,DAL-H,,MON-H,,TBL-H,,VAN-H,,,ARI-A,,,,,,BOS-A,PHI-H,,,PIT-H,WSH-H,NJD-A,NYR-A,,,CAR-A,,CGY-A,OTT-A
11/9/2007,SJS-H,,FLA-A,,TOR-H,,DET-A,,STL-H,VAN-A,,CBJ-H,,ATL-H,,,,,,,,,,,ANH-A,CHI-A,,BUF-A,COL-H,
11/10/2007,,SJS-A,CAR-H,BUF-H,BOS-A,ATL-A,NSH-A,EDM-H,,,LAK-A,,CGY-A,,DAL-H,,OTT-A,NYI-A,CBJ-H,NJD-H,TOR-A,MON-H,PIT-H,PHI-A,ARI-H,,WSH-A,NYR-H,,TBL-H
11/11/2007,,,,,,,,,DET-H,MIN-H,,CHI-A,,,,COL-A,,,,,,,,,,,,,,
11/12/2007,,SJS-A,,,,FLA-A,NSH-H,,,,,,,CAR-H,,,,PIT-A,CBJ-A,PHI-A,,,NYI-H,NJD-H,ARI-H,,,,,
11/13/2007,LAK-H,,FLA-H,,,,,MIN-H,,,,STL-A,,ATL-A,ANH-A,CGY-A,TOR-A,,,,,,,,,DET-H,,MON-H,,
11/14/2007,,,,,,TBL-A,CHI-H,,CBJ-A,,SJS-H,,VAN-A,,,,,NYR-H,,,NJD-A,,,,DAL-A,,CAR-H,,EDM-H,
11/15/2007,LAK-A,SJS-H,,TOR-H,OTT-A,,,,NSH-A,,,,MIN-H,WSH-H,ANH-H,EDM-A,,,CHI-H,PIT-A,PHI-A,BUF-H,NYR-H,NYI-H,ARI-A,,,BOS-A,,FLA-A
11/16/2007,,,CAR-A,,MON-H,ATL-H,STL-A,,,DAL-A,COL-H,,,,,VAN-A,BUF-A,NYI-H,,NJD-A,,,,,,CBJ-H,WSH-H,,MIN-H,TBL-A
11/17/2007,SJS-A,LAK-A,,MON-A,,FLA-H,,EDM-A,DET-A,,,CHI-H,CGY-H,CAR-A,ARI-H,,BOS-H,PHI-A,STL-H,,PIT-A,TOR-A,NJD-H,NYR-H,ANH-H,NSH-A,,OTT-H,,
11/18/2007,,,,,,,DET-H,VAN-A,,MIN-A,,CBJ-A,,,,COL-H,,,,,,,,,,,,,CGY-H,
11/19/2007,,,TBL-H,,,,,,,,LAK-H,,,WSH-A,DAL-A,,OTT-H,,STL-A,NYR-A,NYI-H,MON-A,,,,NSH-H,ATL-A,,,FLA-H
11/20/2007,,,,TOR-A,,,,COL-H,,CGY-A,,,VAN-H,,,,,,,,,,,,,,,BOS-H,EDM-A,
11/21/2007,DAL-A,LAK-H,WSH-A,,OTT-H,PHI-H,FLA-H,,,,ANH-H,STL-H,,CBJ-A,ARI-A,VAN-H,NYI-A,PIT-A,,MON-H,TBL-A,BUF-A,CAR-A,NJD-H,,DET-A,NYR-H,,MIN-A,ATL-H
11/22/2007,,,,,,,,CHI-H,CGY-A,EDM-A,,NSH-A,COL-H,,,,,,DET-H,,,PIT-H,,OTT-A,,,,,,
11/23/2007,ARI-H,ANH-A,NJD-H,NYI-H,MON-H,TBL-H,MIN-A,,,,TOR-H,,,NYR-H,,CBJ-H,BUF-A,ATL-A,,BOS-A,FLA-A,,WSH-H,,,VAN-H,CAR-A,DAL-A,STL-A,PHI-A
11/24/2007,,TOR-H,PIT-A,NYI-A,MON-A,WSH-A,DET-H,COL-A,EDM-A,CGY-H,,CBJ-A,CHI-H,,SJS-A,NSH-A,BUF-H,TBL-A,MIN-H,BOS-H,,PHI-H,OTT-A,ATL-H,LAK-H,,NJD-H,ARI-A,,CAR-H
11/25/2007,LAK-H,,,,,,,STL-A,VAN-A,,NYR-A,,,,ANH-A,,,,,,DAL-H,,,,,CGY-H,,,CHI-H,
11/26/2007,,,,PHI-A,WSH-A,,EDM-A,,,,NYI-A,,CBJ-H,,,,,,,DAL-H,,,BOS-H,,,,,,,BUF-H
11/27/2007,VAN-A,,,,,,,DET-A,,,,CGY-H,,,,,TOR-A,,,,,,,,,,,MON-H,ANH-H,
11/28/2007,,MIN-A,,,STL-H,PHI-H,,,TBL-H,EDM-H,NJD-A,,COL-A,WSH-A,SJS-A,ARI-H,,DAL-H,,OTT-H,,NYI-A,CAR-A,,LAK-H,BUF-A,CHI-A,,,FLA-H
11/29/2007,CGY-A,,TOR-H,FLA-A,,,VAN-A,ANH-H,,,,TBL-H,,BOS-H,,,,,OTT-A,NYR-A,NYI-H,NSH-H,,,,,DET-A,ATL-A,CBJ-H,
11/30/2007,EDM-A,CHI-A,,,,WSH-H,,,ARI-H,SJS-A,PIT-A,,ANH-H,,,STL-H,NJD-A,MON-H,,,,,,DAL-H,COL-H,MIN-A,,,,CAR-A
12/1/2007,,DET-A,NYI-A,TBL-A,CAR-H,BUF-A,CGY-A,CBJ-H,STL-A,LAK-A,PHI-A,ARI-H,,WSH-H,COL-H,,NSH-H,,MON-A,ATL-H,OTT-A,NYR-H,DAL-H,TOR-A,,CHI-H,BOS-H,PIT-H,,FLA-A
12/2/2007,EDM-H,,NJD-A,,,,,,,,,,ANH-A,,,VAN-H,,ATL-H,,,,,,,,,,,MIN-A,
12/3/2007,,PIT-A,,NYI-A,,NYR-A,DAL-H,,,SJS-H,CBJ-A,,LAK-A,,EDM-H,,,,,BOS-H,CAR-H,,,ARI-H,COL-A,,,,,
12/4/2007,,,,,,,,STL-H,,,,MON-A,,,,,DET-H,,TOR-A,,,TBL-A,,,,CGY-A,OTT-H,NSH-H,,
12/5/2007,BUF-H,LAK-H,NYI-H,NJD-A,ANH-A,,COL-H,,VAN-H,CBJ-A,SJS-H,,PIT-H,OTT-H,ARI-A,PHI-H,,BOS-H,,ATL-A,,FLA-A,MIN-A,EDM-A,DAL-A,,,,CHI-A,
12/6/2007,,,,MON-H,LAK-A,TBL-A,,PIT-H,,,,,,,BUF-H,,BOS-A,,VAN-H,,TOR-H,,,CGY-A,,,CAR-H,NYR-A,NSH-A,
12/7/2007,CHI-A,SJS-H,NYR-H,,,,,,ANH-H,PHI-H,OTT-H,MIN-H,STL-H,NYI-H,,DET-A,,WSH-H,,FLA-A,ATL-A,DAL-A,COL-A,,ARI-A,EDM-A,,,,NJD-A
12/8/2007,NSH-A,LAK-A,WSH-A,TOR-A,SJS-A,MON-A,MIN-H,,,,,,,,ARI-H,CBJ-A,CAR-H,,ANH-H,TBL-A,,,,VAN-A,BUF-H,,NYI-H,BOS-H,PIT-H,ATL-H
12/9/2007,,,,,,DET-A,,CHI-A,CGY-H,STL-H,,CAR-H,,,,,,NYR-A,,,NJD-H,,,,,COL-A,,,,
12/10/2007,CBJ-A,,,BUF-A,BOS-H,,ANH-H,,,,EDM-H,NSH-A,DAL-A,,VAN-H,,,WSH-A,DET-H,,,,,,,,TOR-A,TBL-H,LAK-A,NJD-H
12/11/2007,,,,,,,,FLA-A,,,,,STL-A,CGY-H,,SJS-A,TBL-H,,,,,,PIT-H,PHI-A,MIN-H,EDM-H,MON-A,,,
12/12/2007,VAN-H,,BOS-H,ATL-A,NYI-H,OTT-H,COL-H,,LAK-H,CBJ-A,,,,,CHI-A,,,,,BUF-A,WSH-A,CAR-A,,,,,,,ANH-A,NYR-H
