DATE\TEAM,ANH,ARI,ATL,COL,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
2/3/2008,,,,,,,,,,,,,,,,,NYR-H,,,,MON-A,,,,,,,,,
2/4/2008,,COL-A,,,,,,EDM-A,,ARI-H,,,CGY-H,,,,,PIT-H,,,,,,NJD-A,,,,,,
2/5/2008,NYI-A,CGY-A,PHI-H,BUF-H,BOS-A,NSH-A,WSH-H,ARI-H,,,VAN-H,MIN-A,,TOR-A,NYR-A,DET-H,OTT-H,,CAR-H,ANH-H,LAK-H,MON-A,ATL-A,,,TBL-H,STL-A,FLA-H,DAL-A,CBJ-A
2/6/2008,,,,,NJD-H,,,,EDM-A,SJS-A,,,CHI-H,,,,,BUF-A,,,,,WSH-H,,COL-H,,,,,PHI-A
2/7/2008,NYR-A,CBJ-H,VAN-H,,,,ARI-A,CHI-H,CGY-A,,MIN-A,LAK-H,,OTT-A,DET-A,DAL-H,TOR-H,,TBL-H,PIT-A,ANH-H,FLA-H,,NYI-H,,,NSH-A,MON-A,ATL-A,
2/8/2008,NJD-A,,,BUF-A,BOS-H,WSH-A,SJS-A,,,,,,,,,,,ANH-H,,,,,,,CBJ-H,,,,,CAR-H
2/9/2008,,,TBL-H,FLA-H,,NJD-A,,EDM-H,,VAN-A,STL-H,TOR-A,CGY-A,BOS-A,PIT-A,NYI-H,OTT-A,CAR-H,SJS-A,MIN-A,PHI-A,MON-H,NYR-H,LAK-H,NSH-H,DAL-A,ATL-A,DET-H,COL-H,
2/10/2008,DET-A,NSH-H,,,FLA-H,,LAK-H,,VAN-A,,,ANH-H,,BUF-A,CBJ-A,STL-A,,,ARI-A,,WSH-A,,PIT-A,PHI-H,,MIN-H,,,CHI-H,NYR-H
2/11/2008,,DAL-A,,,,,,,,,ARI-H,,,,,,,,,,,,,,,,,,,
2/12/2008,COL-A,,,CAR-H,OTT-A,BOS-A,,SJS-A,,ANH-H,,NSH-A,MIN-H,,STL-A,EDM-A,TBL-A,,DET-H,PHI-H,,BUF-H,NYI-A,,CGY-H,LAK-H,MON-H,,,
2/13/2008,,,WSH-H,PIT-A,TOR-H,,CHI-H,,CBJ-A,,,,,MON-H,,,FLA-A,OTT-H,,,,NJD-A,,BOS-H,,,,BUF-A,,ATL-A
2/14/2008,,DAL-H,,,,PIT-H,,,NSH-A,STL-H,ARI-A,,SJS-A,,,VAN-A,,,CHI-H,TOR-A,,,TBL-H,CAR-A,EDM-H,COL-A,PHI-A,NYI-H,MIN-H,
2/15/2008,DAL-H,,NJD-A,,,,DET-A,LAK-A,,,ANH-A,CBJ-H,,WSH-H,CGY-H,,,ATL-H,,,,,,,,,,,,FLA-A
2/16/2008,,LAK-H,NYI-A,TOR-A,NYR-A,FLA-H,,,,,,,VAN-A,CAR-A,ARI-A,,PHI-H,OTT-A,STL-H,ATL-H,BUF-H,NJD-H,MON-A,,,NSH-A,WSH-H,BOS-H,EDM-H,TBL-A
2/17/2008,CGY-H,,,,PIT-H,,STL-A,ANH-A,COL-H,CHI-A,DET-H,DAL-A,,,,NSH-H,PHI-A,,MIN-A,,SJS-H,,MON-H,BUF-A,NYR-A,CBJ-H,,,,
2/18/2008,,LAK-A,,,,NJD-A,,,,DET-H,,COL-A,,,ARI-H,,,CAR-H,,SJS-H,,,,,NYI-A,,,,,
2/19/2008,,CGY-H,,CAR-A,,BOS-H,TOR-A,ARI-A,STL-A,,,,NSH-A,PIT-A,,VAN-H,NYR-H,,EDM-H,,MON-A,PHI-H,OTT-A,FLA-H,,CHI-H,,CBJ-H,MIN-A,
2/20/2008,COL-H,,,,TBL-H,,,DAL-A,MIN-H,ANH-A,CGY-H,,,,,CHI-A,,SJS-H,,WSH-A,,,,,NJD-A,,BUF-A,,,NYI-H
2/21/2008,,,CAR-A,FLA-A,TOR-A,ATL-H,OTT-A,,,,,,,BOS-H,STL-H,,PIT-H,,VAN-H,TBL-H,,CBJ-H,SJS-H,MON-A,PHI-A,LAK-A,NYI-A,BUF-H,NSH-A,
2/22/2008,STL-H,COL-H,,,,,,DET-H,,ARI-A,EDM-H,CGY-A,DAL-A,,,,,,,,,,,,,ANH-A,,,,
2/23/2008,,,TOR-A,TBL-A,NYR-H,WSH-H,MON-A,,LAK-A,,NSH-A,VAN-A,,PHI-A,CHI-H,,CBJ-H,NYI-H,DAL-H,NJD-A,BUF-A,PIT-A,FLA-H,OTT-H,,,BOS-H,ATL-H,DET-H,CAR-A
2/24/2008,CHI-H,STL-H,,,,,,MIN-A,ANH-A,EDM-A,,,COL-H,NYR-A,,CGY-H,,WSH-A,,,FLA-H,,,SJS-H,PIT-A,ARI-A,,,,NJD-H
2/25/2008,,,,,PHI-H,,,,,,,,,,,,,,,,,TOR-H,BUF-A,,,,,OTT-A,,
2/26/2008,,,MON-A,OTT-H,,NJD-H,,COL-H,,CGY-A,STL-A,EDM-A,DET-H,,,WSH-A,ATL-H,CAR-A,,PIT-H,,BOS-A,,NYI-A,,DAL-H,,,,MIN-H
2/27/2008,,CHI-A,,,NSH-H,,SJS-H,,ARI-H,VAN-A,,,,TOR-H,,TBL-A,,,BUF-A,,,,,,CBJ-A,,MIN-H,FLA-A,COL-H,
2/28/2008,,STL-A,NYI-H,PIT-H,,NYR-H,,,DAL-A,,CHI-H,,LAK-H,,EDM-A,,,,,ATL-A,CAR-A,PHI-A,OTT-H,BOS-A,,ARI-H,,,,
2/29/2008,CGY-H,,,,MON-H,,VAN-A,ANH-A,,,,SJS-H,,MIN-H,,FLA-A,BUF-A,WSH-H,,,,,,,DET-A,,TOR-H,TBL-A,CBJ-H,NJD-A
3/1/2008,,CGY-H,BOS-A,ATL-H,,TBL-H,,ARI-A,,LAK-H,NSH-H,,,,COL-A,,NJD-H,MON-A,DAL-A,PHI-H,,PIT-H,NYI-A,OTT-A,STL-A,SJS-H,CAR-A,WSH-A,,TOR-H
3/2/2008,,,PIT-A,,DET-H,,EDM-A,,VAN-H,,,BUF-A,CBJ-H,NYI-A,MIN-A,LAK-H,,,,FLA-H,PHI-H,,NYR-A,ATL-H,,,,,CHI-A,
3/3/2008,OTT-H,,,WSH-A,,,,,,,,,,,,,SJS-A,,,,,ANH-A,,,MON-H,,,,,BOS-H
3/4/2008,,,,FLA-H,PHI-A,,CGY-A,CBJ-H,MIN-A,VAN-H,,,NSH-H,BOS-A,STL-A,CHI-H,,TOR-A,EDM-A,NYR-A,NYI-H,,BUF-H,TBL-A,,LAK-H,PIT-H,NJD-H,COL-A,
3/5/2008,CHI-A,DAL-A,CAR-H,,WSH-H,ATL-A,,,ANH-H,,ARI-H,STL-H,,,,,,,,,,SJS-A,,,OTT-H,DET-A,,,,BUF-A
3/6/2008,COL-A,MON-H,,TOR-H,,MIN-H,,,,ANH-H,,,,PIT-H,OTT-H,CAR-A,ARI-A,,VAN-A,NYR-H,NYI-A,LAK-A,TBL-H,FLA-A,,,PHI-A,BOS-A,NSH-H,
3/7/2008,,,MIN-H,,,,EDM-H,NSH-H,SJS-H,,,,CBJ-A,,,ATL-A,,TBL-H,CGY-A,,,,,,CHI-A,,NJD-A,,,
3/8/2008,,OTT-H,FLA-A,WSH-H,CAR-A,BUF-H,,,,DAL-H,COL-A,,,ATL-H,MON-H,,LAK-A,TOR-A,,PHI-A,,ARI-A,NYI-H,,,VAN-A,,NJD-H,STL-H,BOS-A
3/9/2008,MON-H,,,NYR-A,,,TBL-H,,EDM-H,DAL-A,COL-H,NSH-H,CHI-A,,,SJS-H,ANH-A,,DET-A,,BOS-H,,,WSH-A,MIN-A,,CBJ-A,,,PIT-H
3/10/2008,,,,,NYR-H,,,STL-H,,,,,,,VAN-H,,,,,,BUF-A,,,,,CGY-A,,,LAK-A,
3/11/2008,ARI-A,ANH-H,COL-H,OTT-A,,,,,DET-A,ATL-A,,CHI-H,STL-H,,,,NJD-H,MON-A,SJS-H,TBL-A,,BOS-H,TOR-A,,NSH-A,EDM-A,NYI-H,PHI-H,,
3/12/2008,VAN-H,,,,PIT-A,CHI-A,,WSH-A,CAR-H,,,,,NYI-H,,,,,,FLA-A,,,TOR-H,BUF-H,,,,PHI-A,ANH-A,CGY-H
3/13/2008,,VAN-H,CGY-H,TBL-H,,,,ATL-A,,EDM-H,DET-A,DAL-H,COL-A,,NSH-A,NJD-H,OTT-H,MIN-A,LAK-H,,,MON-A,,,,,BOS-A,,ARI-A,
3/14/2008,,,WSH-A,,CAR-H,BUF-A,CHI-H,,CBJ-A,,,,,NYR-H,,,,,,,FLA-A,,,,STL-H,SJS-A,,,,ATL-H
3/15/2008,STL-H,EDM-H,,PHI-H,TOR-A,,,,,NJD-H,VAN-H,NSH-H,ARI-A,,MIN-A,LAK-H,NYI-H,COL-A,DET-A,MON-A,TBL-A,,BOS-A,,,ANH-A,NYR-H,BUF-H,DAL-A,
3/16/2008,,,FLA-A,WSH-A,,OTT-H,DET-H,CHI-A,CGY-H,,,CBJ-A,SJS-A,ATL-H,,,,,,,,CAR-A,PIT-A,PHI-H,EDM-H,,,,,BOS-H
3/17/2008,,VAN-A,,,,,,,,MIN-A,,,,,,COL-H,,,,,,,,,,,,,ARI-H,
3/18/2008,,EDM-A,PHI-A,,,,CGY-H,CBJ-A,,,,,ARI-H,,SJS-H,,STL-H,,WSH-H,TOR-H,PIT-H,,ATL-H,NYR-A,LAK-A,MON-A,,NYI-A,,NSH-A
3/19/2008,DAL-A,,CAR-H,,TBL-H,ATL-A,DET-A,,WSH-H,,ANH-H,CBJ-H,,,,SJS-A,,NYR-H,,,NJD-A,,,,MIN-H,,BUF-A,,,CHI-A
3/20/2008,,LAK-H,,MON-H,,FLA-A,,COL-H,,CGY-A,,NSH-A,VAN-H,CAR-H,ARI-A,,BOS-A,,DET-H,,,STL-H,,TBL-H,,OTT-A,PIT-A,,EDM-A,
3/21/2008,SJS-A,,WSH-H,,TOR-H,,,,,,,,,,,VAN-A,,NYI-H,,NJD-A,PHI-A,,NYR-H,,ANH-H,,,BUF-A,MIN-H,ATL-A
3/22/2008,ARI-A,ANH-H,,MON-A,,,DET-H,MIN-H,NSH-A,EDM-A,LAK-H,CBJ-A,COL-H,TBL-H,DAL-A,CGY-A,BOS-H,PIT-A,CHI-H,,,TOR-H,,NJD-H,,,FLA-A,OTT-A,,
3/23/2008,,,,,,,,,STL-H,,,,,,,,,,,PHI-A,,,NYI-H,,,CHI-A,,,,
3/24/2008,,,,,,,,COL-A,,CGY-H,,,MIN-H,,,EDM-A,OTT-H,,,PIT-H,,MON-A,,NYI-A,,,,,,
3/25/2008,,SJS-H,,TOR-A,OTT-H,WSH-H,NSH-A,VAN-H,,,,STL-A,,TBL-A,,,,PIT-H,CBJ-H,,PHI-H,BUF-A,NYR-A,NJD-A,ARI-A,DET-H,FLA-H,BOS-H,CGY-A,CAR-A
3/26/2008,LAK-H,,,,,,CHI-H,,CBJ-A,VAN-H,,,MIN-A,,ANH-A,EDM-H,,,,,,,,,,,,,COL-A,
3/27/2008,,LAK-A,FLA-A,TOR-H,OTT-A,,,,,,SJS-A,,,ATL-H,ARI-H,,,NYR-A,,PIT-A,NJD-H,BUF-H,,NYI-H,DAL-H,,WSH-H,BOS-A,,TBL-A
3/28/2008,SJS-H,,CAR-A,,MON-H,ATL-H,NSH-H,,,EDM-H,,STL-H,COL-A,,,VAN-H,BUF-A,PHI-H,CBJ-A,,,,NJD-A,,ANH-A,DET-A,,,MIN-A,
3/29/2008,,,,OTT-H,,TBL-A,,EDM-H,STL-A,,LAK-A,,CGY-A,WSH-H,DAL-H,,TOR-A,,,PHI-H,,BOS-A,NYI-A,,,CHI-H,CAR-H,MON-H,,FLA-A
3/30/2008,DAL-H,SJS-A,,BUF-A,BOS-H,,CHI-A,VAN-A,CBJ-H,MIN-A,ANH-A,NSH-H,,,,COL-H,,,DET-A,,PIT-A,,,NYR-H,ARI-H,,,,CGY-H,
3/31/2008,,,TBL-A,,,,,,,,,,,,,,,,,,PIT-H,,,NYR-A,,,ATL-H,,,
4/1/2008,,,FLA-H,,TOR-A,WSH-A,,EDM-A,,VAN-A,,,CGY-H,ATL-A,SJS-A,,OTT-A,NYI-A,STL-A,NJD-H,,MON-H,,,LAK-H,NSH-H,,BUF-H,COL-H,CAR-H
4/2/2008,,,,NJD-A,,TBL-H,,,DET-H,,,CHI-A,,,,,,BOS-H,,,,,PIT-A,PHI-H,,,CAR-A,,,
4/3/2008,,DAL-H,,,MON-A,,DET-A,MIN-A,,,ARI-A,CBJ-H,VAN-A,,SJS-H,CGY-H,BUF-H,,STL-H,NYR-H,NYI-A,TOR-A,,,LAK-A,NSH-A,WSH-A,OTT-H,EDM-H,TBL-H
4/4/2008,,DAL-A,,OTT-A,,FLA-H,,,NSH-H,,ARI-H,,,CAR-A,,,,PHI-A,CHI-A,NYR-A,NYI-H,BOS-H,NJD-H,,,,,,,
4/5/2008,LAK-A,,TBL-H,BUF-H,BOS-A,,STL-A,VAN-A,,,,,,WSH-A,ANH-H,,TOR-H,,,,,,,,,CBJ-H,ATL-A,MON-A,CGY-H,FLA-H
4/6/2008,ARI-H,ANH-A,,,,,STL-H,,DET-A,MIN-H,SJS-H,CHI-H,,,,COL-A,,NYR-H,,,NJD-A,,PIT-H,PHI-A,DAL-A,CBJ-A,,,,
