DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
10/28/2013,,,,DAL-H,PIT-H,,,MIN-A,,BUF-A,,,,,CHI-H,NYR-A,,,,MON-H,,,CAR-A,,,,,WSH-H,,VAN-A
10/29/2013,PHI-A,LAK-H,,,,,,OTT-H,,MON-A,,TOR-H,,ARI-A,,DAL-H,TBL-H,,NYR-H,NYI-A,CHI-A,ANH-H,,,WPG-H,NJD-A,EDM-A,,STL-A,
10/30/2013,,,PIT-A,,,,TOR-H,,,,VAN-A,,,SJS-H,,,,,,,,,BOS-H,LAK-A,,,CGY-A,DET-H,,
10/31/2013,BOS-A,NSH-H,ANH-H,NYR-A,,,,,,,,,,,,,,ARI-A,,BUF-H,,,,,,,,,,
11/1/2013,,,,,TBL-H,PIT-A,DET-H,,DAL-A,COL-H,CGY-A,,STL-H,,MON-H,MIN-A,,,OTT-A,,NYI-H,WSH-H,CBJ-H,,FLA-A,CAR-A,,,,PHI-A
11/2/2013,BUF-A,SJS-A,NYI-A,ANH-H,NYR-A,PIT-H,,WPG-A,MON-H,,EDM-A,DET-H,WSH-A,NSH-H,,COL-A,PHI-H,LAK-A,BOS-H,CAR-H,,NJD-A,CBJ-A,ARI-H,TBL-A,STL-H,VAN-A,TOR-H,CHI-H,FLA-H
11/3/2013,,,,,,,CHI-A,CGY-H,,OTT-A,,,,,NJD-H,,MIN-A,,,,DAL-H,,,,,,,,,
11/4/2013,NYR-A,,,,,,,,,,WPG-A,,,,,,,,,ANH-H,,,,,,,,,DET-H,
11/5/2013,,VAN-H,DAL-H,SJS-A,PHI-H,OTT-H,MIN-A,,,BOS-A,,FLA-A,EDM-H,,CGY-H,STL-H,,,WSH-A,,CBJ-A,CAR-A,,BUF-H,MON-A,,,ARI-A,,NYI-H
11/6/2013,ARI-H,ANH-A,,,,,,WPG-H,NSH-H,,,,,,,,,COL-A,,PIT-H,,,NYR-A,,,,,,CHI-A,
11/7/2013,,,FLA-H,LAK-A,NYI-H,NYR-H,STL-A,,,DET-A,DAL-H,TBL-A,BOS-A,BUF-H,WSH-A,OTT-A,PHI-A,,CAR-A,CBJ-A,MON-H,NJD-H,,VAN-H,CGY-H,EDM-H,,SJS-A,,MIN-H
11/8/2013,BUF-H,,,ANH-A,,,COL-A,,CGY-H,,,,,,,,TOR-A,WPG-A,,,,,,,,,NJD-H,,NSH-H,
11/9/2013,,WSH-H,TOR-H,,MIN-H,NYI-H,,DAL-A,,CHI-H,TBL-H,PHI-A,OTT-A,VAN-H,CAR-A,,,,CBJ-A,,FLA-H,EDM-H,STL-A,,PIT-H,DET-A,BOS-A,LAK-A,,ARI-A
11/10/2013,VAN-H,,,,,,,EDM-H,WSH-H,,,CHI-A,NYR-A,,,NYI-H,NSH-H,NJD-A,MON-A,FLA-H,,,,WPG-A,,,,ANH-A,SJS-H,COL-A
11/11/2013,,,TBL-H,,,,,,,,,,,,,,,,,,,,,,,BOS-A,,,,
11/12/2013,FLA-A,STL-A,,LAK-H,COL-H,WSH-A,SJS-H,,CAR-A,,WPG-H,,ANH-H,BUF-A,,TBL-H,NYR-A,NYI-A,NSH-H,NJD-H,PHI-H,OTT-A,,CGY-A,ARI-H,MON-A,,,DET-A,CBJ-H
11/13/2013,,,,,,,,,,EDM-A,,DAL-H,,,TOR-H,,,,,,,PIT-A,PHI-H,,,,MIN-A,,,
11/14/2013,TBL-A,CHI-A,CBJ-H,,,BOS-A,DAL-H,ARI-H,STL-A,CGY-A,,,,NYI-A,,,,,LAK-H,,,,,VAN-A,COL-H,ANH-H,,SJS-H,,
11/15/2013,CAR-A,,OTT-A,TOR-H,ANH-H,MON-H,,,,,WSH-H,SJS-H,MIN-A,NJD-A,FLA-H,CBJ-A,LAK-H,PIT-A,,,BOS-H,WPG-A,NSH-H,EDM-A,,,BUF-A,,PHI-H,DET-A
11/16/2013,,TBL-H,,TOR-A,STL-A,,EDM-H,NSH-A,FLA-H,,NYI-A,CGY-A,COL-A,,,NYR-H,PIT-H,CHI-H,DET-H,MON-A,,,NJD-A,,CAR-H,ARI-A,BUF-H,,,
11/17/2013,,,,,,OTT-A,,SJS-H,,VAN-A,,,,NYR-A,WPG-H,,,,,LAK-H,CBJ-H,,,CHI-A,WSH-A,,,DAL-H,MIN-A,STL-H
11/18/2013,PIT-A,,CAR-A,,BOS-H,,WPG-A,,,,,,,,,,,,,,,,ANH-H,,,,,,CGY-H,
11/19/2013,,,NYR-A,STL-H,,EDM-A,,COL-A,CHI-H,,NSH-H,CBJ-H,VAN-A,TBL-H,MON-A,MIN-H,,DET-A,TOR-A,BOS-H,PHI-A,OTT-H,,,BUF-A,LAK-A,NYI-H,FLA-H,,
11/20/2013,NJD-H,,,,,CGY-A,CBJ-H,,,,,,,,OTT-A,,ANH-A,,,,MIN-H,,WSH-A,,,,,,,PIT-H
11/21/2013,,COL-H,STL-H,PHI-A,DET-A,,,WPG-A,ARI-A,NYR-H,CAR-H,FLA-H,EDM-A,NJD-H,,,LAK-A,TOR-A,,DAL-A,,BUF-H,,TBL-H,BOS-A,SJS-A,NSH-H,,CHI-H,
11/22/2013,TBL-H,,,,,VAN-A,FLA-H,,,,,,CGY-A,,,WSH-A,,,PIT-A,,,,NYI-H,,,ANH-A,,CBJ-H,,MON-H
11/23/2013,ARI-A,ANH-H,CAR-H,,BOS-A,,,VAN-A,LAK-A,STL-A,OTT-H,,,COL-H,WPG-A,PIT-H,SJS-A,NYR-H,PHI-A,NSH-A,DET-A,NYI-H,MON-A,NJD-H,DAL-H,,WSH-H,CHI-H,MIN-H,TOR-A
11/24/2013,,,,DET-H,OTT-H,,,,,,BUF-A,,,,,,,,,,CAR-A,,,,,,,,,
11/25/2013,,NSH-A,PIT-H,,,TOR-A,,EDM-A,,,,CHI-H,PHI-H,VAN-A,STL-A,,WPG-H,ARI-H,,TBL-A,,FLA-A,BOS-A,,MIN-H,NYR-H,CBJ-H,LAK-H,NJD-A,
11/26/2013,DAL-A,,,,,,,,,ANH-H,,,,,,,,,,,,,,,,,,,,
11/27/2013,,MIN-A,DET-A,MON-H,NJD-A,NSH-H,CHI-H,CGY-A,STL-H,,BOS-H,,NYR-H,SJS-A,ARI-H,BUF-A,CAR-H,CBJ-A,WPG-H,FLA-A,WSH-A,TBL-A,TOR-H,LAK-H,COL-A,PHI-H,PIT-A,,NYI-A,OTT-H
11/28/2013,,,,,,,,,,,,NSH-A,,,,,,EDM-H,,,VAN-H,,,,,,,OTT-A,,
11/29/2013,CGY-H,,NYR-H,TOR-H,NJD-H,EDM-H,ANH-A,DAL-A,MIN-A,CHI-H,NYI-A,CBJ-A,,,COL-H,WSH-A,CAR-A,,DET-H,BOS-A,,WPG-H,TBL-A,STL-H,SJS-A,PIT-H,BUF-A,,PHI-A,MON-H
11/30/2013,SJS-A,CHI-H,CBJ-H,NJD-A,,BOS-A,LAK-A,ARI-A,MIN-H,,,,PIT-H,CGY-H,COL-A,TOR-H,BUF-H,PHI-H,WSH-H,VAN-H,,NSH-A,FLA-A,ANH-H,,,MON-A,NYR-A,,NYI-A
12/1/2013,,,,,VAN-H,,,,,EDM-H,OTT-A,DAL-A,,,,,,,,,DET-H,,,,,,,CAR-A,,
12/2/2013,,,,,,,,,,,,,,STL-H,PHI-H,NJD-H,MON-A,,,WPG-H,,MIN-A,,,LAK-A,,,,NYR-A,
12/3/2013,LAK-H,EDM-A,,,WSH-A,TBL-H,,DAL-H,,CHI-A,,ARI-H,OTT-H,ANH-A,,,,VAN-H,PIT-H,,FLA-A,,NYI-A,TOR-A,,CBJ-A,SJS-H,NSH-A,,CAR-H
12/4/2013,,CGY-A,,,,,ARI-H,,,,PHI-H,,,,,NJD-A,MON-H,,,,,DET-A,,,,,,,,
12/5/2013,,,MON-A,NYR-H,NSH-A,,,MIN-A,EDM-A,TOR-A,,COL-H,WPG-H,,CHI-H,BOS-H,,CAR-H,STL-A,BUF-A,TBL-A,,SJS-H,PIT-A,NYI-H,OTT-H,DAL-H,,FLA-A,
12/6/2013,CHI-A,VAN-A,,,SJS-H,MIN-H,COL-H,ANH-H,CGY-A,,NJD-A,,,,CBJ-A,,DET-H,,,,,,,CAR-A,,,,ARI-H,,
12/7/2013,STL-A,,PIT-H,MON-A,,,EDM-A,,,PHI-H,FLA-H,CGY-H,DET-A,NYI-H,,BUF-H,NYR-A,WSH-A,LAK-A,NJD-H,TOR-H,DAL-A,BOS-A,,ANH-H,WPG-H,OTT-A,,TBL-A,NSH-H
12/8/2013,,,TOR-A,,,,,FLA-H,VAN-A,,,,CHI-A,,SJS-H,,,,,WSH-H,,,,MIN-A,,,BOS-H,COL-H,,NYR-A
12/9/2013,NYI-H,,,,VAN-A,PIT-A,,,,,,,,,,,,,ANH-A,,PHI-H,OTT-A,CBJ-H,,,,,CAR-H,,
12/10/2013,,COL-A,CGY-A,OTT-H,EDM-A,NJD-H,BOS-H,DAL-A,ARI-H,CHI-H,FLA-A,CAR-H,DET-H,MON-A,,LAK-H,CBJ-A,NYR-A,SJS-A,NSH-H,BUF-A,,,NYI-H,WPG-A,WSH-A,,,STL-H,TBL-H
12/11/2013,MIN-H,,,,,,,PHI-H,,,,,,TOR-A,ANH-A,,,,,,,CHI-A,,,,,LAK-H,,,
12/12/2013,,NYI-H,EDM-A,OTT-A,CGY-A,NYR-A,CAR-H,,WPG-A,NSH-A,TBL-A,BOS-H,,,SJS-A,PHI-A,,DAL-H,ARI-A,CBJ-H,BUF-H,MON-H,,MIN-H,TOR-H,DET-H,STL-A,,COL-H,
12/13/2013,,,,,,,,,,,,VAN-A,WSH-H,,,,PIT-A,,,,,,NJD-H,,,,,EDM-H,,FLA-A
12/14/2013,,CAR-H,VAN-A,CGY-H,ARI-A,STL-H,BUF-A,TOR-A,MIN-H,WPG-A,PIT-H,,,OTT-A,COL-A,NYI-A,TBL-H,SJS-H,MON-H,,LAK-H,,DET-A,NSH-A,CBJ-A,NJD-A,CHI-H,BOS-H,DAL-H,
12/15/2013,EDM-H,,,,,,NYR-A,LAK-H,,,TBL-H,ANH-A,MON-A,CHI-A,,FLA-H,,,,CGY-H,,WSH-A,,,,DET-A,,,,PHI-H
12/16/2013,,,,,,WPG-H,,,DAL-H,COL-A,,,,,,,,,,,STL-H,,TOR-H,,OTT-A,,PIT-A,,CBJ-A,
12/17/2013,DET-A,MON-A,CGY-H,WPG-H,,,BOS-A,NSH-A,DAL-A,COL-H,ANH-H,LAK-A,TOR-A,EDM-H,VAN-H,ARI-H,,CHI-H,TBL-H,,,WSH-H,,STL-A,SJS-H,NYI-A,FLA-H,MIN-A,BUF-A,PHI-A
12/18/2013,,,,,,,,,,,,,,,,,OTT-H,,,PIT-H,NJD-A,,NYR-A,,,,,,,
12/19/2013,,TOR-A,BUF-A,BOS-H,,PHI-A,DET-A,,EDM-H,VAN-H,CGY-H,COL-A,OTT-A,SJS-H,PIT-A,STL-A,,TBL-A,,,FLA-H,CBJ-H,MIN-H,LAK-A,MON-H,NSH-H,ARI-H,DAL-A,,
12/20/2013,NJD-A,,,,WSH-H,,,VAN-H,,,,,WPG-A,,,,ANH-H,,NYR-A,NYI-H,,,,,,,,CHI-A,FLA-H,CAR-A
12/21/2013,NYI-A,OTT-A,BUF-H,BOS-A,TBL-A,PHI-H,PIT-A,,LAK-A,SJS-A,TOR-A,STL-H,,COL-H,,NSH-A,WSH-A,MON-H,ANH-H,,ARI-H,CBJ-A,CGY-H,DAL-H,EDM-A,CAR-H,DET-H,,,NJD-H
12/22/2013,,,,,,,,,,,,,,,NYR-A,,,,,MIN-H,,,,,,,,WPG-H,VAN-A,
12/23/2013,WSH-A,BUF-A,NSH-A,ARI-H,CBJ-H,CAR-A,STL-H,NJD-H,SJS-A,LAK-A,NYI-H,WPG-H,TBL-H,DAL-H,PHI-A,,CHI-A,BOS-H,DET-A,TOR-H,PIT-H,MIN-H,OTT-A,COL-H,CGY-A,FLA-A,NYR-A,,EDM-A,ANH-H
12/24/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/2013,,SJS-H,OTT-H,TOR-A,PIT-H,NJD-A,EDM-H,COL-H,CHI-A,NSH-H,,CGY-A,,,WPG-A,,CBJ-H,DAL-A,,WSH-A,BOS-A,,CAR-A,ARI-A,,,BUF-H,,MIN-H,NYR-H
12/28/2013,ARI-H,ANH-A,OTT-A,,,,,STL-A,,,FLA-A,PHI-H,DET-H,NSH-A,,TBL-A,NYI-A,LAK-H,NJD-H,,BOS-H,EDM-A,,,CHI-H,MON-H,,,,
12/29/2013,SJS-A,,,WSH-H,TOR-A,PIT-H,VAN-H,,WPG-H,STL-H,,,MON-H,,NYI-H,FLA-A,,,MIN-A,TBL-A,,,CBJ-A,ANH-H,DAL-A,NYR-H,CAR-H,CGY-A,COL-A,BUF-A
12/30/2013,,,,,,,,LAK-H,,,NSH-A,,,CHI-A,,,,DET-H,,,WSH-H,VAN-A,,,,,,PHI-H,,OTT-A
12/31/2013,SJS-H,EDM-H,NYI-H,WPG-A,MON-H,COL-A,PHI-H,,CBJ-H,LAK-H,,ARI-A,NYR-H,DAL-A,STL-H,CAR-A,PIT-H,,BOS-A,FLA-A,,CGY-A,NJD-A,ANH-A,MIN-A,,,,BUF-H,
1/1/2014,,,,,,,,,,,TOR-H,,,,,,,,,,,,,,,VAN-A,DET-A,TBL-H,,
1/2/2014,,CBJ-H,NSH-H,MIN-A,WSH-A,ARI-A,,NYI-A,PHI-H,MON-H,,SJS-A,,STL-A,BUF-H,DAL-A,,BOS-A,CHI-H,,WPG-H,COL-A,,EDM-H,LAK-H,,,,OTT-A,CAR-H
1/3/2014,EDM-H,,,,,,TBL-H,NJD-A,,,,ANH-A,,,,,CHI-H,,,PIT-A,,,NYR-H,,,CGY-A,,,,
1/4/2014,,PHI-H,WPG-H,NJD-H,NYI-A,STL-A,,,SJS-H,DET-H,DAL-A,,NSH-H,VAN-H,WSH-H,OTT-H,BUF-A,FLA-A,CAR-H,TOR-A,MON-A,ARI-A,,COL-A,CBJ-H,,NYR-H,LAK-A,BOS-A,MIN-A
1/5/2014,VAN-H,,,,NSH-H,,,SJS-H,,,,TBL-H,,,,,,CAR-A,,,,,WPG-H,CHI-A,,EDM-A,,ANH-A,PIT-A,
1/6/2014,,,,,,NYR-A,COL-A,,CGY-H,NYI-A,,,MON-A,,,FLA-H,,,DAL-H,CBJ-H,,,,,,,,,,
1/7/2014,BOS-H,CGY-H,ANH-A,,,,ARI-A,,,,,STL-H,,MIN-H,LAK-A,,PHI-H,SJS-H,TOR-A,,,NJD-A,VAN-A,NSH-A,EDM-A,WPG-A,NYI-H,PIT-H,TBL-H,
1/8/2014,,,,,,,,NYR-H,OTT-H,,,,,,,PHI-A,,,,CHI-A,COL-A,MON-H,,,,,,,,
1/9/2014,NSH-A,MIN-H,LAK-A,FLA-H,TOR-H,,STL-H,,,NJD-A,SJS-A,,BUF-A,BOS-H,ARI-A,,DAL-H,ANH-H,,,,,,DET-H,CGY-A,WSH-H,CAR-A,,,TBL-A
1/10/2014,,,,,CBJ-A,CAR-H,,,NYI-H,NYR-A,,PIT-H,,,,,,,COL-A,DAL-H,,,EDM-A,,VAN-A,,WSH-A,STL-H,,TOR-H
1/11/2014,ARI-A,ANH-H,SJS-A,,,WPG-A,PIT-H,MON-A,MIN-A,,LAK-A,,NJD-A,DET-H,COL-H,CHI-H,FLA-H,OTT-H,,,NSH-A,TBL-H,CGY-A,BOS-H,,PHI-A,,,CBJ-H,
1/12/2014,DET-H,,,WSH-A,,,,EDM-H,,NYI-H,ANH-A,CHI-A,,,NSH-A,,TOR-A,MIN-H,DAL-A,PHI-H,,NYR-A,,,,,NJD-H,,,BUF-H
1/13/2014,,WPG-A,,,CGY-H,TBL-H,CAR-A,,,,,,,VAN-H,,,,,,,,,,,,CBJ-A,,LAK-A,ARI-H,
1/14/2014,,STL-A,TOR-H,PHI-H,,,NSH-A,COL-H,CHI-A,EDM-H,,DAL-A,NYI-H,,OTT-H,NJD-H,MON-A,CGY-H,FLA-A,TBL-H,MIN-A,BUF-A,,WSH-A,ARI-H,NYR-A,BOS-A,,,SJS-H
1/15/2014,VAN-H,,,TOR-A,,,,,,,,,,,,,,,,,,,WSH-H,,,,BUF-H,ANH-A,,PIT-A
1/16/2014,,VAN-H,DAL-A,,,,WPG-H,,NJD-H,BOS-H,NYR-A,MIN-A,SJS-H,STL-A,EDM-H,OTT-A,COL-A,PHI-A,TBL-A,DET-H,MON-H,NSH-H,,FLA-A,LAK-H,NYI-H,,ARI-A,CGY-A,
1/17/2014,CHI-A,,,,,WSH-H,,ANH-H,,,,,,,,,,,,,,,,,,,,,,CBJ-A
1/18/2014,STL-A,NJD-H,,CBJ-H,FLA-H,BUF-A,VAN-A,,NSH-A,MIN-A,LAK-H,WPG-A,CAR-A,DET-A,DAL-H,TOR-A,ARI-A,COL-H,PHI-A,OTT-A,NYR-H,NYI-H,,TBL-A,ANH-H,SJS-H,MON-H,CGY-H,EDM-H,
1/19/2014,,,CHI-A,,TBL-H,,,BOS-H,,,,,,,,,,,,WSH-H,,,,,,CAR-A,,,,NYR-A
1/20/2014,,TOR-H,LAK-H,,,,SJS-A,,,NSH-A,STL-H,,PIT-A,BOS-A,,,,DAL-H,PHI-H,,,NYI-A,FLA-H,CGY-H,DET-A,,ARI-A,,,
1/21/2014,WPG-H,,,FLA-H,,LAK-H,,,TOR-H,MIN-H,,VAN-H,BUF-A,CBJ-A,DAL-A,,STL-H,,NYR-A,NYI-H,WSH-A,,,,NJD-A,,COL-A,EDM-A,ANH-A,OTT-H
1/22/2014,,CGY-A,,,PHI-A,,ARI-H,DET-A,,,CHI-H,,,,,PIT-A,,,,,,CAR-H,MON-H,,,,,,,
1/23/2014,LAK-H,,,CAR-H,BUF-A,PHI-H,,MIN-A,,TOR-H,,,,ANH-A,CHI-H,,,VAN-A,PIT-H,STL-H,TBL-A,CBJ-A,NYI-A,WPG-H,NYR-A,OTT-H,DAL-A,NSH-H,SJS-A,
1/24/2014,,EDM-A,,,,,NSH-H,,FLA-A,,MON-H,ARI-H,COL-H,,,DET-A,WSH-H,CGY-A,,,,,,,,,,,,NJD-A
1/25/2014,LAK-A,,PHI-A,CBJ-A,OTT-H,BUF-H,,,TBL-A,PIT-H,,,,ANH-H,SJS-A,WSH-H,,,STL-H,,CAR-A,BOS-H,DAL-A,MIN-H,NYI-A,COL-H,WPG-A,,TOR-H,MON-A
1/26/2014,,VAN-A,,,,,,WPG-H,,,FLA-H,NSH-H,DET-A,,,,NYR-H,EDM-A,,NJD-A,,,,,,,,ARI-H,CHI-A,
1/27/2014,,,NYI-A,PIT-A,CBJ-H,CAR-A,,,DAL-A,COL-H,,VAN-A,,SJS-A,,,,,BOS-H,,,,BUF-H,LAK-H,,,,EDM-H,,
1/28/2014,MIN-H,LAK-H,FLA-H,WSH-H,MON-A,OTT-H,CHI-H,CGY-A,,,PHI-A,,BOS-A,ARI-A,ANH-A,CAR-H,STL-A,WPG-A,,,CBJ-A,DET-H,,,NJD-H,TOR-A,TBL-H,,NSH-H,BUF-A
1/29/2014,,,,,,,,VAN-A,,,,SJS-H,,,,,,,NYR-H,NYI-A,,,,EDM-A,,,,CHI-H,,
1/30/2014,PHI-H,BUF-H,MON-H,ARI-A,,WSH-H,SJS-H,,MIN-H,NJD-H,,,TOR-A,PIT-H,COL-A,BOS-A,DAL-A,,,,TBL-H,ANH-A,LAK-A,CGY-A,,OTT-A,FLA-H,,,CBJ-A
1/31/2014,,,,,STL-H,,,,,,WSH-H,,,,,,NSH-A,NJD-H,NYR-A,NYI-H,,,,,CAR-A,,,WPG-A,VAN-H,DET-A
2/1/2014,DAL-H,PIT-H,EDM-H,COL-A,,FLA-H,MIN-H,SJS-A,BUF-H,ANH-A,,BOS-A,CBJ-A,PHI-H,CGY-A,TBL-H,,STL-A,,,TOR-A,LAK-A,ARI-A,CHI-H,NSH-H,MON-A,OTT-H,,,
2/2/2014,,,,,,,,,,,WSH-A,,,,,WPG-H,,,,,,,,,,,,,MON-A,DET-H
2/3/2014,CBJ-H,,,EDM-H,,ANH-A,,LAK-A,NJD-A,,VAN-H,BUF-A,,CHI-H,,,COL-H,,,,PIT-A,SJS-A,OTT-H,PHI-H,,,,DET-A,,
2/4/2014,,DAL-H,VAN-H,,WPG-H,,MON-A,,NYR-A,ARI-A,,,TOR-H,,TBL-H,CGY-H,,,WSH-A,COL-H,STL-A,,,,OTT-H,MIN-A,FLA-A,BOS-A,CAR-A,NYI-H
2/5/2014,CHI-H,,,PIT-H,,,,ANH-A,,SJS-A,,,,,,,,,,,,,BUF-A,DAL-H,,,,,,
2/6/2014,,,STL-A,OTT-A,,LAK-A,NYI-A,,PHI-A,,FLA-A,NYR-A,DET-H,CBJ-H,NSH-H,VAN-H,,MIN-A,CGY-H,EDM-H,BUF-H,COL-H,,,BOS-H,TOR-H,TBL-A,MON-A,WSH-A,WPG-H
2/7/2014,,CHI-H,,,FLA-H,SJS-A,,ARI-A,,,,NJD-A,CAR-A,,,,EDM-H,,,PIT-A,,,NYR-H,CBJ-H,,,,,,
2/8/2014,NSH-A,DAL-A,OTT-H,,MON-H,,PHI-A,,NYI-A,ARI-H,TBL-A,,,,,CAR-A,WSH-A,ANH-H,COL-H,,BOS-A,CGY-H,,,WPG-H,DET-H,VAN-H,TOR-A,STL-A,NJD-H
2/9/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
