DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
10/1/2013,,,,,,,,WSH-H,,,,WPG-H,,,,TOR-H,,,,,,,,,,,MON-A,,EDM-A,CHI-A
10/2/2013,COL-A,,,DET-A,,,,,ANH-H,,BUF-H,,,,,,,,,,,TOR-H,,,,,PHI-A,,,
10/3/2013,,NYR-H,TBL-H,,,,WSH-A,,,FLA-H,,,DAL-A,MIN-A,LAK-H,,PIT-A,STL-A,,ARI-A,,,NJD-H,VAN-H,NSH-H,BOS-A,,SJS-A,,CGY-H
10/4/2013,,,,OTT-H,DET-H,CGY-H,CBJ-A,,NSH-H,,CAR-A,,,WPG-A,,,NYI-H,COL-A,NJD-A,,BUF-A,,,,,,,,LAK-H,
10/5/2013,MIN-A,SJS-A,DET-H,PIT-A,,NYI-A,,TBL-H,,WSH-H,BOS-A,VAN-A,STL-A,,ANH-H,PHI-H,,,CBJ-H,,TOR-A,MON-A,BUF-H,ARI-H,FLA-H,CHI-A,OTT-H,EDM-H,,DAL-A
10/6/2013,WPG-A,,,,PHI-H,,VAN-H,,,,,,,,,,,,,,,CAR-A,,,,,,CGY-A,ANH-H,
10/7/2013,,,,,,,,,,,,NJD-H,,NYR-H,,,EDM-A,,,LAK-A,,,,,,,,,,
10/8/2013,,NYI-A,,TBL-H,PIT-A,,,,TOR-A,,,,PHI-A,,NSH-A,,VAN-A,MIN-H,ARI-H,SJS-A,,FLA-H,CAR-H,NYR-H,,BUF-A,COL-H,NJD-H,,
10/9/2013,,,,,,,MON-H,STL-A,,,,,,OTT-H,,CGY-A,,,,,LAK-A,,,,CHI-H,,,,,
10/10/2013,NYR-H,DET-A,COL-H,CBJ-H,WSH-A,BUF-A,,,BOS-A,,ARI-H,MON-H,TBL-A,,WPG-H,EDM-A,,TOR-H,,ANH-A,,,,VAN-A,,FLA-H,NSH-A,SJS-H,MIN-A,CAR-H
10/11/2013,,PHI-A,,,LAK-H,,NJD-H,NYI-H,,WPG-A,,,PIT-H,CAR-A,,,CGY-A,,CHI-A,,,ARI-H,FLA-A,,,,,,DAL-H,
10/12/2013,,,CBJ-A,CHI-A,,BOS-H,,BUF-H,WSH-A,MIN-A,PHI-H,TOR-A,,,DAL-H,VAN-A,,NYI-H,NSH-A,STL-A,SJS-A,DET-A,TBL-A,OTT-H,NYR-H,PIT-H,EDM-H,MON-H,,COL-H
10/13/2013,OTT-H,CAR-A,,,ARI-H,,,,,,,,LAK-H,FLA-A,,,WPG-A,,,,ANH-A,,,,,,,,NJD-H,
10/14/2013,,,DET-H,MIN-H,,,,,,,BOS-A,WSH-A,,,BUF-A,,,,,,,,,,,,,,,EDM-H
10/15/2013,,OTT-H,,NYI-A,CHI-H,DET-A,,CAR-A,DAL-H,COL-A,CBJ-H,PIT-A,NSH-A,TBL-A,TOR-A,WPG-A,,FLA-H,BUF-H,,ARI-A,VAN-H,EDM-H,STL-A,SJS-H,LAK-H,MIN-H,PHI-A,MON-H,
10/16/2013,CGY-H,,,,,,ANH-A,,,,,,,,,,,,,WSH-A,,,,,,,,,,NYR-H
10/17/2013,,,FLA-A,VAN-H,TOR-A,MON-A,,STL-H,DET-H,SJS-H,COL-A,NYI-A,BOS-H,NSH-A,TBL-A,CBJ-H,OTT-A,LAK-H,EDM-H,,NJD-H,PIT-H,PHI-A,DAL-A,CHI-A,MIN-H,CAR-H,BUF-A,,
10/18/2013,ARI-H,ANH-A,,,,,,,,,,,,,,,,,,,,,,,WPG-A,,,,STL-H,
10/19/2013,,DET-H,TBL-A,COL-H,NYI-A,WSH-A,SJS-A,TOR-H,BUF-A,LAK-A,ARI-A,OTT-A,MIN-H,DAL-H,FLA-A,NSH-H,NYR-H,MON-A,CAR-H,NJD-A,EDM-H,,VAN-H,CGY-H,,BOS-H,CHI-A,PIT-A,,CBJ-H
10/20/2013,DAL-H,,,,,VAN-H,,,,ANH-A,,,,,,,,WPG-A,,,,,,,,,,CBJ-A,NSH-H,
10/21/2013,,,,,,,LAK-A,,PIT-A,,SJS-H,,,CGY-H,,,,,,,,,COL-H,DET-A,,,,,,
10/22/2013,TOR-A,CGY-H,,,,NJD-H,ARI-A,FLA-A,,,,MON-A,CHI-H,,NSH-H,EDM-H,CBJ-A,MIN-A,VAN-H,,,,,,,,ANH-H,NYI-A,WSH-H,WPG-A
10/23/2013,,,BUF-A,BOS-H,,,,,,,OTT-H,,,,,,,,,,DET-A,,,,,,,,,
10/24/2013,MON-A,LAK-A,SJS-H,,MIN-A,,DAL-A,TBL-A,,CGY-H,,WSH-H,,ARI-H,CAR-H,ANH-H,VAN-H,WPG-H,,PHI-A,,NYR-H,,BOS-A,,CHI-H,,NJD-A,NSH-A,EDM-A
10/25/2013,OTT-A,,,FLA-A,COL-A,TOR-H,,,CAR-H,,,,BUF-H,,,,,,PIT-A,,ANH-H,,NYI-H,,VAN-H,,CBJ-A,STL-A,,
10/26/2013,,EDM-H,NJD-H,TBL-A,,,WSH-H,MIN-H,,WPG-H,NYR-H,ARI-A,,,CHI-A,SJS-H,BOS-A,STL-H,PHI-H,DET-A,,NYI-A,TOR-A,MON-A,NSH-A,BUF-H,PIT-H,,DAL-A,CGY-A
10/27/2013,CBJ-A,,,,,ANH-H,,,WPG-H,,,LAK-A,TBL-H,EDM-H,,,,,,,SJS-H,,,OTT-A,,FLA-A,,,COL-A,
