HOME,AWAY,DATE,TIME (CT)
DET,BOS,10/9/2014,6:30 PM
DET,ANH,10/11/2014,6:00 PM
DET,BOS,10/15/2014,7:00 PM
TOR,DET,10/17/2014,6:30 PM
DET,TOR,10/18/2014,6:00 PM
MON,DET,10/21/2014,6:30 PM
DET,PIT,10/23/2014,6:30 PM
PHI,DET,10/25/2014,6:00 PM
WSH,DET,10/29/2014,6:30 PM
DET,LAK,10/31/2014,6:30 PM
BUF,DET,11/2/2014,4:00 PM
OTT,DET,11/4/2014,6:30 PM
NYR,DET,11/5/2014,7:00 PM
DET,NJD,11/7/2014,6:30 PM
DET,TBL,11/9/2014,5:00 PM
DET,CHI,11/14/2014,6:30 PM
DET,MON,11/16/2014,6:00 PM
CBJ,DET,11/18/2014,6:00 PM
WPG,DET,11/20/2014,7:00 PM
TOR,DET,11/22/2014,6:00 PM
DET,OTT,11/24/2014,6:30 PM
DET,PHI,11/26/2014,6:30 PM
NJD,DET,11/28/2014,6:00 PM
DET,VAN,11/30/2014,1:00 PM
DET,FLA,12/2/2014,6:30 PM
DET,DAL,12/4/2014,6:30 PM
DET,NYR,12/6/2014,6:00 PM
CAR,DET,12/7/2014,4:00 PM
DET,TOR,12/10/2014,7:00 PM
DET,FLA,12/12/2014,6:30 PM
TOR,DET,12/13/2014,6:00 PM
DET,CBJ,12/16/2014,6:30 PM
DET,NYI,12/19/2014,6:30 PM
DET,COL,12/21/2014,5:00 PM
DET,BUF,12/23/2014,6:30 PM
OTT,DET,12/27/2014,6:00 PM
BOS,DET,12/29/2014,6:00 PM
DET,NJD,12/31/2014,6:30 PM
VAN,DET,1/3/2015,9:00 PM
EDM,DET,1/6/2015,8:30 PM
CGY,DET,1/7/2015,8:30 PM
WSH,DET,1/10/2015,6:00 PM
BUF,DET,1/13/2015,6:00 PM
STL,DET,1/15/2015,7:00 PM
DET,NSH,1/17/2015,6:00 PM
DET,BUF,1/18/2015,7:00 PM
DET,MIN,1/20/2015,6:30 PM
FLA,DET,1/27/2015,6:30 PM
TBL,DET,1/29/2015,6:30 PM
DET,NYI,1/31/2015,1:00 PM
COL,DET,2/5/2015,8:00 PM
ARI,DET,2/7/2015,7:00 PM
PIT,DET,2/11/2015,7:00 PM
DET,WPG,2/14/2015,6:00 PM
DET,MON,2/16/2015,6:30 PM
CHI,DET,2/18/2015,6:30 PM
DAL,DET,2/21/2015,7:00 PM
ANH,DET,2/23/2015,9:00 PM
LAK,DET,2/24/2015,9:30 PM
SJS,DET,2/26/2015,9:30 PM
NSH,DET,2/28/2015,2:00 PM
DET,NYR,3/4/2015,7:00 PM
DET,CGY,3/6/2015,6:30 PM
BOS,DET,3/8/2015,11:30 PM
DET,EDM,3/9/2015,6:30 PM
DET,CBJ,3/12/2015,6:30 PM
PHI,DET,3/14/2015,0:00 PM
PIT,DET,3/15/2015,11:30 PM
FLA,DET,3/19/2015,6:30 PM
TBL,DET,3/20/2015,6:30 PM
DET,STL,3/22/2015,11:00 PM
DET,ARI,3/24/2015,6:30 PM
DET,SJS,3/26/2015,6:30 PM
DET,TBL,3/28/2015,1:00 PM
NYI,DET,3/29/2015,4:00 PM
DET,OTT,3/31/2015,6:30 PM
DET,BOS,4/2/2015,6:30 PM
MIN,DET,4/4/2015,6:00 PM
DET,WSH,4/5/2015,4:00 PM
DET,CAR,4/7/2015,6:30 PM
MON,DET,4/9/2015,6:30 PM
CAR,DET,4/11/2015,6:00 PM
