HOME,AWAY,DATE,TIME (MT)
BOS,ARI,10/9/2010,10:00 PM
ARI,BOS,10/10/2010,8:00 AM
ARI,DET,10/16/2010,7:00 PM
ANH,ARI,10/17/2010,6:00 PM
ARI,LAK,10/21/2010,8:00 PM
ARI,CAR,10/23/2010,7:00 PM
MON,ARI,10/25/2010,5:30 PM
OTT,ARI,10/26/2010,5:30 PM
DET,ARI,10/28/2010,5:30 PM
ARI,TBL,10/30/2010,7:00 PM
ARI,NSH,11/3/2010,8:00 PM
DAL,ARI,11/5/2010,6:30 PM
ARI,PIT,11/6/2010,7:00 PM
DET,ARI,11/8/2010,5:30 PM
CHI,ARI,11/10/2010,6:30 PM
ARI,CGY,11/12/2010,7:00 PM
ARI,STL,11/13/2010,6:00 PM
CGY,ARI,11/17/2010,7:30 PM
EDM,ARI,11/19/2010,7:00 PM
VAN,ARI,11/21/2010,7:00 PM
ARI,EDM,11/23/2010,7:00 PM
ARI,ANH,11/27/2010,6:00 PM
NSH,ARI,11/30/2010,6:00 PM
MIN,ARI,12/1/2010,6:00 PM
ARI,FLA,12/4/2010,6:00 PM
ANH,ARI,12/5/2010,6:00 PM
ARI,MIN,12/9/2010,7:00 PM
ARI,DAL,12/11/2010,6:00 PM
NJD,ARI,12/15/2010,5:00 PM
NYR,ARI,12/16/2010,5:00 PM
NYI,ARI,12/18/2010,5:00 PM
PIT,ARI,12/20/2010,5:00 PM
SJS,ARI,12/23/2010,8:30 PM
DAL,ARI,12/26/2010,6:00 PM
ARI,ANH,12/28/2010,7:00 PM
ARI,LAK,12/29/2010,7:00 PM
STL,ARI,12/31/2010,6:30 PM
MIN,ARI,1/2/2011,4:00 PM
ARI,CBJ,1/4/2011,7:00 PM
COL,ARI,1/6/2011,7:00 PM
ARI,BUF,1/8/2011,6:00 PM
STL,ARI,1/10/2011,7:00 PM
CBJ,ARI,1/11/2011,5:00 PM
ARI,TOR,1/13/2011,7:00 PM
ARI,ANH,1/15/2011,6:00 PM
ARI,SJS,1/17/2011,2:00 PM
ARI,NSH,1/18/2011,7:00 PM
LAK,ARI,1/20/2011,8:30 PM
ARI,LAK,1/22/2011,6:00 PM
ARI,EDM,1/25/2011,7:00 PM
COL,ARI,1/26/2011,7:00 PM
SJS,ARI,2/1/2011,8:00 PM
ARI,VAN,2/2/2011,7:30 PM
ARI,MIN,2/5/2011,6:00 PM
ARI,COL,2/7/2011,7:30 PM
DAL,ARI,2/9/2011,6:30 PM
ARI,CHI,2/12/2011,6:00 PM
ARI,WSH,2/14/2011,6:00 PM
ARI,ATL,2/17/2011,7:00 PM
NSH,ARI,2/19/2011,6:00 PM
PHI,ARI,2/22/2011,5:00 PM
TBL,ARI,2/23/2011,5:30 PM
CBJ,ARI,2/25/2011,5:00 PM
CHI,ARI,2/27/2011,5:00 PM
ARI,DAL,3/1/2011,7:00 PM
LAK,ARI,3/3/2011,8:30 PM
ARI,DET,3/5/2011,6:00 PM
ARI,VAN,3/8/2011,7:00 PM
ARI,CGY,3/10/2011,7:00 PM
ANH,ARI,3/13/2011,6:00 PM
CGY,ARI,3/15/2011,7:30 PM
EDM,ARI,3/17/2011,7:00 PM
VAN,ARI,3/18/2011,8:00 PM
ARI,CHI,3/20/2011,6:00 PM
ARI,STL,3/22/2011,8:00 PM
ARI,CBJ,3/24/2011,8:00 PM
ARI,SJS,3/26/2011,7:00 PM
ARI,DAL,3/29/2011,8:00 PM
ARI,COL,4/1/2011,8:00 PM
LAK,ARI,4/6/2011,8:30 PM
ARI,SJS,4/8/2011,8:00 PM
SJS,ARI,4/9/2011,8:30 PM
