HOME,AWAY,DATE,TIME (PT)
VAN,LAK,10/9/2010,7:00 PM
CGY,LAK,10/10/2010,5:00 PM
LAK,ATL,10/12/2010,7:30 PM
LAK,VAN,10/15/2010,7:30 PM
LAK,CAR,10/20/2010,7:30 PM
ARI,LAK,10/21/2010,7:00 PM
COL,LAK,10/23/2010,6:00 PM
MIN,LAK,10/25/2010,5:00 PM
CHI,LAK,10/27/2010,5:30 PM
DAL,LAK,10/28/2010,5:30 PM
LAK,NJD,10/30/2010,7:30 PM
LAK,TBL,11/4/2010,7:30 PM
LAK,NSH,11/6/2010,7:00 PM
LAK,DAL,11/11/2010,7:30 PM
LAK,NYI,11/13/2010,7:30 PM
SJS,LAK,11/15/2010,7:30 PM
LAK,CBJ,11/17/2010,7:30 PM
BUF,LAK,11/19/2010,4:30 PM
BOS,LAK,11/20/2010,4:00 PM
OTT,LAK,11/22/2010,4:30 PM
MON,LAK,11/24/2010,4:30 PM
LAK,CHI,11/27/2010,7:30 PM
ANH,LAK,11/29/2010,7:00 PM
LAK,FLA,12/2/2010,7:30 PM
LAK,DET,12/4/2010,7:30 PM
LAK,CGY,12/9/2010,7:30 PM
LAK,MIN,12/11/2010,7:30 PM
DET,LAK,12/13/2010,4:30 PM
STL,LAK,12/16/2010,5:00 PM
NSH,LAK,12/18/2010,5:00 PM
CHI,LAK,12/19/2010,4:00 PM
COL,LAK,12/21/2010,6:30 PM
LAK,EDM,12/23/2010,7:30 PM
LAK,ANH,12/26/2010,6:00 PM
SJS,LAK,12/27/2010,7:30 PM
ARI,LAK,12/29/2010,6:00 PM
LAK,PHI,12/30/2010,7:30 PM
LAK,SJS,1/1/2011,6:00 PM
LAK,CHI,1/3/2011,6:00 PM
LAK,NSH,1/6/2011,7:30 PM
LAK,CBJ,1/8/2011,7:30 PM
LAK,TOR,1/10/2011,7:30 PM
LAK,STL,1/13/2011,7:30 PM
LAK,EDM,1/15/2011,7:00 PM
DAL,LAK,1/17/2011,5:30 PM
STL,LAK,1/18/2011,5:00 PM
LAK,ARI,1/20/2011,7:30 PM
ARI,LAK,1/22/2011,5:00 PM
LAK,BOS,1/24/2011,7:30 PM
LAK,SJS,1/26/2011,7:30 PM
MIN,LAK,2/1/2011,5:00 PM
EDM,LAK,2/2/2011,6:30 PM
CGY,LAK,2/5/2011,7:00 PM
PIT,LAK,2/10/2011,4:00 PM
WSH,LAK,2/12/2011,9:30 PM
PHI,LAK,2/13/2011,0:00 PM
CBJ,LAK,2/16/2011,4:00 PM
NYR,LAK,2/17/2011,4:00 PM
NYI,LAK,2/19/2011,4:00 PM
ANH,LAK,2/23/2011,7:00 PM
LAK,MIN,2/24/2011,7:30 PM
LAK,COL,2/26/2011,1:00 PM
LAK,DET,2/28/2011,7:30 PM
LAK,ARI,3/3/2011,7:30 PM
LAK,VAN,3/5/2011,1:00 PM
LAK,DAL,3/7/2011,7:30 PM
DET,LAK,3/9/2011,4:30 PM
CBJ,LAK,3/11/2011,4:00 PM
DAL,LAK,3/13/2011,0:00 PM
NSH,LAK,3/15/2011,5:00 PM
LAK,STL,3/17/2011,7:30 PM
LAK,ANH,3/19/2011,7:30 PM
LAK,CGY,3/21/2011,7:30 PM
LAK,SJS,3/24/2011,7:30 PM
LAK,COL,3/26/2011,1:00 PM
EDM,LAK,3/29/2011,6:30 PM
VAN,LAK,3/31/2011,7:00 PM
LAK,DAL,4/2/2011,1:00 PM
SJS,LAK,4/4/2011,7:00 PM
LAK,ARI,4/6/2011,7:30 PM
ANH,LAK,4/8/2011,7:00 PM
LAK,ANH,4/9/2011,7:30 PM
