HOME,AWAY,DATE,TIME (MT)
EDM,COL,10/12/2008,6:00 PM
ANH,EDM,10/15/2008,8:00 PM
CGY,EDM,10/17/2008,7:00 PM
EDM,CGY,10/18/2008,8:00 PM
CHI,EDM,10/22/2008,7:00 PM
COL,EDM,10/23/2008,7:30 PM
VAN,EDM,10/25/2008,8:00 PM
EDM,BOS,10/27/2008,7:00 PM
NSH,EDM,10/30/2008,6:00 PM
CAR,EDM,11/1/2008,1:00 PM
PHI,EDM,11/2/2008,11:00 PM
CBJ,EDM,11/5/2008,5:30 PM
PIT,EDM,11/6/2008,5:00 PM
NJD,EDM,11/9/2008,5:30 PM
NYR,EDM,11/10/2008,5:00 PM
EDM,TOR,11/13/2008,7:00 PM
EDM,COL,11/15/2008,8:00 PM
DET,EDM,11/17/2008,5:30 PM
CBJ,EDM,11/18/2008,5:00 PM
EDM,DET,11/20/2008,7:00 PM
EDM,LAK,11/26/2008,8:00 PM
STL,EDM,11/29/2008,0:00 PM
DAL,EDM,11/30/2008,4:00 PM
EDM,DAL,12/3/2008,7:30 PM
LAK,EDM,12/5/2008,8:30 PM
SJS,EDM,12/6/2008,8:00 PM
EDM,FLA,12/11/2008,7:00 PM
EDM,VAN,12/13/2008,8:00 PM
EDM,CHI,12/16/2008,7:30 PM
VAN,EDM,12/17/2008,8:30 PM
EDM,ANH,12/19/2008,7:00 PM
EDM,ARI,12/22/2008,7:30 PM
VAN,EDM,12/26/2008,8:00 PM
EDM,NSH,12/28/2008,6:00 PM
EDM,OTT,12/30/2008,8:00 PM
CGY,EDM,12/31/2008,8:00 PM
EDM,DAL,1/3/2009,8:00 PM
EDM,NYI,1/5/2009,7:30 PM
EDM,VAN,1/7/2009,8:00 PM
EDM,SJS,1/9/2009,7:00 PM
EDM,STL,1/11/2009,6:00 PM
WSH,EDM,1/13/2009,5:00 PM
MIN,EDM,1/15/2009,6:00 PM
COL,EDM,1/16/2009,7:30 PM
EDM,ARI,1/18/2009,7:00 PM
EDM,CBJ,1/20/2009,7:00 PM
EDM,BUF,1/27/2009,7:00 PM
EDM,MIN,1/30/2009,7:00 PM
EDM,NSH,2/1/2009,0:00 PM
EDM,CHI,2/3/2009,7:00 PM
STL,EDM,2/5/2009,6:30 PM
DET,EDM,2/7/2009,1:00 PM
MIN,EDM,2/8/2009,1:00 PM
EDM,MON,2/11/2009,8:00 PM
LAK,EDM,2/14/2009,2:00 PM
ARI,EDM,2/16/2009,7:30 PM
SJS,EDM,2/17/2009,8:30 PM
DAL,EDM,2/19/2009,6:30 PM
EDM,CGY,2/21/2009,8:00 PM
EDM,TBL,2/24/2009,7:00 PM
EDM,CBJ,2/26/2009,7:00 PM
EDM,MIN,2/28/2009,8:00 PM
NSH,EDM,3/3/2009,6:00 PM
OTT,EDM,3/5/2009,5:30 PM
TOR,EDM,3/7/2009,5:00 PM
MON,EDM,3/10/2009,5:30 PM
EDM,ATL,3/12/2009,7:30 PM
EDM,COL,3/14/2009,8:00 PM
EDM,STL,3/17/2009,8:00 PM
COL,EDM,3/19/2009,7:00 PM
CHI,EDM,3/20/2009,6:30 PM
MIN,EDM,3/22/2009,1:00 PM
EDM,DET,3/24/2009,7:30 PM
ARI,EDM,3/26/2009,8:00 PM
ANH,EDM,3/27/2009,8:00 PM
EDM,MIN,3/29/2009,6:00 PM
EDM,ANH,3/31/2009,7:30 PM
EDM,SJS,4/2/2009,7:30 PM
EDM,VAN,4/4/2009,8:00 PM
EDM,LAK,4/7/2009,7:00 PM
EDM,CGY,4/10/2009,7:00 PM
CGY,EDM,4/11/2009,8:00 PM
