DATE,VISITING TEAM,HOME TEAM,TIME
"SAT OCT 4, 2008",NY RANGERS,TAMPA BAY,12:00 PM ET
,,,
,,,
"SAT OCT 4, 2008",PITTSBURGH,OTTAWA,2:30 PM ET
,,,
,,,
"SUN OCT 5, 2008",TAMPA BAY,NY RANGERS,12:00 PM ET
"SUN OCT 5, 2008",OTTAWA,PITTSBURGH,2:30 PM ET
,,,
,,,
,,,
"THU OCT 9, 2008",TORONTO,DETROIT,7:00 PM ET
,,,
"THU OCT 9, 2008",BOSTON,COLORADO,10:00 PM ET
,,,
"THU OCT 9, 2008",CALGARY,VANCOUVER,10:30 PM ET
,,,
"THU OCT 9, 2008",ANAHEIM,SAN JOSE,10:30 PM ET
,,,
"FRI OCT 10, 2008",NY ISLANDERS,NEW JERSEY,7:00 PM ET
,,,
"FRI OCT 10, 2008",CHICAGO,NY RANGERS,7:00 PM ET
,,,
"FRI OCT 10, 2008",FLORIDA,CAROLINA,7:00 PM ET
,,,
"FRI OCT 10, 2008",MONTREAL,BUFFALO,7:30 PM ET
,,,
"FRI OCT 10, 2008",WASHINGTON,ATLANTA,7:30 PM ET
,,,
"FRI OCT 10, 2008",NASHVILLE,ST. LOUIS,8:30 PM ET
,,,
"FRI OCT 10, 2008",COLUMBUS,DALLAS,8:30 PM ET
,,,
"SAT OCT 11, 2008",MONTREAL,TORONTO,7:00 PM ET
,,,
"SAT OCT 11, 2008",DETROIT,OTTAWA,7:00 PM ET
,,,
"SAT OCT 11, 2008",ST. LOUIS,NY ISLANDERS,7:00 PM ET
,,,
"SAT OCT 11, 2008",NY RANGERS,PHILADELPHIA,7:00 PM ET
,,,
"SAT OCT 11, 2008",CHICAGO,WASHINGTON,7:00 PM ET
,,,
"SAT OCT 11, 2008",ATLANTA,FLORIDA,7:00 PM ET
,,,
"SAT OCT 11, 2008",NEW JERSEY,PITTSBURGH,7:30 PM ET
,,,
"SAT OCT 11, 2008",CAROLINA,TAMPA BAY,7:30 PM ET
,,,
"SAT OCT 11, 2008",DALLAS,NASHVILLE,8:00 PM ET
,,,
"SAT OCT 11, 2008",BOSTON,MINNESOTA,8:30 PM ET
,,,
"SAT OCT 11, 2008",VANCOUVER,CALGARY,10:00 PM ET
,,,
"SAT OCT 11, 2008",COLUMBUS,PHOENIX,10:00 PM ET
,,,
"SAT OCT 11, 2008",LOS ANGELES,SAN JOSE,10:00 PM ET
,,,
"SUN OCT 12, 2008",COLORADO,EDMONTON,8:00 PM ET
,,,
"SUN OCT 12, 2008",PHOENIX,ANAHEIM,8:00 PM ET
,,,
"SUN OCT 12, 2008",SAN JOSE,LOS ANGELES,9:00 PM ET
,,,
"MON OCT 13, 2008",ST. LOUIS,TORONTO,1:00 PM ET
,,,
