HOME,AWAY,DATE,TIME (MT)
COL,BOS,10/9/2008,8:00 PM
EDM,COL,10/12/2008,6:00 PM
CGY,COL,10/14/2008,7:30 PM
COL,PHI,10/16/2008,7:00 PM
DAL,COL,10/18/2008,0:00 PM
LAK,COL,10/20/2008,8:30 PM
COL,EDM,10/23/2008,7:30 PM
COL,BUF,10/25/2008,7:00 PM
CGY,COL,10/28/2008,7:30 PM
COL,CBJ,10/30/2008,7:00 PM
COL,SJS,11/2/2008,6:00 PM
CHI,COL,11/3/2008,6:30 PM
COL,MIN,11/6/2008,7:00 PM
COL,NSH,11/8/2008,7:00 PM
VAN,COL,11/12/2008,8:00 PM
EDM,COL,11/15/2008,8:00 PM
CGY,COL,11/18/2008,7:30 PM
COL,CGY,11/20/2008,7:00 PM
LAK,COL,11/22/2008,8:30 PM
ANH,COL,11/24/2008,8:00 PM
COL,STL,11/26/2008,7:00 PM
ARI,COL,11/28/2008,2:00 PM
COL,TBL,11/29/2008,7:00 PM
MIN,COL,12/1/2008,6:00 PM
NSH,COL,12/4/2008,6:00 PM
DAL,COL,12/5/2008,6:30 PM
COL,VAN,12/7/2008,6:00 PM
COL,LAK,12/9/2008,7:30 PM
COL,CHI,12/12/2008,7:00 PM
DET,COL,12/15/2008,5:00 PM
PHI,COL,12/16/2008,5:00 PM
TBL,COL,12/18/2008,5:30 PM
FLA,COL,12/21/2008,3:00 PM
COL,ARI,12/23/2008,7:00 PM
COL,DET,12/27/2008,7:00 PM
COL,NSH,12/29/2008,7:30 PM
ARI,COL,12/31/2008,6:00 PM
COL,CBJ,1/2/2009,7:00 PM
COL,MIN,1/4/2009,6:00 PM
NSH,COL,1/6/2009,6:00 PM
COL,CHI,1/8/2009,7:00 PM
COL,PIT,1/10/2009,1:00 PM
CBJ,COL,1/13/2009,5:00 PM
STL,COL,1/15/2009,6:30 PM
COL,EDM,1/16/2009,7:30 PM
COL,CGY,1/18/2009,6:00 PM
COL,LAK,1/21/2009,7:00 PM
COL,SJS,1/27/2009,7:00 PM
COL,TOR,1/29/2009,7:30 PM
COL,ANH,1/31/2009,1:00 PM
COL,CGY,2/2/2009,7:30 PM
COL,DAL,2/5/2009,7:00 PM
STL,COL,2/7/2009,6:30 PM
CBJ,COL,2/10/2009,5:00 PM
MIN,COL,2/11/2009,6:00 PM
COL,MON,2/13/2009,7:00 PM
DET,COL,2/15/2009,3:00 PM
COL,OTT,2/17/2009,7:30 PM
WSH,COL,2/20/2009,5:00 PM
CAR,COL,2/22/2009,1:00 PM
ATL,COL,2/24/2009,5:00 PM
NJD,COL,2/26/2009,5:00 PM
NYR,COL,2/28/2009,5:00 PM
NYI,COL,3/2/2009,5:00 PM
COL,DET,3/4/2009,7:00 PM
CHI,COL,3/8/2009,1:00 PM
COL,ATL,3/10/2009,7:00 PM
COL,MIN,3/12/2009,7:00 PM
EDM,COL,3/14/2009,8:00 PM
VAN,COL,3/15/2009,8:00 PM
MIN,COL,3/17/2009,6:00 PM
COL,EDM,3/19/2009,7:00 PM
SJS,COL,3/22/2009,6:00 PM
COL,ANH,3/25/2009,7:00 PM
COL,VAN,3/27/2009,7:00 PM
ANH,COL,3/29/2009,6:00 PM
COL,ARI,4/1/2009,7:00 PM
VAN,COL,4/5/2009,8:00 PM
SJS,COL,4/7/2009,8:30 PM
COL,DAL,4/9/2009,7:00 PM
COL,VAN,4/11/2009,1:00 PM
COL,STL,4/12/2009,3:00 PM
