DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
10/1/2009,,,,WSH-H,,,,VAN-H,,SJS-H,,,,,,,TOR-A,,,,,,,,COL-A,,,MON-H,CGY-A,BOS-A
10/2/2009,,,,,,PHI-H,,,FLA-H,,,STL-H,,CHI-A,,,,,,,PIT-A,,CAR-A,NYR-H,,DET-A,,,,
10/3/2009,SJS-H,LAK-A,TBL-H,CAR-H,MON-H,BOS-A,MIN-H,EDM-A,FLA-A,VAN-H,NSH-H,STL-A,CGY-H,CHI-H,ARI-H,CBJ-A,BUF-A,PHI-H,DAL-A,PIT-H,OTT-H,NYR-A,NJD-A,NYI-A,ANH-A,DET-H,ATL-A,WSH-A,COL-A,TOR-H
10/4/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2009,,,,,,,VAN-A,,,,,,,,,,,NYR-H,,,NJD-A,,,,,,,,CBJ-H,
10/6/2009,MIN-A,,,,,TBL-H,,MON-H,,,EDM-A,,DAL-H,,SJS-H,ANH-H,CGY-A,,,,,TOR-A,WSH-H,,LAK-A,,CAR-A,OTT-H,,PHI-A
10/7/2009,,PIT-A,,,,,,,,,,,,,,,VAN-A,,,,,,,ARI-H,,,,,MON-H,
10/8/2009,BOS-A,BUF-A,STL-A,ANH-H,ARI-H,,SJS-A,EDM-A,DET-A,NSH-A,,CHI-H,CGY-H,,MIN-H,LAK-A,,TBL-A,COL-H,OTT-A,WSH-A,NYI-H,PIT-H,PHI-A,CBJ-H,ATL-H,NJD-H,,,NYR-H
10/9/2009,,,,,,FLA-H,,DAL-H,,,CGY-A,,,CAR-A,,,,,,,,,,,,,,,,
10/10/2009,PHI-A,CBJ-H,OTT-A,NYI-H,NSH-A,TBL-A,ARI-A,,COL-H,CHI-A,,WSH-H,MON-H,NJD-H,STL-A,SJS-A,EDM-A,FLA-A,BUF-H,BOS-A,,ATL-H,ANH-H,TOR-A,MIN-H,LAK-H,CAR-H,PIT-H,,DET-A
10/11/2009,NYR-A,,,,,,,,,,VAN-A,,,,,,,,,,ANH-H,,,,,,,,DAL-H,
10/12/2009,,SJS-A,,COL-H,,,,CHI-A,CGY-H,BOS-A,,,NSH-A,TBL-A,NYI-A,,,WSH-A,EDM-H,LAK-H,TOR-H,PIT-H,,OTT-A,ARI-H,,FLA-H,NYR-A,,NJD-H
10/13/2009,,,,,DET-H,,CGY-H,CBJ-A,,TOR-A,,BUF-A,,,,,,,,,,,,,,,,COL-H,,
