HOME,AWAY,DATE,TIME (PT)
SJS,LAK,10/12/2016,7:30 PM
LAK,PHI,10/14/2016,7:30 PM
MIN,LAK,10/18/2016,5:00 PM
DAL,LAK,10/20/2016,5:30 PM
LAK,VAN,10/22/2016,7:00 PM
LAK,CBJ,10/25/2016,7:30 PM
LAK,NSH,10/27/2016,7:30 PM
STL,LAK,10/29/2016,5:00 PM
CHI,LAK,10/30/2016,4:00 PM
LAK,ANH,11/1/2016,7:30 PM
LAK,PIT,11/3/2016,7:30 PM
LAK,CGY,11/5/2016,7:00 PM
TOR,LAK,11/8/2016,4:30 PM
MON,LAK,11/10/2016,4:30 PM
OTT,LAK,11/11/2016,4:30 PM
WPG,LAK,11/13/2016,0:00 PM
COL,LAK,11/15/2016,6:00 PM
LAK,EDM,11/17/2016,7:30 PM
LAK,NJD,11/19/2016,1:00 PM
ANH,LAK,11/20/2016,5:00 PM
LAK,NYI,11/23/2016,7:30 PM
LAK,CHI,11/26/2016,7:30 PM
LAK,SJS,11/30/2016,7:30 PM
ARI,LAK,12/1/2016,6:00 PM
LAK,MON,12/4/2016,7:30 PM
LAK,CAR,12/8/2016,7:30 PM
LAK,OTT,12/10/2016,1:00 PM
BUF,LAK,12/13/2016,4:00 PM
DET,LAK,12/15/2016,4:30 PM
PIT,LAK,12/16/2016,4:00 PM
BOS,LAK,12/18/2016,10:00 PM
CBJ,LAK,12/20/2016,4:00 PM
NSH,LAK,12/22/2016,5:00 PM
DAL,LAK,12/23/2016,5:30 PM
VAN,LAK,12/28/2016,7:00 PM
EDM,LAK,12/29/2016,6:00 PM
LAK,SJS,12/31/2016,7:30 PM
SJS,LAK,1/3/2017,7:30 PM
LAK,DET,1/5/2017,7:30 PM
LAK,MIN,1/7/2017,1:00 PM
LAK,DAL,1/9/2017,7:30 PM
LAK,STL,1/12/2017,7:30 PM
LAK,WPG,1/14/2017,7:00 PM
LAK,TBL,1/16/2017,1:00 PM
LAK,SJS,1/18/2017,7:30 PM
NYI,LAK,1/21/2017,4:00 PM
NYR,LAK,1/23/2017,4:00 PM
NJD,LAK,1/24/2017,4:00 PM
CAR,LAK,1/26/2017,4:00 PM
ARI,LAK,1/31/2017,6:00 PM
LAK,COL,2/1/2017,7:30 PM
PHI,LAK,2/4/2017,10:00 PM
WSH,LAK,2/5/2017,9:00 PM
TBL,LAK,2/7/2017,4:30 PM
FLA,LAK,2/9/2017,4:30 PM
LAK,ARI,2/16/2017,7:30 PM
LAK,FLA,2/18/2017,7:00 PM
ANH,LAK,2/19/2017,6:00 PM
COL,LAK,2/21/2017,6:00 PM
LAK,BOS,2/23/2017,7:30 PM
LAK,ANH,2/25/2017,1:00 PM
MIN,LAK,2/27/2017,5:00 PM
CGY,LAK,2/28/2017,6:00 PM
LAK,TOR,3/2/2017,7:30 PM
LAK,VAN,3/4/2017,7:00 PM
LAK,NSH,3/9/2017,7:30 PM
LAK,WSH,3/11/2017,7:30 PM
LAK,STL,3/13/2017,7:00 PM
LAK,ARI,3/14/2017,7:30 PM
LAK,BUF,3/16/2017,7:30 PM
CGY,LAK,3/19/2017,6:30 PM
EDM,LAK,3/20/2017,6:00 PM
LAK,WPG,3/23/2017,7:30 PM
LAK,NYR,3/25/2017,7:30 PM
EDM,LAK,3/28/2017,6:00 PM
CGY,LAK,3/29/2017,6:00 PM
VAN,LAK,3/31/2017,7:00 PM
LAK,ARI,4/2/2017,7:30 PM
LAK,EDM,4/4/2017,7:30 PM
LAK,CGY,4/6/2017,7:30 PM
LAK,CHI,4/8/2017,7:30 PM
ANH,LAK,4/9/2017,5:30 PM
