HOME,AWAY,DATE,TIME (PT)
VAN,CGY,10/15/2016,7:00 PM
VAN,CAR,10/16/2016,7:00 PM
VAN,STL,10/18/2016,7:00 PM
VAN,BUF,10/20/2016,7:00 PM
LAK,VAN,10/22/2016,7:00 PM
ANH,VAN,10/23/2016,5:00 PM
VAN,OTT,10/25/2016,7:00 PM
VAN,EDM,10/28/2016,7:00 PM
VAN,WSH,10/29/2016,7:00 PM
MON,VAN,11/2/2016,4:30 PM
OTT,VAN,11/3/2016,4:30 PM
TOR,VAN,11/5/2016,4:00 PM
NYI,VAN,11/7/2016,4:00 PM
NYR,VAN,11/8/2016,4:00 PM
DET,VAN,11/10/2016,4:30 PM
VAN,DAL,11/13/2016,1:00 PM
VAN,NYR,11/15/2016,7:00 PM
VAN,ARI,11/17/2016,7:00 PM
VAN,CHI,11/19/2016,7:00 PM
ARI,VAN,11/23/2016,7:00 PM
DAL,VAN,11/25/2016,5:30 PM
COL,VAN,11/26/2016,7:00 PM
VAN,MIN,11/29/2016,7:00 PM
VAN,ANH,12/1/2016,7:00 PM
VAN,TOR,12/3/2016,4:00 PM
NJD,VAN,12/6/2016,4:00 PM
TBL,VAN,12/8/2016,4:30 PM
FLA,VAN,12/10/2016,4:00 PM
WSH,VAN,12/11/2016,2:00 PM
CAR,VAN,12/13/2016,4:00 PM
VAN,TBL,12/16/2016,7:00 PM
VAN,CBJ,12/18/2016,1:00 PM
VAN,WPG,12/20/2016,7:00 PM
VAN,WPG,12/22/2016,7:00 PM
CGY,VAN,12/23/2016,6:00 PM
VAN,LAK,12/28/2016,7:00 PM
VAN,ANH,12/30/2016,7:00 PM
EDM,VAN,12/31/2016,7:00 PM
VAN,COL,1/2/2017,7:00 PM
VAN,ARI,1/4/2017,7:00 PM
VAN,CGY,1/6/2017,7:00 PM
CGY,VAN,1/7/2017,7:00 PM
NSH,VAN,1/10/2017,5:00 PM
PHI,VAN,1/12/2017,4:00 PM
VAN,NJD,1/15/2017,4:00 PM
VAN,NSH,1/17/2017,7:00 PM
VAN,FLA,1/20/2017,7:00 PM
CHI,VAN,1/22/2017,4:30 PM
COL,VAN,1/25/2017,6:30 PM
ARI,VAN,1/26/2017,6:00 PM
VAN,SJS,2/2/2017,7:00 PM
VAN,MIN,2/4/2017,7:00 PM
NSH,VAN,2/7/2017,5:00 PM
CBJ,VAN,2/9/2017,4:00 PM
BOS,VAN,2/11/2017,10:00 PM
BUF,VAN,2/12/2017,4:30 PM
PIT,VAN,2/14/2017,4:00 PM
STL,VAN,2/16/2017,5:00 PM
VAN,CGY,2/18/2017,7:00 PM
VAN,PHI,2/19/2017,7:00 PM
VAN,SJS,2/25/2017,7:00 PM
VAN,DET,2/28/2017,7:00 PM
SJS,VAN,3/2/2017,7:30 PM
LAK,VAN,3/4/2017,7:00 PM
ANH,VAN,3/5/2017,5:00 PM
VAN,MON,3/7/2017,7:00 PM
VAN,NYI,3/9/2017,7:00 PM
VAN,PIT,3/11/2017,7:00 PM
VAN,BOS,3/13/2017,7:00 PM
VAN,DAL,3/16/2017,7:00 PM
EDM,VAN,3/18/2017,7:00 PM
CHI,VAN,3/21/2017,5:30 PM
STL,VAN,3/23/2017,5:00 PM
MIN,VAN,3/25/2017,11:00 PM
WPG,VAN,3/26/2017,5:00 PM
VAN,ANH,3/28/2017,7:00 PM
VAN,LAK,3/31/2017,7:00 PM
VAN,SJS,4/2/2017,4:00 PM
SJS,VAN,4/4/2017,7:30 PM
ARI,VAN,4/6/2017,7:00 PM
VAN,EDM,4/8/2017,7:00 PM
EDM,VAN,4/9/2017,6:00 PM
