HOME,AWAY,DATE,TIME (MT)
ARI,PHI,10/15/2016,7:00 PM
OTT,ARI,10/18/2016,5:30 PM
MON,ARI,10/20/2016,5:30 PM
NYI,ARI,10/21/2016,5:00 PM
NYR,ARI,10/23/2016,5:00 PM
NJD,ARI,10/25/2016,5:00 PM
PHI,ARI,10/27/2016,5:00 PM
ARI,COL,10/29/2016,7:00 PM
ARI,SJS,11/1/2016,8:00 PM
ARI,NSH,11/3/2016,8:00 PM
ANH,ARI,11/4/2016,8:00 PM
COL,ARI,11/8/2016,7:00 PM
ARI,WPG,11/10/2016,7:00 PM
ARI,BOS,11/12/2016,6:00 PM
CGY,ARI,11/16/2016,8:00 PM
VAN,ARI,11/17/2016,8:00 PM
ARI,SJS,11/19/2016,6:00 PM
ARI,VAN,11/23/2016,8:00 PM
ARI,EDM,11/25/2016,7:00 PM
EDM,ARI,11/27/2016,1:00 PM
SJS,ARI,11/29/2016,8:00 PM
ARI,LAK,12/1/2016,7:00 PM
ARI,CBJ,12/3/2016,6:00 PM
CBJ,ARI,12/5/2016,5:00 PM
CHI,ARI,12/6/2016,6:30 PM
ARI,CGY,12/8/2016,7:00 PM
ARI,NSH,12/10/2016,6:00 PM
PIT,ARI,12/12/2016,5:00 PM
DET,ARI,12/13/2016,5:30 PM
TOR,ARI,12/15/2016,5:30 PM
MIN,ARI,12/17/2016,0:00 PM
ARI,CGY,12/19/2016,7:00 PM
ARI,EDM,12/21/2016,7:30 PM
ARI,TOR,12/23/2016,7:00 PM
ARI,DAL,12/27/2016,7:00 PM
ARI,NYR,12/29/2016,7:00 PM
CGY,ARI,12/31/2016,8:00 PM
VAN,ARI,1/4/2017,8:00 PM
ANH,ARI,1/6/2017,8:00 PM
ARI,NYI,1/7/2017,6:00 PM
ARI,WPG,1/13/2017,7:00 PM
ARI,ANH,1/14/2017,6:00 PM
EDM,ARI,1/16/2017,7:00 PM
WPG,ARI,1/18/2017,5:30 PM
MIN,ARI,1/19/2017,6:00 PM
ARI,TBL,1/21/2017,6:00 PM
ARI,FLA,1/23/2017,7:00 PM
ARI,VAN,1/26/2017,7:00 PM
ARI,LAK,1/31/2017,7:00 PM
ARI,CHI,2/2/2017,7:00 PM
SJS,ARI,2/4/2017,8:30 PM
ARI,MON,2/9/2017,7:00 PM
ARI,PIT,2/11/2017,6:00 PM
CGY,ARI,2/13/2017,7:00 PM
EDM,ARI,2/14/2017,7:00 PM
LAK,ARI,2/16/2017,8:30 PM
ARI,SJS,2/18/2017,6:00 PM
ARI,ANH,2/20/2017,7:00 PM
CHI,ARI,2/23/2017,6:30 PM
DAL,ARI,2/24/2017,6:30 PM
ARI,BUF,2/26/2017,6:30 PM
BOS,ARI,2/28/2017,5:00 PM
BUF,ARI,3/2/2017,5:00 PM
CAR,ARI,3/3/2017,5:30 PM
ARI,CAR,3/5/2017,6:30 PM
ARI,OTT,3/9/2017,7:00 PM
ARI,NJD,3/11/2017,6:00 PM
ARI,COL,3/13/2017,8:00 PM
LAK,ARI,3/14/2017,8:30 PM
ARI,DET,3/16/2017,8:00 PM
ARI,STL,3/18/2017,7:00 PM
NSH,ARI,3/20/2017,6:00 PM
TBL,ARI,3/21/2017,5:30 PM
FLA,ARI,3/23/2017,5:30 PM
WSH,ARI,3/25/2017,5:00 PM
STL,ARI,3/27/2017,6:00 PM
ARI,STL,3/29/2017,8:30 PM
ARI,WSH,3/31/2017,8:00 PM
LAK,ARI,4/2/2017,8:30 PM
DAL,ARI,4/4/2017,6:30 PM
ARI,VAN,4/6/2017,8:00 PM
ARI,MIN,4/8/2017,7:00 PM
