HOME,AWAY,DATE,TIME (MT)
COL,DAL,10/15/2016,7:00 PM
PIT,COL,10/17/2016,5:00 PM
WSH,COL,10/18/2016,5:00 PM
TBL,COL,10/20/2016,5:30 PM
FLA,COL,10/22/2016,5:00 PM
COL,WPG,10/28/2016,7:00 PM
ARI,COL,10/29/2016,7:00 PM
COL,NSH,11/1/2016,7:00 PM
CHI,COL,11/3/2016,6:30 PM
COL,MIN,11/5/2016,1:00 PM
STL,COL,11/6/2016,3:00 PM
COL,ARI,11/8/2016,7:00 PM
COL,WPG,11/11/2016,7:00 PM
COL,BOS,11/13/2016,5:00 PM
COL,LAK,11/15/2016,7:00 PM
DAL,COL,11/17/2016,6:30 PM
MIN,COL,11/19/2016,6:00 PM
CBJ,COL,11/21/2016,5:00 PM
COL,EDM,11/23/2016,8:00 PM
COL,VAN,11/26/2016,8:00 PM
COL,NSH,11/29/2016,7:00 PM
COL,CBJ,12/1/2016,7:00 PM
COL,DAL,12/3/2016,7:00 PM
NSH,COL,12/6/2016,6:00 PM
BOS,COL,12/8/2016,5:00 PM
MON,COL,12/10/2016,5:00 PM
TOR,COL,12/11/2016,5:00 PM
COL,PHI,12/14/2016,8:00 PM
COL,FLA,12/16/2016,7:00 PM
WPG,COL,12/18/2016,1:00 PM
MIN,COL,12/20/2016,6:00 PM
COL,TOR,12/22/2016,7:00 PM
CHI,COL,12/23/2016,6:30 PM
COL,CGY,12/27/2016,7:00 PM
DAL,COL,12/29/2016,6:30 PM
COL,NYR,12/31/2016,6:00 PM
VAN,COL,1/2/2017,8:00 PM
CGY,COL,1/4/2017,8:00 PM
COL,NYI,1/6/2017,7:00 PM
COL,ANH,1/12/2017,7:00 PM
COL,NSH,1/14/2017,1:00 PM
COL,CHI,1/17/2017,7:00 PM
ANH,COL,1/19/2017,8:00 PM
SJS,COL,1/21/2017,8:30 PM
COL,SJS,1/23/2017,7:00 PM
COL,VAN,1/25/2017,7:30 PM
ANH,COL,1/31/2017,8:00 PM
LAK,COL,2/1/2017,8:30 PM
COL,WPG,2/4/2017,1:00 PM
COL,MON,2/7/2017,7:00 PM
COL,PIT,2/9/2017,7:00 PM
NYR,COL,2/11/2017,5:00 PM
NYI,COL,2/12/2017,4:00 PM
NJD,COL,2/14/2017,5:00 PM
BUF,COL,2/16/2017,5:00 PM
CAR,COL,2/17/2017,5:30 PM
COL,TBL,2/19/2017,6:00 PM
COL,LAK,2/21/2017,7:00 PM
NSH,COL,2/23/2017,6:00 PM
COL,BUF,2/25/2017,8:00 PM
PHI,COL,2/28/2017,5:00 PM
OTT,COL,3/2/2017,5:30 PM
WPG,COL,3/4/2017,5:00 PM
COL,STL,3/5/2017,6:00 PM
COL,CAR,3/7/2017,7:00 PM
COL,NJD,3/9/2017,7:00 PM
COL,OTT,3/11/2017,5:00 PM
ARI,COL,3/13/2017,8:00 PM
COL,DET,3/15/2017,8:00 PM
DET,COL,3/18/2017,11:00 PM
CHI,COL,3/19/2017,5:00 PM
COL,STL,3/21/2017,7:00 PM
COL,EDM,3/23/2017,7:00 PM
EDM,COL,3/25/2017,8:00 PM
CGY,COL,3/27/2017,7:00 PM
COL,WSH,3/29/2017,8:00 PM
COL,STL,3/31/2017,7:00 PM
MIN,COL,4/2/2017,4:00 PM
COL,CHI,4/4/2017,7:00 PM
COL,MIN,4/6/2017,7:00 PM
DAL,COL,4/8/2017,6:00 PM
STL,COL,4/9/2017,4:00 PM
