HOME,AWAY,DATE,TIME (MT)
EDM,CGY,10/12/2016,8:00 PM
CGY,EDM,10/14/2016,7:00 PM
EDM,BUF,10/16/2016,5:00 PM
EDM,CAR,10/18/2016,7:00 PM
EDM,STL,10/20/2016,7:00 PM
WPG,EDM,10/23/2016,1:00 PM
EDM,WSH,10/26/2016,7:30 PM
VAN,EDM,10/28/2016,8:00 PM
EDM,OTT,10/30/2016,7:00 PM
TOR,EDM,11/1/2016,5:30 PM
NYR,EDM,11/3/2016,5:00 PM
NYI,EDM,11/5/2016,5:00 PM
DET,EDM,11/6/2016,3:00 PM
PIT,EDM,11/8/2016,5:00 PM
EDM,DAL,11/11/2016,7:00 PM
EDM,NYR,11/13/2016,7:30 PM
ANH,EDM,11/15/2016,8:00 PM
LAK,EDM,11/17/2016,8:30 PM
DAL,EDM,11/19/2016,5:00 PM
EDM,CHI,11/21/2016,7:00 PM
COL,EDM,11/23/2016,8:00 PM
ARI,EDM,11/25/2016,7:00 PM
EDM,ARI,11/27/2016,1:00 PM
EDM,TOR,11/29/2016,7:00 PM
WPG,EDM,12/1/2016,6:00 PM
EDM,ANH,12/3/2016,8:00 PM
EDM,MIN,12/4/2016,7:30 PM
BUF,EDM,12/6/2016,5:00 PM
PHI,EDM,12/8/2016,5:00 PM
MIN,EDM,12/9/2016,6:00 PM
EDM,WPG,12/11/2016,7:30 PM
EDM,CBJ,12/13/2016,7:00 PM
EDM,TBL,12/17/2016,8:00 PM
STL,EDM,12/19/2016,6:00 PM
ARI,EDM,12/21/2016,7:30 PM
SJS,EDM,12/23/2016,8:30 PM
EDM,LAK,12/29/2016,7:00 PM
EDM,VAN,12/31/2016,8:00 PM
CBJ,EDM,1/3/2017,5:00 PM
BOS,EDM,1/5/2017,5:00 PM
NJD,EDM,1/7/2017,5:00 PM
OTT,EDM,1/8/2017,5:00 PM
EDM,SJS,1/10/2017,7:00 PM
EDM,NJD,1/12/2017,7:00 PM
EDM,CGY,1/14/2017,8:00 PM
EDM,ARI,1/16/2017,7:00 PM
EDM,FLA,1/18/2017,7:30 PM
EDM,NSH,1/20/2017,7:00 PM
CGY,EDM,1/21/2017,8:00 PM
ANH,EDM,1/25/2017,8:00 PM
SJS,EDM,1/26/2017,8:30 PM
EDM,MIN,1/31/2017,7:00 PM
NSH,EDM,2/2/2017,6:00 PM
CAR,EDM,2/3/2017,5:30 PM
MON,EDM,2/5/2017,11:00 PM
EDM,CHI,2/11/2017,8:00 PM
EDM,ARI,2/14/2017,7:00 PM
EDM,PHI,2/16/2017,7:00 PM
CHI,EDM,2/18/2017,5:00 PM
TBL,EDM,2/21/2017,5:30 PM
FLA,EDM,2/22/2017,5:30 PM
WSH,EDM,2/24/2017,5:00 PM
NSH,EDM,2/26/2017,3:00 PM
STL,EDM,2/28/2017,6:00 PM
EDM,DET,3/4/2017,8:00 PM
EDM,NYI,3/7/2017,7:00 PM
EDM,PIT,3/10/2017,7:00 PM
EDM,MON,3/12/2017,5:00 PM
EDM,DAL,3/14/2017,7:00 PM
EDM,BOS,3/16/2017,7:00 PM
EDM,VAN,3/18/2017,8:00 PM
EDM,LAK,3/20/2017,7:00 PM
ANH,EDM,3/22/2017,8:00 PM
COL,EDM,3/23/2017,7:00 PM
EDM,COL,3/25/2017,8:00 PM
EDM,LAK,3/28/2017,7:00 PM
EDM,SJS,3/30/2017,7:00 PM
EDM,ANH,4/1/2017,8:00 PM
LAK,EDM,4/4/2017,8:30 PM
SJS,EDM,4/6/2017,8:30 PM
VAN,EDM,4/8/2017,8:00 PM
EDM,VAN,4/9/2017,7:00 PM
