HOME,AWAY,DATE,TIME (PT)
SJS,LAK,10/12/2016,7:30 PM
CBJ,SJS,10/15/2016,4:00 PM
NYR,SJS,10/17/2016,4:00 PM
NYI,SJS,10/18/2016,4:00 PM
PIT,SJS,10/20/2016,4:00 PM
DET,SJS,10/22/2016,4:00 PM
SJS,ANH,10/25/2016,7:30 PM
SJS,CBJ,10/27/2016,7:30 PM
SJS,NSH,10/29/2016,7:30 PM
ARI,SJS,11/1/2016,7:00 PM
SJS,CGY,11/3/2016,7:30 PM
SJS,PIT,11/5/2016,7:30 PM
WSH,SJS,11/8/2016,4:00 PM
FLA,SJS,11/10/2016,4:30 PM
TBL,SJS,11/12/2016,4:00 PM
CAR,SJS,11/15/2016,4:00 PM
STL,SJS,11/17/2016,5:00 PM
ARI,SJS,11/19/2016,5:00 PM
SJS,NJD,11/21/2016,7:30 PM
SJS,CHI,11/23/2016,7:30 PM
SJS,NYI,11/25/2016,1:00 PM
SJS,ANH,11/26/2016,7:30 PM
SJS,ARI,11/29/2016,7:00 PM
LAK,SJS,11/30/2016,7:30 PM
SJS,MON,12/2/2016,7:30 PM
SJS,OTT,12/7/2016,7:30 PM
ANH,SJS,12/9/2016,7:00 PM
SJS,CAR,12/10/2016,7:30 PM
TOR,SJS,12/13/2016,4:30 PM
OTT,SJS,12/14/2016,4:00 PM
MON,SJS,12/16/2016,4:30 PM
CHI,SJS,12/18/2016,4:00 PM
SJS,CGY,12/20/2016,7:30 PM
SJS,EDM,12/23/2016,7:30 PM
ANH,SJS,12/27/2016,7:00 PM
SJS,PHI,12/30/2016,7:00 PM
LAK,SJS,12/31/2016,7:30 PM
SJS,LAK,1/3/2017,7:30 PM
SJS,MIN,1/5/2017,7:30 PM
SJS,DET,1/7/2017,7:30 PM
EDM,SJS,1/10/2017,6:00 PM
CGY,SJS,1/11/2017,6:30 PM
SJS,STL,1/14/2017,7:30 PM
SJS,WPG,1/16/2017,1:00 PM
LAK,SJS,1/18/2017,7:30 PM
SJS,TBL,1/19/2017,7:30 PM
SJS,COL,1/21/2017,7:30 PM
COL,SJS,1/23/2017,6:00 PM
WPG,SJS,1/24/2017,5:00 PM
SJS,EDM,1/26/2017,7:30 PM
SJS,CHI,1/31/2017,7:30 PM
VAN,SJS,2/2/2017,7:00 PM
SJS,ARI,2/4/2017,7:30 PM
BUF,SJS,2/7/2017,4:00 PM
BOS,SJS,2/9/2017,4:00 PM
PHI,SJS,2/11/2017,10:00 PM
NJD,SJS,2/12/2017,9:30 PM
SJS,FLA,2/15/2017,7:30 PM
ARI,SJS,2/18/2017,5:00 PM
SJS,BOS,2/19/2017,5:30 PM
VAN,SJS,2/25/2017,7:00 PM
SJS,TOR,2/28/2017,7:30 PM
SJS,VAN,3/2/2017,7:30 PM
MIN,SJS,3/5/2017,3:00 PM
WPG,SJS,3/6/2017,5:00 PM
SJS,WSH,3/9/2017,7:30 PM
SJS,NSH,3/11/2017,1:00 PM
SJS,DAL,3/12/2017,7:00 PM
SJS,BUF,3/14/2017,7:30 PM
SJS,STL,3/16/2017,7:30 PM
SJS,ANH,3/18/2017,7:30 PM
DAL,SJS,3/20/2017,5:30 PM
MIN,SJS,3/21/2017,5:00 PM
DAL,SJS,3/24/2017,5:30 PM
NSH,SJS,3/25/2017,5:00 PM
SJS,NYR,3/28/2017,7:30 PM
EDM,SJS,3/30/2017,6:00 PM
CGY,SJS,3/31/2017,6:00 PM
VAN,SJS,4/2/2017,4:00 PM
SJS,VAN,4/4/2017,7:30 PM
SJS,EDM,4/6/2017,7:30 PM
SJS,CGY,4/8/2017,7:00 PM
