HOME,AWAY,DATE,TIME (PT)
DAL,ANH,10/13/2016,5:30 PM
PIT,ANH,10/15/2016,4:00 PM
NYI,ANH,10/16/2016,3:00 PM
NJD,ANH,10/18/2016,4:00 PM
PHI,ANH,10/20/2016,4:00 PM
ANH,VAN,10/23/2016,5:00 PM
SJS,ANH,10/25/2016,7:30 PM
ANH,NSH,10/26/2016,7:30 PM
ANH,CBJ,10/28/2016,7:00 PM
LAK,ANH,11/1/2016,7:30 PM
ANH,PIT,11/2/2016,7:30 PM
ANH,ARI,11/4/2016,7:00 PM
ANH,CGY,11/6/2016,6:30 PM
CBJ,ANH,11/9/2016,4:00 PM
CAR,ANH,11/10/2016,4:00 PM
NSH,ANH,11/12/2016,5:00 PM
ANH,EDM,11/15/2016,7:00 PM
ANH,NJD,11/17/2016,7:00 PM
ANH,LAK,11/20/2016,5:00 PM
ANH,NYI,11/22/2016,7:00 PM
ANH,CHI,11/25/2016,1:00 PM
SJS,ANH,11/26/2016,7:30 PM
ANH,MON,11/29/2016,7:00 PM
VAN,ANH,12/1/2016,7:00 PM
EDM,ANH,12/3/2016,7:00 PM
CGY,ANH,12/4/2016,6:30 PM
ANH,CAR,12/7/2016,7:30 PM
ANH,SJS,12/9/2016,7:00 PM
ANH,OTT,12/11/2016,1:00 PM
DAL,ANH,12/13/2016,5:30 PM
BOS,ANH,12/15/2016,4:00 PM
DET,ANH,12/17/2016,4:00 PM
TOR,ANH,12/19/2016,4:30 PM
MON,ANH,12/20/2016,4:30 PM
OTT,ANH,12/22/2016,4:30 PM
ANH,SJS,12/27/2016,7:00 PM
CGY,ANH,12/29/2016,6:00 PM
VAN,ANH,12/30/2016,7:00 PM
ANH,PHI,1/1/2017,5:00 PM
ANH,DET,1/4/2017,7:30 PM
ANH,ARI,1/6/2017,7:00 PM
ANH,MIN,1/8/2017,5:00 PM
ANH,DAL,1/10/2017,7:00 PM
COL,ANH,1/12/2017,6:00 PM
ARI,ANH,1/14/2017,5:00 PM
ANH,STL,1/15/2017,6:00 PM
ANH,TBL,1/17/2017,7:00 PM
ANH,COL,1/19/2017,7:00 PM
MIN,ANH,1/21/2017,6:00 PM
WPG,ANH,1/23/2017,5:00 PM
ANH,EDM,1/25/2017,7:00 PM
ANH,COL,1/31/2017,7:00 PM
FLA,ANH,2/3/2017,4:30 PM
TBL,ANH,2/4/2017,4:00 PM
NYR,ANH,2/7/2017,4:00 PM
BUF,ANH,2/9/2017,4:00 PM
WSH,ANH,2/11/2017,4:00 PM
MIN,ANH,2/14/2017,5:00 PM
ANH,FLA,2/17/2017,7:00 PM
ANH,LAK,2/19/2017,6:00 PM
ARI,ANH,2/20/2017,6:00 PM
ANH,BOS,2/22/2017,7:30 PM
LAK,ANH,2/25/2017,1:00 PM
ANH,TOR,3/3/2017,7:00 PM
ANH,VAN,3/5/2017,5:00 PM
ANH,NSH,3/7/2017,7:00 PM
CHI,ANH,3/9/2017,5:30 PM
STL,ANH,3/10/2017,5:00 PM
ANH,WSH,3/12/2017,6:30 PM
ANH,STL,3/15/2017,7:00 PM
ANH,BUF,3/17/2017,7:00 PM
SJS,ANH,3/18/2017,7:30 PM
ANH,EDM,3/22/2017,7:00 PM
ANH,WPG,3/24/2017,7:00 PM
ANH,NYR,3/26/2017,6:00 PM
VAN,ANH,3/28/2017,7:00 PM
WPG,ANH,3/30/2017,5:00 PM
EDM,ANH,4/1/2017,7:00 PM
CGY,ANH,4/2/2017,6:30 PM
ANH,CGY,4/4/2017,7:00 PM
ANH,CHI,4/6/2017,7:00 PM
ANH,LAK,4/9/2017,5:30 PM
