DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
10/7/2015,,,,,,,VAN-H,NYR-H,,,,,,SJS-H,,TOR-A,,,,CHI-A,,,,LAK-A,,,MON-H,CGY-A,,
10/8/2015,,,WPG-H,OTT-H,NSH-A,,,,MIN-H,PIT-H,,STL-A,,,COL-A,,,CAR-H,,,BUF-A,TBL-A,DAL-A,,EDM-H,PHI-H,,,BOS-A,
10/9/2015,,LAK-A,,,,NYR-H,,NYI-A,,,TOR-H,,,ARI-H,,,WPG-H,,CHI-H,CBJ-A,,,,,,,DET-A,,NJD-A,
10/10/2015,SJS-A,PIT-H,MON-H,TBL-H,DET-H,NYR-A,VAN-A,NYI-H,DAL-H,COL-A,CAR-A,NSH-A,PHI-H,,STL-H,BOS-A,WSH-A,EDM-H,CHI-A,CBJ-H,TOR-A,FLA-A,ARI-A,ANH-H,MIN-A,BUF-A,OTT-H,CGY-H,,NJD-H
10/11/2015,,,,,,,,,,,,,,,,OTT-A,,,,,MON-H,,,,,,,,,
10/12/2015,VAN-H,,TBL-H,CBJ-H,,BUF-A,,,,,,,PHI-A,,,,,,WPG-H,,,FLA-H,,,,BOS-A,,ANH-A,NYI-A,
10/13/2015,,,,,FLA-H,,STL-H,,,EDM-H,TBL-H,DAL-A,CAR-A,VAN-H,,PIT-A,NSH-H,NJD-A,,WPG-H,,,MON-H,WSH-A,CGY-A,DET-A,,LAK-A,NYR-A,SJS-H
10/14/2015,ARI-H,ANH-A,COL-A,,,OTT-H,,PHI-A,BOS-H,,,,,,,,,,,,CBJ-A,CHI-H,,,,,,,,
10/15/2015,,MIN-H,,FLA-A,,,,WSH-A,,TBL-A,,STL-H,BUF-H,,ARI-A,NYR-H,,NYI-A,NSH-H,MON-A,PIT-A,,OTT-H,,EDM-A,DAL-H,,,,CHI-H
10/16/2015,COL-H,,,,DET-A,TOR-H,WPG-A,,ANH-A,,CAR-H,,,MIN-H,LAK-A,,SJS-H,,,,,,,NJD-A,VAN-A,,CBJ-A,STL-H,CGY-H,
10/17/2015,,BOS-H,ARI-A,TBL-A,WSH-A,CHI-A,EDM-H,CBJ-H,,FLA-A,MON-A,CGY-A,DAL-H,,,DET-H,,OTT-A,SJS-H,,NSH-H,,TOR-H,NYI-A,,BUF-H,PIT-A,,,CAR-H
10/18/2015,MIN-H,,,,,,,,LAK-A,,,VAN-A,,COL-H,ANH-A,,NYR-A,,,NJD-H,,,,,WPG-A,,,EDM-H,STL-H,
