DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
10/9/2014,PIT-A,WPG-H,DET-A,CBJ-H,,BUF-A,EDM-A,DAL-A,MIN-A,CHI-H,BOS-H,CGY-H,TBL-A,,COL-H,WSH-A,PHI-A,OTT-H,,STL-A,NSH-A,NJD-H,ANH-H,,NYR-H,FLA-H,,,ARI-A,MON-H
10/10/2014,,,,,NYI-H,,,,,,,,,,,,,,CAR-A,,,,,,,,,,,
10/11/2014,DET-A,LAK-H,WSH-H,CHI-A,NYI-A,NYR-H,STL-A,BUF-H,MIN-H,NSH-A,ANH-H,VAN-A,NJD-H,ARI-A,COL-A,PHI-A,FLA-A,DAL-H,CAR-H,CBJ-A,TBL-A,MON-H,TOR-A,WPG-H,CGY-H,OTT-H,PIT-H,EDM-H,SJS-A,BOS-A
10/12/2014,,,,,,,,,,,,,,WPG-H,,,,,,TOR-H,,,,,,,NYR-A,,LAK-A,
10/13/2014,BUF-A,,COL-H,ANH-H,,,,,BOS-A,,,,OTT-H,,,TBL-A,,,,,FLA-A,,,,,MON-H,,,,
10/14/2014,PHI-A,,,CAR-A,BUF-H,DAL-H,NSH-A,,TOR-A,CBJ-A,,LAK-A,,EDM-H,,,TBL-A,CGY-H,NYR-A,NYI-H,,ANH-H,,WSH-A,,NJD-H,COL-H,,,SJS-H
10/15/2014,,EDM-H,DET-A,,,,CHI-A,CGY-H,,,BOS-H,ARI-A,,,,,,,,,,,,,,,,,,
10/16/2014,,,MON-A,,NYR-A,,,,OTT-A,PIT-A,,,,STL-H,,BOS-H,WSH-A,,SJS-H,CAR-H,COL-H,,DAL-H,NYI-A,LAK-A,,,,,NJD-H
10/17/2014,MIN-H,,,FLA-H,,CGY-H,CBJ-A,,,,TOR-A,VAN-H,BUF-A,,ANH-A,,,WPG-A,,,,,,,,,DET-H,EDM-A,NSH-H,
10/18/2014,,STL-H,BUF-A,BOS-H,,OTT-A,,NSH-H,MON-A,PHI-H,TOR-H,,WSH-A,,,COL-H,SJS-H,CHI-A,PIT-A,,CBJ-H,DAL-A,NYI-H,NJD-A,ARI-A,VAN-A,DET-A,TBL-H,,FLA-H
10/19/2014,STL-H,,,,,,WPG-A,,,,,,,MIN-H,LAK-A,,,,,SJS-H,,,,NYR-A,ANH-A,,,,CGY-H,
10/20/2014,,,,,,,,,,,,TBL-H,,,,,,,,,,,,,,EDM-A,,,,
10/21/2014,,NSH-A,SJS-H,,WPG-A,,TBL-H,PHI-H,FLA-H,VAN-H,MON-A,,COL-A,,,DET-H,NYR-H,ARI-H,TOR-H,NJD-A,,CHI-A,,BOS-A,,CGY-A,NYI-A,DAL-A,CAR-H,
10/22/2014,BUF-H,,,ANH-A,,,,,,,,WSH-H,,,,,,,,,,PIT-A,PHI-H,,,,,,,EDM-A
10/23/2014,,MIN-A,NYI-H,LAK-A,CGY-A,SJS-A,CAR-H,NSH-A,,,PIT-H,,,BUF-H,ARI-H,,,CHI-H,BOS-A,,,,DET-A,CBJ-H,VAN-H,,,STL-A,,
10/24/2014,CBJ-H,,,,EDM-A,ANH-A,,,VAN-H,NJD-A,,CAR-H,,,,,DAL-H,,,,,,,,,WPG-A,,COL-A,TBL-H,
10/25/2014,,FLA-H,TOR-A,SJS-A,,,WSH-H,STL-A,,NYI-A,PHI-A,,ARI-A,,TBL-H,NYR-H,OTT-A,PIT-H,DAL-H,MON-A,NJD-H,DET-H,NSH-A,BUF-H,CHI-H,MIN-A,BOS-H,,,CGY-A
10/26/2014,SJS-H,,,,,LAK-A,,OTT-H,WPG-A,,,,,CBJ-H,,,,,,,CHI-A,,,ANH-A,,,,WSH-H,COL-H,VAN-A
10/27/2014,,,,,,,,,,,,MON-H,,,NYR-A,EDM-A,,,,MIN-H,,,,,,,,,,
10/28/2014,CHI-A,TBL-A,MIN-H,TOR-A,VAN-A,OTT-H,MON-H,ANH-H,SJS-H,STL-H,,,,PHI-A,BOS-A,CGY-A,PIT-A,,WPG-H,,CBJ-A,LAK-H,NJD-H,COL-A,DAL-A,ARI-H,BUF-H,CAR-H,NYI-A,
10/29/2014,,,,,,,,,,,WSH-A,NSH-H,,,,,,EDM-A,,,,,,,,,,,,DET-H
10/30/2014,STL-A,FLA-A,BUF-A,BOS-H,,,,OTT-A,NYI-H,,,,ARI-H,PIT-A,SJS-H,VAN-A,WPG-H,,COL-A,,CHI-H,TBL-A,LAK-H,MIN-A,ANH-H,PHI-H,,MON-H,NJD-A,
10/31/2014,DAL-A,,,,,TOR-H,NSH-H,,,ANH-H,LAK-H,,,DET-A,,,,CGY-A,,,,,,,,,CBJ-A,,,
11/1/2014,,CAR-A,OTT-H,PIT-A,ARI-H,NJD-A,,TOR-A,STL-A,MIN-A,,VAN-H,PHI-H,,DAL-H,,CBJ-H,,SJS-A,WPG-H,BOS-A,FLA-A,BUF-H,NYI-H,COL-H,WSH-H,CHI-H,EDM-A,NYR-A,TBL-A
11/2/2014,COL-A,WSH-A,,DET-H,LAK-H,,MON-A,WPG-H,ANH-H,,BUF-A,,,CAR-A,,CGY-H,,VAN-A,,,,,,,,,,NSH-H,CHI-A,ARI-H
11/3/2014,,,,,,,,,,,,,,,,,,,,STL-H,,,,,NYR-A,,,,,
11/4/2014,,TOR-H,FLA-H,,CBJ-A,CAR-H,WSH-A,MON-A,VAN-H,LAK-H,OTT-A,PHI-A,BOS-A,DAL-A,PIT-H,CHI-H,STL-H,WPG-A,,,DET-H,EDM-H,MIN-A,,NJD-A,,ARI-A,COL-A,NSH-H,CGY-H
11/5/2014,NYI-H,,,MON-H,,,,,,,NYR-A,,,,,BUF-A,,,ANH-A,DET-H,,,,,,,,,,
11/6/2014,,,EDM-H,,,,TBL-A,,TOR-H,NSH-H,,BOS-A,PHI-A,NYI-H,OTT-A,,STL-A,DAL-A,LAK-A,,MIN-H,FLA-H,WPG-A,VAN-H,NJD-H,CGY-H,COL-A,SJS-A,PIT-H,
11/7/2014,ARI-H,ANH-A,,EDM-H,CBJ-H,CAR-A,,WSH-H,,,NJD-H,BUF-A,,,,,DET-A,,,,,,,,,,,,,CHI-A
11/8/2014,,NYI-H,,PIT-H,WSH-A,TBL-H,FLA-A,,PHI-A,SJS-H,,,CGY-H,VAN-H,MON-A,MIN-H,,STL-A,ARI-A,TOR-A,WPG-H,COL-H,BUF-A,DAL-A,NSH-H,CBJ-A,NYR-H,LAK-A,OTT-A,CAR-H
11/9/2014,VAN-H,,,,,,,SJS-H,,,TBL-H,NYR-A,,,,,,,,EDM-H,TOR-H,,,CHI-A,,DET-A,OTT-A,ANH-A,,
11/10/2014,,,NJD-H,,CGY-H,,CAR-A,,,,,,,,,,BOS-A,,,,,,,,,,,,,
11/11/2014,,DAL-H,,STL-A,,WSH-A,,TBL-H,NYI-A,ARI-A,,NSH-A,SJS-H,,NJD-A,WPG-H,MIN-H,EDM-H,COL-H,PIT-H,VAN-A,,NYR-A,FLA-A,BUF-H,CHI-A,,OTT-H,MON-A,CBJ-H
11/12/2014,LAK-H,,TOR-A,,,,,,,,,,,ANH-A,,,,,,,,,,,,,BOS-H,,,
11/13/2014,,CGY-A,MON-A,MIN-A,WPG-H,,ARI-H,,NYR-A,LAK-A,,OTT-H,,DAL-H,BUF-H,BOS-H,,STL-A,,COL-H,EDM-A,,,TBL-A,NSH-H,SJS-H,,,CAR-A,
11/14/2014,,VAN-A,,,,PHI-A,,DET-A,,,CHI-H,,NYI-H,,,,WSH-A,,FLA-A,,,CBJ-H,TOR-A,,,,PIT-H,ARI-H,,NJD-H
11/15/2014,LAK-A,,CAR-H,TOR-H,BOS-A,SJS-H,OTT-H,,NJD-A,MIN-H,,,,ANH-H,DAL-A,PHI-H,COL-H,WPG-H,TBL-A,PIT-A,CGY-A,MON-A,NYR-H,CBJ-A,WSH-H,NYI-H,BUF-A,,NSH-A,STL-A
11/16/2014,FLA-H,EDM-A,,,SJS-H,,,DAL-H,,CHI-A,MON-H,ARI-H,ANH-A,,WPG-H,DET-A,,,,,,,,CAR-A,,,,,MIN-A,
11/17/2014,,,,,,,,,,,,,,,,,,,,TBL-H,,,,,,NYR-A,,,,
11/18/2014,CGY-A,WSH-H,STL-H,SJS-H,DAL-A,DET-H,ANH-H,,,CAR-H,CBJ-A,,LAK-A,FLA-H,,PIT-H,WPG-A,TOR-A,TBL-H,,,,MON-A,BUF-A,BOS-A,NYI-A,NSH-H,,NJD-H,ARI-A
11/19/2014,,,,,,,,,,,,VAN-H,,,,,,,,PHI-H,,NYR-A,,,,,,EDM-A,,
11/20/2014,VAN-A,DAL-A,,,LAK-A,,CHI-H,CGY-A,WSH-H,ARI-H,WPG-A,,SJS-A,CAR-H,PHI-A,STL-H,,OTT-A,,,NSH-H,MIN-H,,FLA-H,MON-A,TOR-A,TBL-H,ANH-H,DET-H,COL-A
11/21/2014,,,CBJ-A,,,BOS-H,,,,,,NJD-H,,,,,EDM-A,,PIT-A,,,,NYI-H,,,,,,,
11/22/2014,,SJS-A,MON-H,WSH-A,COL-A,PHI-A,NJD-H,EDM-A,CAR-H,LAK-H,TOR-A,CHI-H,NSH-A,DAL-A,TBL-A,BOS-A,CGY-A,FLA-H,PIT-H,,STL-H,CBJ-H,NYI-A,ARI-H,OTT-A,MIN-H,DET-H,,,BUF-H
11/23/2014,ARI-H,ANH-A,,,,,,VAN-A,,,,,,,,NYR-A,,,,MON-H,,,,,WPG-A,,,CHI-H,STL-H,
11/24/2014,,,PIT-H,,,,,,,,OTT-H,,MIN-H,,FLA-A,,,,PHI-H,,DET-A,NYI-A,BOS-A,,,,,,,
11/25/2014,CGY-H,COL-H,,,,WPG-H,ANH-A,,ARI-A,EDM-H,,DAL-A,,NSH-A,,,VAN-A,LAK-H,,,STL-A,,,,OTT-H,,,NJD-H,CBJ-A,
11/26/2014,,,,WPG-H,FLA-A,,SJS-A,COL-A,CHI-H,,PHI-H,,CAR-H,MIN-A,LAK-H,,,,WSH-H,TBL-A,,DET-A,TOR-H,CGY-H,,NYR-H,PIT-A,,BUF-A,NYI-A
11/27/2014,,,,,,,,,,,,NSH-A,,,,,,EDM-H,,,,,,,,,,,,
11/28/2014,CHI-H,,WPG-H,MON-H,PIT-A,VAN-H,,ANH-A,,MIN-H,NJD-A,STL-A,OTT-H,,DAL-A,BUF-A,DET-H,,WSH-A,PHI-A,FLA-A,NYR-H,CAR-H,,EDM-H,,,CBJ-A,BOS-A,NYI-H
11/29/2014,SJS-A,CGY-H,,MON-A,PIT-H,NSH-A,ARI-A,LAK-A,DAL-H,COL-A,,,,CHI-H,STL-H,BUF-H,NYI-A,CBJ-H,NJD-H,PHI-H,TBL-A,NYR-A,CAR-A,ANH-H,MIN-A,OTT-H,WSH-H,,,TOR-A
11/30/2014,,,,,,,,,,,VAN-H,,,,,,,,,,,,,,,,,DET-A,,
12/1/2014,BOS-H,EDM-A,ANH-A,,,FLA-H,,,MON-H,,,ARI-H,CBJ-A,,,COL-A,,,,TBL-H,,,,,,NYR-A,,,,
12/2/2014,,CGY-A,LAK-A,TBL-H,NSH-H,,ARI-H,,,TOR-A,FLA-H,,DET-A,BOS-H,,,PIT-A,CAR-A,OTT-H,,NYI-A,SJS-A,NJD-H,PHI-H,,BUF-A,DAL-H,WSH-A,,VAN-H
12/3/2014,PHI-H,,,,,,,STL-H,,,,WPG-A,,,MON-H,MIN-A,,,,,,ANH-A,,,CHI-A,,,,EDM-H,
12/4/2014,,LAK-H,SJS-A,TBL-A,WSH-H,FLA-A,COL-H,,CGY-A,DET-A,DAL-H,,CBJ-H,ARI-A,,,TOR-A,STL-H,OTT-A,,NYI-H,,VAN-H,BOS-H,NSH-A,BUF-H,NJD-H,PIT-A,,CAR-A
12/5/2014,MIN-A,,,,,,,MON-H,WPG-A,,,,,,ANH-H,CHI-A,,,,,,,,,,,,,COL-H,
12/6/2014,,BOS-H,ARI-A,FLA-A,,TBL-A,SJS-H,NSH-A,,MON-H,NYR-H,,BUF-H,PHI-H,,DAL-A,WSH-H,CHI-H,STL-H,DET-A,PIT-A,LAK-A,OTT-H,CGY-A,NYI-A,CBJ-H,VAN-H,TOR-A,,NJD-A
12/7/2014,WPG-A,,,,DET-H,,,,,,CAR-A,SJS-H,,,,,,,,,VAN-H,,,EDM-A,,,,OTT-A,ANH-H,
12/8/2014,,,,,NJD-H,,,,,,,,STL-A,,,,CAR-A,,,PIT-H,,,NYR-A,,FLA-H,,,,,
12/9/2014,,,,LAK-H,,PHI-H,TOR-A,NJD-A,NSH-H,WPG-H,,SJS-A,,BUF-A,NYI-H,VAN-H,CHI-H,COL-A,MIN-A,,,CBJ-A,,EDM-H,,WSH-H,CGY-H,MON-A,DAL-A,TBL-A
12/10/2014,EDM-H,,,,,,,,,,TOR-H,ANH-A,,,,,,,,,,,,,,,DET-A,,,
12/11/2014,,NSH-H,CHI-H,CGY-H,TBL-A,WSH-A,BUF-A,BOS-A,WPG-H,,,,,OTT-A,SJS-A,,PHI-A,ARI-A,STL-A,,LAK-H,NJD-H,,MIN-H,NYI-H,CAR-H,,,COL-A,CBJ-H
12/12/2014,EDM-A,,,,,,PIT-A,,,,FLA-H,ANH-H,DET-A,MON-A,,LAK-H,,,,,,,CGY-H,,,,,,,
12/13/2014,WPG-A,MIN-H,OTT-H,FLA-H,PHI-A,PIT-H,,NYI-A,STL-H,NJD-H,TOR-A,,BUF-A,,ARI-A,,DAL-A,SJS-A,CHI-H,VAN-A,BOS-A,CAR-H,CBJ-A,NSH-H,COL-A,WSH-A,DET-H,NYR-H,ANH-H,TBL-H
12/14/2014,,,,,,,CHI-A,CGY-H,,,,NYR-H,,TOR-A,,,,,,EDM-A,,,,,,,LAK-H,,,
12/15/2014,,,,OTT-H,,,,,,,,,,,,,NYI-A,,NJD-H,,BUF-A,,TBL-H,,,PIT-A,,,,
12/16/2014,TOR-A,EDM-H,NSH-A,WPG-A,MON-A,DET-A,NYR-H,MIN-H,,,CBJ-H,ARI-A,WSH-H,STL-A,CHI-A,CAR-H,,BOS-H,,CGY-A,,TBL-H,,,LAK-H,PHI-A,ANH-H,,BUF-H,FLA-A
12/17/2014,,,MIN-A,,,,,,,VAN-A,,,,,BOS-H,,OTT-H,,,,NJD-A,,,,,,,DAL-H,,
12/18/2014,MON-A,,,,TOR-H,WSH-H,,,PIT-A,,,SJS-A,PHI-A,STL-H,,ANH-H,,,,,,FLA-H,COL-H,EDM-H,LAK-A,,CAR-A,,,CBJ-A
12/19/2014,OTT-A,,WPG-A,,,,DAL-H,,,CGY-A,NYI-H,,,,,,TBL-H,,DET-A,,ANH-H,,,,,NJD-A,,,BOS-H,
12/20/2014,,LAK-A,,COL-H,NYR-H,CHI-H,VAN-A,CBJ-A,BUF-A,,,,PIT-A,ARI-H,NSH-H,OTT-H,WSH-H,MIN-A,TBL-H,CAR-A,MON-A,TOR-A,FLA-H,STL-H,SJS-A,NYI-A,PHI-H,CGY-H,,NJD-A
12/21/2014,,,BUF-H,BOS-A,NYR-A,,,TOR-H,DET-A,EDM-A,COL-H,DAL-H,,,,,,,,CAR-H,,WPG-A,,,,,CHI-A,,PHI-H,
12/22/2014,SJS-H,VAN-A,,,,NSH-H,LAK-A,,,,,,PIT-H,CGY-H,,,,CBJ-A,,,WSH-A,,FLA-A,ANH-A,,,,ARI-H,,OTT-H
12/23/2014,,EDM-A,NSH-H,DET-A,NJD-A,,,WPG-H,STL-H,TOR-H,BUF-H,ARI-H,,,PHI-H,NYI-A,CAR-H,BOS-A,MON-H,WSH-H,,MIN-A,TBL-A,,COL-A,PIT-H,DAL-A,,CHI-A,NYR-A
12/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/2014,ARI-A,ANH-H,CBJ-A,NYI-H,TBL-A,BOS-H,EDM-H,COL-A,CHI-H,STL-A,OTT-A,CGY-A,,SJS-H,WPG-H,,NYR-A,PHI-H,BUF-A,NJD-H,DET-H,NSH-A,WSH-H,LAK-A,DAL-H,CAR-H,,,MIN-A,PIT-A
12/28/2014,VAN-H,,,,,,,,,,,,TOR-H,,,,,,,,,,,,,,FLA-A,ANH-A,,
