HOME,AWAY,DATE,TIME (MT)
VAN,EDM,1/20/2013,7:00 PM
EDM,SJS,1/22/2013,8:00 PM
EDM,LAK,1/24/2013,7:30 PM
CGY,EDM,1/26/2013,8:00 PM
EDM,COL,1/28/2013,7:30 PM
ARI,EDM,1/30/2013,7:30 PM
SJS,EDM,1/31/2013,8:30 PM
COL,EDM,2/2/2013,1:00 PM
EDM,VAN,2/4/2013,7:30 PM
EDM,DAL,2/6/2013,8:00 PM
DET,EDM,2/9/2013,0:00 PM
CBJ,EDM,2/10/2013,4:00 PM
EDM,DAL,2/12/2013,7:30 PM
EDM,COL,2/16/2013,8:00 PM
EDM,LAK,2/19/2013,8:00 PM
EDM,MIN,2/21/2013,7:30 PM
EDM,ARI,2/23/2013,1:30 PM
CHI,EDM,2/25/2013,6:30 PM
DAL,EDM,2/28/2013,6:30 PM
STL,EDM,3/1/2013,6:00 PM
MIN,EDM,3/3/2013,6:00 PM
CBJ,EDM,3/5/2013,5:00 PM
DET,EDM,3/7/2013,5:30 PM
NSH,EDM,3/8/2013,6:00 PM
CHI,EDM,3/10/2013,5:00 PM
COL,EDM,3/12/2013,7:00 PM
EDM,DET,3/15/2013,7:30 PM
EDM,NSH,3/17/2013,6:00 PM
EDM,SJS,3/20/2013,7:30 PM
EDM,STL,3/23/2013,8:00 PM
NSH,EDM,3/25/2013,6:00 PM
STL,EDM,3/26/2013,6:00 PM
EDM,CBJ,3/28/2013,7:30 PM
EDM,VAN,3/30/2013,8:00 PM
EDM,CGY,4/1/2013,7:30 PM
CGY,EDM,4/3/2013,8:00 PM
VAN,EDM,4/4/2013,8:30 PM
LAK,EDM,4/6/2013,2:00 PM
ANH,EDM,4/8/2013,8:00 PM
EDM,ARI,4/10/2013,7:30 PM
EDM,CGY,4/13/2013,8:00 PM
EDM,MIN,4/16/2013,7:30 PM
COL,EDM,4/19/2013,7:00 PM
EDM,ANH,4/21/2013,6:30 PM
EDM,ANH,4/22/2013,7:30 PM
EDM,CHI,4/24/2013,7:30 PM
MIN,EDM,4/26/2013,6:00 PM
EDM,VAN,4/27/2013,8:00 PM
