DATE,VISITING TEAM,HOME TEAM,TIME
,,,
"SAT JAN 19, 2013",PITTSBURGH,PHILADELPHIA,3:00 PM ET
,,,
"SAT JAN 19, 2013",OTTAWA,WINNIPEG,3:00 PM ET
,,,
"SAT JAN 19, 2013",CHICAGO,LOS ANGELES,3:00 PM ET
,,,
"SAT JAN 19, 2013",NY RANGERS,BOSTON,7:00 PM ET
,,,
"SAT JAN 19, 2013",TORONTO,MONTREAL,7:00 PM ET
,,,
"SAT JAN 19, 2013",NEW JERSEY,NY ISLANDERS,7:00 PM ET
,,,
"SAT JAN 19, 2013",WASHINGTON,TAMPA BAY,7:00 PM ET
,,,
"SAT JAN 19, 2013",CAROLINA,FLORIDA,7:30 PM ET
,,,
"SAT JAN 19, 2013",DETROIT,ST. LOUIS,8:00 PM ET
,,,
"SAT JAN 19, 2013",COLUMBUS,NASHVILLE,8:00 PM ET
,,,
"SAT JAN 19, 2013",PHOENIX,DALLAS,8:00 PM ET
,,,
"SAT JAN 19, 2013",COLORADO,MINNESOTA,9:00 PM ET
,,,
"SAT JAN 19, 2013",ANAHEIM,VANCOUVER,10:00 PM ET
,,,
"SUN JAN 20, 2013",PHILADELPHIA,BUFFALO,12:30 PM ET
,,,
"SUN JAN 20, 2013",SAN JOSE,CALGARY,6:00 PM ET
,,,
"SUN JAN 20, 2013",PITTSBURGH,NY RANGERS,7:00 PM ET
,,,
"SUN JAN 20, 2013",DALLAS,MINNESOTA,8:00 PM ET
,,,
"SUN JAN 20, 2013",EDMONTON,VANCOUVER,9:00 PM ET
,,,
"SUN JAN 20, 2013",CHICAGO,PHOENIX,10:00 PM ET
,,,
"MON JAN 21, 2013",WINNIPEG,BOSTON,1:00 PM ET
,,,
"MON JAN 21, 2013",TAMPA BAY,NY ISLANDERS,1:00 PM ET
,,,
"MON JAN 21, 2013",ST. LOUIS,NASHVILLE,6:00 PM ET
,,,
"MON JAN 21, 2013",BUFFALO,TORONTO,7:00 PM ET
,,,
"MON JAN 21, 2013",FLORIDA,OTTAWA,7:30 PM ET
,,,
"MON JAN 21, 2013",DETROIT,COLUMBUS,7:30 PM ET
,,,
