HOME,AWAY,DATE,TIME (PT)
VAN,ANH,1/19/2013,7:00 PM
VAN,EDM,1/20/2013,6:00 PM
VAN,CGY,1/23/2013,7:00 PM
ANH,VAN,1/25/2013,7:00 PM
SJS,VAN,1/27/2013,5:00 PM
LAK,VAN,1/28/2013,7:30 PM
VAN,COL,1/30/2013,7:00 PM
VAN,CHI,2/1/2013,7:00 PM
EDM,VAN,2/4/2013,6:30 PM
MIN,VAN,2/7/2013,5:00 PM
VAN,CGY,2/9/2013,7:00 PM
VAN,MIN,2/12/2013,7:00 PM
VAN,DAL,2/15/2013,7:00 PM
VAN,STL,2/17/2013,6:00 PM
CHI,VAN,2/19/2013,5:30 PM
DAL,VAN,2/21/2013,5:30 PM
NSH,VAN,2/22/2013,5:00 PM
DET,VAN,2/24/2013,2:00 PM
VAN,ARI,2/26/2013,7:00 PM
VAN,LAK,3/2/2013,7:00 PM
CGY,VAN,3/3/2013,5:00 PM
VAN,SJS,3/5/2013,7:00 PM
CBJ,VAN,3/7/2013,4:00 PM
MIN,VAN,3/10/2013,5:00 PM
CBJ,VAN,3/12/2013,4:00 PM
VAN,NSH,3/14/2013,7:00 PM
VAN,DET,3/16/2013,7:00 PM
VAN,MIN,3/18/2013,7:00 PM
VAN,STL,3/19/2013,7:00 PM
ARI,VAN,3/21/2013,7:00 PM
LAK,VAN,3/23/2013,1:00 PM
COL,VAN,3/24/2013,5:00 PM
VAN,CBJ,3/26/2013,7:00 PM
VAN,COL,3/28/2013,7:00 PM
EDM,VAN,3/30/2013,7:00 PM
SJS,VAN,4/1/2013,7:30 PM
VAN,EDM,4/4/2013,7:30 PM
VAN,CGY,4/6/2013,7:00 PM
VAN,ARI,4/8/2013,7:00 PM
CGY,VAN,4/10/2013,6:30 PM
COL,VAN,4/13/2013,0:00 PM
NSH,VAN,4/15/2013,5:00 PM
STL,VAN,4/16/2013,5:00 PM
DAL,VAN,4/18/2013,5:30 PM
VAN,DET,4/20/2013,7:00 PM
VAN,CHI,4/22/2013,7:00 PM
VAN,ANH,4/25/2013,7:00 PM
EDM,VAN,4/27/2013,7:00 PM
