HOME,AWAY,DATE,TIME (MT)
CGY,SJS,1/20/2013,4:00 PM
CGY,ANH,1/21/2013,7:00 PM
VAN,CGY,1/23/2013,8:00 PM
CGY,EDM,1/26/2013,8:00 PM
CGY,COL,1/31/2013,7:00 PM
CGY,CHI,2/2/2013,8:00 PM
DET,CGY,2/5/2013,5:30 PM
CBJ,CGY,2/7/2013,5:00 PM
VAN,CGY,2/9/2013,8:00 PM
CGY,MIN,2/11/2013,7:00 PM
CGY,DAL,2/13/2013,7:30 PM
CGY,STL,2/15/2013,7:00 PM
DAL,CGY,2/17/2013,4:00 PM
ARI,CGY,2/18/2013,7:00 PM
CGY,LAK,2/20/2013,8:00 PM
CGY,MIN,2/23/2013,8:00 PM
CGY,ARI,2/24/2013,6:00 PM
MIN,CGY,2/26/2013,6:00 PM
COL,CGY,2/28/2013,7:00 PM
CGY,VAN,3/3/2013,6:00 PM
CGY,SJS,3/6/2013,7:30 PM
ANH,CGY,3/8/2013,8:30 PM
LAK,CGY,3/9/2013,8:00 PM
LAK,CGY,3/11/2013,8:00 PM
CGY,DET,3/13/2013,7:30 PM
CGY,NSH,3/15/2013,7:00 PM
DAL,CGY,3/18/2013,6:30 PM
NSH,CGY,3/21/2013,6:00 PM
CBJ,CGY,3/22/2013,5:00 PM
CGY,STL,3/24/2013,6:00 PM
CHI,CGY,3/26/2013,6:30 PM
CGY,COL,3/27/2013,8:00 PM
CGY,CBJ,3/29/2013,7:00 PM
EDM,CGY,4/1/2013,7:30 PM
CGY,EDM,4/3/2013,8:00 PM
SJS,CGY,4/5/2013,8:30 PM
VAN,CGY,4/6/2013,8:00 PM
COL,CGY,4/8/2013,7:00 PM
CGY,VAN,4/10/2013,7:30 PM
CGY,ARI,4/12/2013,7:00 PM
EDM,CGY,4/13/2013,8:00 PM
CGY,MIN,4/15/2013,7:00 PM
CGY,DET,4/17/2013,7:30 PM
CGY,ANH,4/19/2013,7:00 PM
MIN,CGY,4/21/2013,4:00 PM
NSH,CGY,4/23/2013,6:00 PM
STL,CGY,4/25/2013,6:00 PM
CHI,CGY,4/26/2013,6:30 PM
